Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O
129,197.980253,197.9802149863131,197.9801276106517,1181405.8,nan,429953.9,7.63,-1,0.44133551406732874,0.9652751996629084,0.0,0.579165119797745,6.0,0.8333333333333334,0.16666666666666666,N3 S2 O1,de-protonated,0,,C6 H5 O1 S2 N3,6,5,1,2,3,,,,
148,210.053762,210.05365464909497,210.0536830198245,1179748.5,nan,500727.6,7.47,-1,-0.1350641850979016,0.9966954246110337,0.0,0.5980172547666202,1.0,2.3333333333333335,0.8333333333333334,N1 P1 O5,de-protonated,0,,C6 H14 O5 N1 P1,6,14,5,,1,,,1,
208,238.96336,238.96308662353414,238.96308056511668,2094043.3,nan,517304.4,14.54,-1,0.025352943394002823,0.9998833767134319,0.0,0.5999300260280591,12.0,0.3076923076923077,0.07692307692307693,S2 O1,de-protonated,0,,C13 H4 O1 S2,13,4,1,2,,,,,
277,252.979177,252.97882313179304,252.97873062959468,6763385.5,nan,404240.0,51.29,-1,0.36565207725567306,0.9760319563564858,0.0,0.5856191738138914,12.0,0.42857142857142855,0.07142857142857142,S2 O1,de-protonated,0,,C14 H6 O1 S2,14,6,1,2,,,,,
297,259.0253,259.0249114093814,259.0248114431032,1417203.5,nan,421042.2,8.71,-1,0.3859332147686992,0.9733361543302835,0.0,0.5840016925981701,10.0,0.6153846153846154,0.46153846153846156,O6,de-protonated,0,,C13 H8 O6,13,8,6,,,,,,
327,264.996998,264.99657511438676,264.99648869432406,2135142.0,nan,635095.2,14.23,-1,0.3261177652823178,0.9808874309662484,0.0,0.588532458579749,13.0,0.4,0.2,S1 O3,de-protonated,0,,C15 H6 O3 S1,15,6,3,1,,,,,
343,266.994841,266.9944066409306,266.9943806940727,3983848.3,nan,423485.3,28.69,-1,0.09718128847546216,0.998287829242877,0.0,0.5989726975457261,12.0,0.5333333333333333,0.06666666666666667,S2 O1,de-protonated,0,,C15 H8 O1 S2,15,8,1,2,,,,,
355,269.067238,269.0667917393166,269.0666762561089,10766221.0,nan,390725.2,81.74,-1,0.4291992204853713,0.9690316985335863,0.9883674068009387,0.9767659818405272,6.0,1.1666666666666667,0.5833333333333334,O7,de-protonated,0,,C12 H14 O7,12,14,7,,,,,,
361,270.070592,270.07013997713307,270.0700310911812,1249617.0,nan,476044.7,7.29,-1,0.4031767295119262,0.9709359734525953,0.9883674068009387,0.9779085467919326,6.0,1.2727272727272727,0.6363636363636364,13C1 O7,de-protonated,1,355,C11 H14 O7 13C1,11,14,7,,,1,,,
370,271.082894,271.08243616356185,271.0823263205869,12286745.0,nan,385036.5,92.83,-1,0.40520153578925144,0.4853238256417163,0.8843699161556753,0.6449422618473,5.0,1.3333333333333333,0.5833333333333334,O7,de-protonated,0,,C12 H16 O7,12,16,7,,,,,,
380,273.077451,273.076981708977,273.0768470169655,2555547.3,nan,414390.1,17.35,-1,0.49323848935230086,0.9568165489143857,0.0,0.5740899293486315,9.0,0.9333333333333333,0.3333333333333333,O5,de-protonated,0,,C15 H14 O5,15,14,5,,,,,,
385,273.13494,273.13447037882213,273.13436189444917,7386805.0,nan,392027.4,54.82,-1,0.39718317463311786,0.9717814532815351,0.0,0.583068871968921,3.0,1.6923076923076923,0.46153846153846156,O6,de-protonated,0,,C13 H22 O6,13,22,6,,,,,,
389,274.972295,274.97181482703604,274.9719449727461,10263024.0,nan,385954.2,77.12,-1,-0.4733054132421607,0.9601672658975753,0.0,0.5761003595385451,6.0,1.125,0.375,N2 S2 P1 O3,de-protonated,0,,C8 H9 O3 S2 N2 P1,8,9,3,2,2,,,1,
