Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P
213,238.963542,238.96316480787567,238.96308056511668,1691641.3,nan,474308.5,11.33,-1,0.3525346207795212,0.9777018011094373,0.0,0.5866210806656623,12.0,0.3076923076923077,0.07692307692307693,S2 O1,de-protonated,0,,C13 H4 O1 S2,13,4,1,2,,,,
214,239.020218,239.01984047664135,239.01972606267492,3069968.0,nan,461321.5,22.57,-1,0.47868001655680115,0.9592762696817655,0.0,0.5755657618090593,7.0,0.8,0.7,O7,de-protonated,0,,C10 H8 O7,10,8,7,,,,,
215,239.056597,239.05621926402978,239.05611157205922,4357150.5,nan,430470.0,33.07,-1,0.4504882550259223,0.9638465898995563,0.0,0.5783079539397338,6.0,1.0909090909090908,0.5454545454545454,O6,de-protonated,0,,C11 H12 O6,11,12,6,,,,,
227,241.145004,241.14461405865015,241.14453265530582,1497193.6,nan,481887.1,9.67,-1,0.33757076483747195,0.9795354919808348,0.0,0.5877212951885008,3.0,1.6923076923076923,0.3076923076923077,O4,de-protonated,0,,C13 H22 O4,13,22,4,,,,,
241,247.061704,247.06127947938967,247.0611969524875,1575405.4,nan,401860.8,10.22,-1,0.3340342521601549,0.9799577294232501,0.0,0.5879746376539501,8.0,0.9230769230769231,0.38461538461538464,O5,de-protonated,0,,C13 H12 O5,13,12,5,,,,,
246,247.11926,247.1188351430123,247.1187118299712,1341189.4,nan,534104.6,8.33,-1,0.4990032530258101,0.9558239903259047,0.0,0.5734943941955428,2.0,1.8181818181818181,0.5454545454545454,O6,de-protonated,0,,C11 H20 O6,11,20,6,,,,,
250,249.041008,249.04057191164605,249.04046150758123,2297386.8,nan,471648.3,16.02,-1,0.4433177812106113,0.964968105779893,0.0,0.5789808634679358,8.0,0.8333333333333334,0.5,O6,de-protonated,0,,C12 H10 O6,12,10,6,,,,,
260,251.093056,251.0926079187611,251.0924970814435,5745037.5,nan,417894.8,43.44,-1,0.4414202690042433,0.9652620955506493,0.0,0.5791572573303896,6.0,1.2307692307692308,0.38461538461538464,O5,de-protonated,0,,C13 H16 O5,13,16,5,,,,,
264,252.979239,252.97877989524915,252.97873062959468,3884720.3,nan,397351.8,28.57,-1,0.1947422787098984,0.9931422616419376,0.0,0.5958853569851625,12.0,0.42857142857142855,0.07142857142857142,S2 O1,de-protonated,0,,C14 H6 O1 S2,14,6,1,2,,,,
270,253.145087,253.14462692597553,253.14453265530582,9140471.0,nan,408774.7,70.56,-1,0.37239860058279,0.4875752631039469,0.8676488643339467,0.6396047035959469,4.0,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,,C14 H22 O4,14,22,4,,,,,
272,255.0516,255.05112878364795,255.05102619163094,3755560.3,nan,413628.6,27.53,-1,0.40224114580872583,0.971068736747815,0.0,0.582641242048689,6.0,1.0909090909090908,0.6363636363636364,O7,de-protonated,0,,C11 H12 O7,11,12,7,,,,,
281,257.140026,257.13954257815726,257.13944727487745,2032813.4,nan,343224.4,13.76,-1,0.3706287806735477,0.9753832341451987,0.0,0.5852299404871192,3.0,1.6923076923076923,0.38461538461538464,O5,de-protonated,0,,C13 H22 O5,13,22,5,,,,,
283,259.082923,259.08242822318886,259.0823263205869,2805496.8,nan,406165.0,19.78,-1,0.3933213175983615,0.9723199006498957,0.0,0.5833919403899374,4.0,1.4545454545454546,0.6363636363636364,O7,de-protonated,0,,C11 H16 O7,11,16,7,,,,,
287,259.155661,259.15516579808263,259.15509733935545,1197592.5,nan,472223.5,7.03,-1,0.2641612219389102,0.9874181238411341,0.0,0.5924508743046805,2.0,1.8461538461538463,0.38461538461538464,O5,de-protonated,0,,C13 H24 O5,13,24,5,,,,,
296,261.098545,261.0980384431902,261.0979763850649,1277288.8,nan,482104.7,7.65,-1,0.23768137221129623,0.9898018790402603,0.0,0.5938811274241561,3.0,1.6363636363636365,0.6363636363636364,O7,de-protonated,0,,C11 H18 O7,11,18,7,,,,,
303,263.056761,263.05624299869226,263.0561115720592,3887556.0,nan,416090.6,28.34,-1,0.49961444452120535,0.9557181419331872,0.0,0.5734308851599123,8.0,0.9230769230769231,0.46153846153846156,O6,de-protonated,0,,C13 H12 O6,13,12,6,,,,,
308,263.129532,263.1290135733931,263.1288825908278,6278628.0,nan,384661.9,47.3,-1,0.497788627350281,0.9560339937659055,0.0,0.5736203962595433,6.0,1.3333333333333333,0.26666666666666666,O4,de-protonated,0,,C15 H20 O4,15,20,4,,,,,
313,265.072391,265.0718612186468,265.0717616365372,5948732.5,nan,407025.3,44.33,-1,0.37567981213000495,0.9747163058999541,0.0,0.5848297835399724,7.0,1.0769230769230769,0.46153846153846156,O6,de-protonated,0,,C13 H14 O6,13,14,6,,,,,
