Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,17O
120,185.081933,185.0818872092267,185.0819323973938,1239685.0,nan,510988.0,8.25,-1,-0.24415223320688031,0.9892420719208905,0.0,0.5935452431525343,3.0,1.5555555555555556,0.4444444444444444,O4,de-protonated,0,,C9 H14 O4,9,14,4,,,,,,,
128,194.082277,194.08218298582457,194.0822667500151,7675290.5,nan,502372.9,63.27,-1,-0.4315911593746366,0.966766176914692,0.0,0.5800597061488152,5.0,1.3,0.3,N1 O3,de-protonated,0,,C10 H13 O3 N1,10,13,3,,1,,,,,
185,220.147395,220.14716133019957,220.1471894834994,1461468.8,nan,369807.9,9.59,-1,-0.12788398481596788,0.9970369298700797,0.0,0.5982221579220478,0.0,2.4,0.2,N1 P1 O2,de-protonated,0,,C10 H24 O2 N1 P1,10,24,2,,1,,,1,,
209,227.016402,227.01613152639666,227.0161925680527,5790481.5,nan,641023.2,44.94,-1,-0.2688867932663124,0.9869669163201285,0.0,0.592180149792077,6.0,1.2857142857142858,0.14285714285714285,N4 S1 P1 O1,de-protonated,0,,C7 H9 O1 S1 N4 P1,7,9,1,1,4,,,1,,
219,229.013442,229.0131608263542,229.0132151878758,2548295.3,nan,666348.6,18.27,-1,-0.2373728587984581,0.9898282014180088,0.0,0.5938969208508053,6.0,1.1666666666666667,0.6666666666666666,N4 P1 O4,de-protonated,0,,C6 H7 O4 N4 P1,6,7,4,,4,,,1,,
251,236.056872,236.0565530880014,236.0564459246805,1535976.3,nan,480191.7,9.95,-1,0.4539732879791579,0.9632954846489289,0.0,0.5779772907893573,7.0,1.0,0.45454545454545453,N1 O5,de-protonated,0,,C11 H11 O5 N1,11,11,5,,1,,,,,
264,238.963438,238.9631035147632,238.96308056511668,2447061.3,nan,465070.9,17.3,-1,0.09603846105623695,0.9983278283660799,0.0,0.598996697019648,12.0,0.3076923076923077,0.07692307692307693,S2 O1,de-protonated,0,,C13 H4 O1 S2,13,4,1,2,,,,,,
266,239.056563,239.05622801580404,239.05611157205922,7691006.0,nan,470548.7,59.63,-1,0.48709796227168295,0.9578622330426088,0.0,0.5747173398255653,6.0,1.0909090909090908,0.5454545454545454,O6,de-protonated,0,,C11 H12 O6,11,12,6,,,,,,,
271,239.165709,239.1653734310051,239.1652681002121,2671917.8,nan,481762.7,19.11,-1,0.44041007219603606,0.9654181316948812,0.0,0.5792508790169287,3.0,1.7142857142857142,0.21428571428571427,O3,de-protonated,0,,C14 H24 O3,14,24,3,,,,,,,
306,245.067161,245.06679381131445,245.0666762561089,3875170.8,nan,442230.8,28.6,-1,0.4796866197577902,0.9591083701390821,0.0,0.5754650220834493,4.0,1.4,0.7,O7,de-protonated,0,,C10 H14 O7,10,14,7,,,,,,,
307,245.082395,245.08202772969145,245.0819323973938,1303657.5,nan,501071.2,7.98,-1,0.3889813365692868,0.9729190835605224,0.0,0.5837514501363134,8.0,1.0,0.2857142857142857,O4,de-protonated,0,,C14 H14 O4,14,14,4,,,,,,,
309,245.139937,245.13956942138424,245.1394472748775,1583235.3,nan,526139.9,10.15,-1,0.4982735666735655,0.9559502057338961,0.0,0.5735701234403376,2.0,1.8333333333333333,0.4166666666666667,O5,de-protonated,0,,C12 H22 O5,12,22,5,,,,,,,
314,247.061673,247.06129512481692,247.0611969524875,2712291.3,nan,461835.6,19.12,-1,0.3973603731664974,0.9717566279695323,0.0,0.5830539767817193,8.0,0.9230769230769231,0.38461538461538464,O5,de-protonated,0,,C13 H12 O5,13,12,5,,,,,,,
316,247.082806,247.08242801158733,247.0823263205869,2818284.8,nan,446229.2,19.97,-1,0.41156727774998736,0.9697323611730999,0.0,0.58183941670386,3.0,1.6,0.7,O7,de-protonated,0,,C10 H16 O7,10,16,7,,,,,,,
317,247.098074,247.09769592978213,247.0975824618718,2286067.8,nan,460719.3,15.73,-1,0.4592028347425243,0.9624611432278164,0.0,0.5774766859366898,7.0,1.1428571428571428,0.2857142857142857,O4,de-protonated,0,,C14 H16 O4,14,16,4,,,,,,,
320,247.170849,247.17047053985726,247.17035348064042,1570068.5,nan,414262.7,10.04,-1,0.4735973194170354,0.9601191112193362,0.0,0.5760714667316017,5.0,1.5,0.125,O2,de-protonated,0,,C16 H24 O2,16,24,2,,,,,,,
324,249.004544,249.0041557150093,249.0040759981969,1958482.4,nan,480693.7,13.12,-1,0.32014260037415443,0.9815749465905744,0.0,0.5889449679543446,9.0,0.5454545454545454,0.6363636363636364,O7,de-protonated,0,,C11 H6 O7,11,6,7,,,,,,,
325,249.023169,249.02278061521744,249.02270344285182,1367642.9,nan,474187.1,8.42,-1,0.30990092290579657,0.9827248813664442,0.0,0.5896349288198665,8.0,0.8333333333333334,0.3333333333333333,S1 O4,de-protonated,0,,C12 H10 O4 S1,12,10,4,1,,,,,,
327,249.040971,249.04058251983523,249.04046150758123,5452899.0,nan,436780.0,40.92,-1,0.48591402885373536,0.9580624716148984,0.0,0.574837482968939,8.0,0.8333333333333334,0.5,O6,de-protonated,0,,C12 H10 O6,12,10,6,,,,,,,
331,249.113738,249.1133491299532,249.11323252634983,2920580.0,nan,447414.8,20.77,-1,0.46807470719725447,0.9610255283037757,0.0,0.5766153169822654,6.0,1.2857142857142858,0.2857142857142857,O4,de-protonated,0,,C14 H18 O4,14,18,4,,,,,,,
332,249.150098,249.1497089351381,249.1496180357341,3273876.5,nan,486387.8,23.58,-1,0.3648386247466518,0.9761371981338449,0.0,0.585682318880307,5.0,1.4666666666666666,0.2,O3,de-protonated,0,,C15 H22 O3,15,22,3,,,,,,,
334,250.036209,250.03581518739878,250.03571047977422,1681703.5,nan,487044.9,10.91,-1,0.4187706802259217,0.9686804897832195,0.0,0.5812082938699317,8.0,0.8181818181818182,0.5454545454545454,N1 O6,de-protonated,0,,C11 H9 O6 N1,11,9,6,,1,,,,,
335,250.072614,250.07221999234255,250.0720959891585,4039224.0,nan,466408.4,29.67,-1,0.495869735344765,0.9563648123645305,0.0,0.5738188874187183,7.0,1.0833333333333333,0.4166666666666667,N1 O5,de-protonated,0,,C12 H13 O5 N1,12,13,5,,1,,,,,
339,251.020221,251.0198219151107,251.01972606267492,5026792.0,nan,438814.3,37.52,-1,0.3818522045279437,0.9738896926504635,0.0,0.5843338155902781,8.0,0.7272727272727273,0.6363636363636364,O7,de-protonated,0,,C11 H8 O7,11,8,7,,,,,,,
344,251.09297,251.09257052532513,251.0924970814435,6865929.5,nan,434855.9,51.75,-1,0.2924973166701475,0.9845960885042817,0.0,0.590757653102569,6.0,1.2307692307692308,0.38461538461538464,O5,de-protonated,0,,C13 H16 O5,13,16,5,,,,,,,
345,251.09633,251.0959305073224,251.0958683848135,1328394.9,nan,509723.7,8.04,-1,0.24740553993614783,0.988955064597809,0.0,0.5933730387586854,1.0,2.0,0.5,S1 O5,de-protonated,0,,C10 H20 O5 S1,10,20,5,1,,,,,,
350,252.08826,252.08785519261008,252.0877460536365,1410768.5,nan,518412.5,8.68,-1,0.43294041576124676,0.9665615773720477,0.0,0.5799369464232286,6.0,1.25,0.4166666666666667,N1 O5,de-protonated,0,,C12 H15 O5 N1,12,15,5,,1,,,,,
351,252.979139,252.97872941932405,252.97873062959468,3716969.0,nan,427438.9,26.88,-1,-0.0047840805511182825,0.9999958471151119,0.0,0.5999975082690672,12.0,0.42857142857142855,0.07142857142857142,S2 O1,de-protonated,0,,C14 H6 O1 S2,14,6,1,2,,,,,,
352,253.035862,253.035452115405,253.03537612715292,5279619.0,nan,441539.2,39.22,-1,0.3003068316196405,0.9837693563406256,0.0,0.5902616138043754,7.0,0.9090909090909091,0.6363636363636364,O7,de-protonated,0,,C11 H10 O7,11,10,7,,,,,,,
357,253.108671,253.10826072529792,253.10814714592152,5904292.5,nan,421550.0,44.15,-1,0.4487385241616468,0.9641217999076901,0.0,0.578473079944614,5.0,1.3846153846153846,0.38461538461538464,O5,de-protonated,0,,C13 H18 O5,13,18,5,,,,,,,
358,253.145031,253.14462053048283,253.14453265530582,6087605.0,nan,418684.1,45.59,-1,0.3471344061037309,0.9783723227473761,0.0,0.5870233936484256,4.0,1.5714285714285714,0.2857142857142857,O4,de-protonated,0,,C14 H22 O4,14,22,4,,,,,,,
359,254.067538,254.06712258773555,254.06701060873021,2382173.0,nan,488824.6,16.34,-1,0.44074594757949886,0.9653662888761818,0.0,0.5792197733257091,6.0,1.1818181818181819,0.5454545454545454,N1 O6,de-protonated,0,,C11 H13 O6 N1,11,13,6,,1,,,,,
362,255.05154,255.05111931550104,255.05102619163094,7973666.5,nan,413832.5,60.47,-1,0.36511858623709315,0.9761010028206145,0.0,0.5856606016923687,6.0,1.0909090909090908,0.6363636363636364,O7,de-protonated,0,,C11 H12 O7,11,12,7,,,,,,,
363,255.06277,255.06234925533124,255.0622595809232,1261863.6,nan,496501.9,7.5,-1,0.35157850549155434,0.9778212382705648,0.0,0.5866927429623389,6.0,1.2,0.6,N2 O6,de-protonated,0,,C10 H12 O6 N2,10,12,6,,2,,,,,
366,255.124301,255.12387992565118,255.1237972103995,4613956.0,nan,415874.4,33.96,-1,0.32421613584376413,0.9811075633880839,0.0,0.5886645380328503,4.0,1.5384615384615385,0.38461538461538464,O5,de-protonated,0,,C13 H20 O5,13,20,5,,,,,,,
367,256.046825,256.0463989828128,256.04627516382385,1343214.1,nan,572773.5,8.14,-1,0.483580512334238,0.9584558341970257,0.0,0.5750735005182154,6.0,1.1,0.7,N1 O7,de-protonated,0,,C10 H11 O7 N1,10,11,7,,1,,,,,
368,256.083179,256.0827527880298,256.0826606732082,2039038.9,nan,458150.3,13.63,-1,0.359707374782152,0.976795917330794,0.0,0.5860775503984763,5.0,1.3636363636363635,0.5454545454545454,N1 O6,de-protonated,0,,C11 H15 O6 N1,11,15,6,,1,,,,,
371,257.045988,257.0455566293464,257.0455468880095,1428668.5,nan,505971.7,8.81,-1,0.0378973182542035,0.9997394361280774,0.0,0.5998436616768464,10.0,0.7142857142857143,0.35714285714285715,O5,de-protonated,0,,C14 H10 O5,14,10,5,,,,,,,
374,257.067203,257.06677151567743,257.0666762561089,8081094.5,nan,422327.3,61.32,-1,0.3705636604176103,0.9753917765096577,0.0,0.5852350659057945,5.0,1.2727272727272727,0.6363636363636364,O7,de-protonated,0,,C11 H14 O7,11,14,7,,,,,,,
379,257.139988,257.13955612569896,257.13944727487745,2592744.0,nan,383198.8,17.85,-1,0.42331436369793046,0.9680082137050151,0.0,0.580804928223009,3.0,1.6923076923076923,0.38461538461538464,O5,de-protonated,0,,C13 H22 O5,13,22,5,,,,,,,
380,258.062407,258.06197018342317,258.06192522830185,1272467.8,nan,525252.6,7.51,-1,0.1742028440859823,0.9945087758841998,0.0,0.5967052655305198,5.0,1.3,0.7,N1 O7,de-protonated,0,,C10 H13 O7 N1,10,13,7,,1,,,,,
