Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P,18O
125,165.019429,165.01931706985994,165.0193321394818,1074008.0,nan,796915.9,7.06,-1,-0.09132034211650403,0.9984879702097647,0.0,0.5990927821258588,6.0,0.75,0.5,O4,de-protonated,0,,C8 H6 O4,8,6,4,,,,,
226,207.06663,207.06637535714827,207.06628233291582,1395581.9,nan,577475.4,9.27,-1,0.4492485759036157,0.9640416778641084,0.0,0.5784250067184651,6.0,1.0909090909090908,0.36363636363636365,O4,de-protonated,0,,C11 H12 O4,11,12,4,,,,,
238,210.052381,210.05211622318902,210.05202924949484,1241819.1,nan,486381.0,7.97,-1,0.4140578621954865,0.9693706108900594,0.0,0.5816223665340357,6.0,1.125,0.5,N3 O4,de-protonated,0,,C8 H9 O4 N3,8,9,4,,3,,,
239,210.077518,210.07725313787134,210.0771813695868,1412451.6,nan,521222.0,9.4,-1,0.3416281771290786,0.9790458128794407,0.0,0.5874274877276644,5.0,1.3,0.4,N1 O4,de-protonated,0,,C10 H13 O4 N1,10,13,4,,1,,,
242,211.025147,211.02487892151683,211.0248114431032,1988772.8,nan,598731.5,14.15,-1,0.31976530705122913,0.981617948070496,0.0,0.5889707688422976,6.0,0.8888888888888888,0.6666666666666666,O6,de-protonated,0,,C9 H8 O6,9,8,6,,,,,
243,211.061555,211.06128679794418,211.0611969524875,5038257.0,nan,530966.5,39.6,-1,0.4256843890216634,0.9676548567605032,0.0,0.5805929140563019,5.0,1.2,0.5,O5,de-protonated,0,,C10 H12 O5,10,12,5,,,,,
244,211.097904,211.09763567457176,211.0975824618718,3143869.5,nan,536930.5,23.79,-1,0.25207631149767373,0.988536515115427,0.0,0.5931219090692561,4.0,1.4545454545454546,0.36363636363636365,O4,de-protonated,0,,C11 H16 O4,11,16,4,,,,,
254,213.077182,213.07690695668987,213.0768470169655,5081447.5,nan,522701.9,39.96,-1,0.2813056660321194,0.9857440357515734,0.0,0.5914464214509441,4.0,1.4,0.5,O5,de-protonated,0,,C10 H14 O5,10,14,5,,,,,
258,215.056494,215.05621223869255,215.05611157205922,2494495.0,nan,528595.6,18.25,-1,0.46809473394531936,0.9610222590178198,0.0,0.5766133554106918,4.0,1.3333333333333333,0.6666666666666666,O6,de-protonated,0,,C9 H12 O6,9,12,6,,,,,
259,215.092859,215.09257711526587,215.0924970814435,3318828.0,nan,447788.7,25.09,-1,0.3720902563184327,0.9751911451500468,0.0,0.585114687090028,3.0,1.6,0.5,O5,de-protonated,0,,C10 H16 O5,10,16,5,,,,,
263,217.051024,217.05073546904376,217.05063226843782,1211882.0,nan,598287.0,7.61,-1,0.47546788901809434,0.9598098831411388,0.0,0.5758859298846832,8.0,0.8333333333333334,0.3333333333333333,O4,de-protonated,0,,C12 H10 O4,12,10,4,,,,,
264,217.072149,217.07186039734324,217.07176163653722,1606641.6,nan,615360.9,10.88,-1,0.45496846425851684,0.9631373912335799,0.0,0.5778824347401479,3.0,1.5555555555555556,0.6666666666666666,O6,de-protonated,0,,C9 H14 O6,9,14,6,,,,,
265,217.108496,217.10820727397763,217.10814714592152,1692926.9,nan,609821.2,11.6,-1,0.27694979159513233,0.9861790686800993,0.0,0.5917074412080595,2.0,1.8,0.5,O5,de-protonated,0,,C10 H18 O5,10,18,5,,,,,
268,219.03028,219.02998475123653,219.02989682353152,1631164.8,nan,553017.3,11.08,-1,0.40144156704396083,0.9711819702653657,0.0,0.5827091821592194,8.0,0.7272727272727273,0.45454545454545453,O5,de-protonated,0,,C11 H8 O5,11,8,5,,,,,
270,219.066684,219.06638862767744,219.06628233291582,1590474.3,nan,551677.4,10.74,-1,0.48521735289414564,0.958180092143663,0.0,0.5749080552861977,7.0,1.0,0.3333333333333333,O4,de-protonated,0,,C12 H12 O4,12,12,4,,,,,
274,221.009543,221.00924103340554,221.0091613786252,1536412.4,nan,542144.8,10.22,-1,0.36041392962734164,0.9767057417070386,0.0,0.5860234450242231,8.0,0.6,0.6,O6,de-protonated,0,,C10 H6 O6,10,6,6,,,,,
275,221.0459,221.04559791000597,221.0455468880095,3395754.0,nan,543682.3,25.55,-1,0.23082119125972206,0.9903792783850465,0.0,0.5942275670310279,7.0,0.9090909090909091,0.45454545454545453,O5,de-protonated,0,,C11 H10 O5,11,10,5,,,,,
276,221.082314,221.08201178641295,221.0819323973938,8070327.5,nan,519846.7,64.09,-1,0.359093202568549,0.9768741654017751,0.0,0.586124499241065,6.0,1.1666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H14 O4,12,14,4,,,,,
279,222.077582,222.07727640836657,222.0771813695868,1542446.5,nan,544009.5,10.27,-1,0.4279538274732255,0.9673147695977121,0.0,0.5803888617586273,6.0,1.1818181818181819,0.36363636363636365,N1 O4,de-protonated,0,,C11 H13 O4 N1,11,13,4,,1,,,
281,223.025163,223.02485419217498,223.02481144310323,1907606.4,nan,617479.4,13.28,-1,0.19167854677742596,0.9933556266643625,0.0,0.5960133759986175,7.0,0.8,0.6,O6,de-protonated,0,,C10 H8 O6,10,8,6,,,,,
282,223.061609,223.06130006847337,223.0611969524875,3152292.3,nan,525972.5,23.54,-1,0.46227666341944157,0.9619666153592392,0.0,0.5771799692155435,6.0,1.0909090909090908,0.45454545454545453,O5,de-protonated,0,,C11 H12 O5,11,12,5,,,,,
284,223.097923,223.09761394521976,223.0975824618718,2390194.0,nan,461453.9,17.26,-1,0.14111918025348524,0.9963930385820035,0.0,0.597835823149202,5.0,1.3333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H16 O4,12,16,4,,,,,
285,224.056751,224.05643869085463,224.0564459246805,1368609.1,nan,539910.6,8.77,-1,-0.03228572978173294,0.9998108815178415,0.0,0.5998865289107048,6.0,1.1,0.5,N1 O5,de-protonated,0,,C10 H11 O5 N1,10,11,5,,1,,,
287,225.040826,225.0405103507985,225.04046150758123,2828444.8,nan,476042.9,20.73,-1,0.21704193529738044,0.9914888864994759,0.0,0.5948933318996855,6.0,1.0,0.6,O6,de-protonated,0,,C10 H10 O6,10,10,6,,,,,
289,225.077213,225.0768972272971,225.0768470169655,5123755.0,nan,496018.7,39.53,-1,0.2230808378270428,0.9910108414542461,0.0,0.5946065048725476,5.0,1.2727272727272727,0.45454545454545453,O5,de-protonated,0,,C11 H14 O5,11,14,5,,,,,
290,225.113658,225.11334210359885,225.11323252634983,1796793.0,nan,531043.9,12.28,-1,0.48676502838388247,0.9579185871425091,0.0,0.5747511522855054,4.0,1.5,0.3333333333333333,O4,de-protonated,0,,C12 H18 O4,12,18,4,,,,,
291,226.036112,226.035792972691,226.03571047977422,1271455.8,nan,519291.2,7.97,-1,0.364955239214116,0.9761221246382312,0.0,0.5856732747829387,6.0,1.0,0.6666666666666666,N1 O6,de-protonated,0,,C9 H9 O6 N1,9,9,6,,1,,,
292,226.072489,226.07216984922357,226.0720959891585,1325741.9,nan,465773.4,8.42,-1,0.3267102237844605,0.9808185951509283,0.0,0.588491157090557,5.0,1.3,0.5,N1 O5,de-protonated,0,,C10 H13 O5 N1,10,13,5,,1,,,
293,227.056499,227.05617650938805,227.05611157205922,5825967.5,nan,498743.2,45.27,-1,0.28599683303005763,0.9852681434031375,0.0,0.5911608860418824,5.0,1.2,0.6,O6,de-protonated,0,,C10 H12 O6,10,12,6,,,,,
294,227.092876,227.0925533859206,227.0924970814435,6364605.5,nan,489062.7,49.68,-1,0.2479363159783166,0.9889078869410052,0.0,0.593344732164603,4.0,1.4545454545454546,0.45454545454545453,O5,de-protonated,0,,C11 H16 O5,11,16,5,,,,,
295,227.129313,227.12899026224952,227.12888259082783,1463244.0,nan,634737.2,9.54,-1,0.4740542922577245,0.9600436713417456,0.0,0.5760262028050473,3.0,1.6666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H20 O4,12,20,4,,,,,
298,229.0358,229.03547079142808,229.03537612715292,1180351.1,nan,592627.1,7.17,-1,0.41331726464203017,0.969478394457547,0.0,0.5816870366745281,5.0,1.1111111111111112,0.7777777777777778,O7,de-protonated,0,,C9 H10 O7,9,10,7,,,,,
299,229.072165,229.0718356680014,229.07176163653722,6551757.5,nan,486044.8,50.87,-1,0.32318022811447056,0.9812269589560176,0.0,0.5887361753736106,4.0,1.4,0.6,O6,de-protonated,0,,C10 H14 O6,10,14,6,,,,,
300,229.108552,229.1082225445,229.10814714592152,2963676.0,nan,535352.8,21.68,-1,0.3290960160662839,0.9805401824478192,0.0,0.5883241094686915,3.0,1.6363636363636365,0.45454545454545453,O5,de-protonated,0,,C11 H18 O5,11,18,5,,,,,
301,229.144879,229.14454942120227,229.14453265530582,1827562.6,nan,546693.0,12.43,-1,0.07316734225725023,0.9990290933558361,0.0,0.5994174560135016,2.0,1.8333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H22 O4,12,22,4,,,,,
305,231.087789,231.08745282675724,231.0874117010152,3954679.0,nan,513705.3,29.73,-1,0.17796617187804384,0.9942696462379597,0.0,0.5965617877427758,3.0,1.6,0.6,O6,de-protonated,0,,C10 H16 O6,10,16,6,,,,,
306,231.124189,231.12385270321175,231.12379721039952,1365765.9,nan,500048.6,8.67,-1,0.24009995035871523,0.9895943657741716,0.0,0.593756619464503,2.0,1.8181818181818181,0.45454545454545453,O5,de-protonated,0,,C11 H20 O5,11,20,5,,,,,
307,232.094258,232.09391841069348,232.0938940625005,1436047.4,nan,446652.1,9.24,-1,0.10490665023380857,0.9980050761835483,0.0,0.598803045710129,3.0,1.875,0.625,N3 O5,de-protonated,0,,C8 H15 O5 N3,8,15,5,,3,,,
311,233.045973,233.04563018047065,233.0455468880095,1830932.0,nan,481167.6,12.45,-1,0.35740850770947497,0.9770881480194307,0.0,0.5862528888116584,8.0,0.8333333333333334,0.4166666666666667,O5,de-protonated,0,,C12 H10 O5,12,10,5,,,,,
313,233.0823,233.08195705717293,233.0819323973938,1484578.9,nan,469425.5,9.63,-1,0.10579875866421024,0.9979710375200141,0.0,0.5987826225120084,7.0,1.0769230769230769,0.3076923076923077,O4,de-protonated,0,,C13 H14 O4,13,14,4,,,,,
314,233.10344,233.1030969854215,233.1030617654932,1353259.5,nan,581053.3,8.56,-1,0.15109165888327017,0.9958663315260974,0.0,0.5975197989156584,2.0,1.8,0.6,O6,de-protonated,0,,C10 H18 O6,10,18,6,,,,,
315,233.155066,233.1547228101973,233.15470341616242,5229376.5,nan,489289.2,40.1,-1,0.0831809721589752,0.9987453308450731,0.0,0.5992471985070439,5.0,1.4666666666666666,0.13333333333333333,O2,de-protonated,0,,C15 H22 O2,15,22,2,,,,,
