Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,P
203,210.041132,210.04089844193877,210.0407958602025,1324575.9,nan,506182.3,8.7,-1,0.4883895808779454,0.957643273813179,0.0,0.5745859642879074,6.0,1.0,0.5555555555555556,N1 O5,de-protonated,0,,C9 H9 O5 N1,9,9,5,,1,,
213,212.020374,212.02013370842414,212.0200604152962,1619525.6,nan,637468.3,11.12,-1,0.3456895908649832,0.9785500412572476,0.0,0.5871300247543486,6.0,0.875,0.75,N1 O6,de-protonated,0,,C8 H7 O6 N1,8,7,6,,1,,
214,212.05674,212.05649958470454,212.0564459246805,1695826.3,nan,553702.6,11.76,-1,0.25304594634051475,0.9884486670978637,0.0,0.5930692002587182,5.0,1.2222222222222223,0.5555555555555556,N1 O5,de-protonated,0,,C9 H11 O5 N1,9,11,5,,1,,
219,213.077182,213.07693811309213,213.0768470169655,3397557.3,nan,521256.5,26.02,-1,0.4275271006662969,0.9673788457299313,0.0,0.5804273074379588,4.0,1.4,0.5,O5,de-protonated,0,,C10 H14 O5,10,14,5,,,,
225,215.092824,215.09257325574225,215.0924970814435,2483580.8,nan,492790.1,18.25,-1,0.35414670334180315,0.9774997197513817,0.0,0.586499831850829,3.0,1.6,0.5,O5,de-protonated,0,,C10 H16 O5,10,16,5,,,,
229,217.050991,217.0507335939262,217.05063226843782,1254717.0,nan,481484.8,8.0,-1,0.4668288100065756,0.9612286627842151,0.0,0.5767371976705291,8.0,0.8333333333333334,0.3333333333333333,O4,de-protonated,0,,C12 H10 O4,12,10,4,,,,
230,217.072092,217.07183452213914,217.07176163653722,2135108.5,nan,511338.4,15.34,-1,0.33576731203611593,0.979751345834627,0.0,0.5878508075007761,3.0,1.5555555555555556,0.6666666666666666,O6,de-protonated,0,,C9 H14 O6,9,14,6,,,,
232,219.030221,219.0299568604524,219.02989682353152,1374737.3,nan,539877.5,9.0,-1,0.27410377186804247,0.9864597432879647,0.0,0.5918758459727788,8.0,0.7272727272727273,0.45454545454545453,O5,de-protonated,0,,C11 H8 O5,11,8,5,,,,
238,221.028166,221.02789506330888,221.0277888232801,1267320.9,nan,567649.1,8.05,-1,0.4806636728187223,0.9589450903758366,0.0,0.5753670542255019,7.0,0.9090909090909091,0.2727272727272727,S1 O3,de-protonated,0,,C11 H10 O3 S1,11,10,3,1,,,
239,221.045921,221.04565000290515,221.0455468880095,1908223.5,nan,530285.6,13.36,-1,0.4664870977447598,0.9612842893614387,0.0,0.5767705736168632,7.0,0.9090909090909091,0.45454545454545453,O5,de-protonated,0,,C11 H10 O5,11,10,5,,,,
240,221.082285,221.0820138791924,221.0819323973938,9673997.0,nan,470582.9,77.72,-1,0.3685592834510479,0.4878270047654271,0.8843699161556753,0.6464441693215264,6.0,1.1666666666666667,0.3333333333333333,O4,de-protonated,0,,C12 H14 O4,12,14,4,,,,
243,222.077486,222.07721149345153,222.0771813695868,1578628.3,nan,408887.2,10.63,-1,0.13564592513492651,0.9966669443793569,0.0,0.5980001666276141,6.0,1.1818181818181819,0.36363636363636365,N1 O4,de-protonated,0,,C11 H13 O4 N1,11,13,4,,1,,
245,223.025162,223.02488426939394,223.02481144310323,1965292.0,nan,544089.6,13.83,-1,0.3265389632362781,0.9808385056953361,0.0,0.5885031034172017,7.0,0.8,0.6,O6,de-protonated,0,,C10 H8 O6,10,8,6,,,,
248,223.097915,223.09763702188332,223.0975824618718,1264135.8,nan,442490.7,8.02,-1,0.2445567132731242,0.98920659090623,0.0,0.593523954543738,5.0,1.3333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H16 O4,12,16,4,,,,
251,225.040831,225.0405464119522,225.04046150758123,2191090.0,nan,570134.8,15.6,-1,0.37728491310491485,0.9745025778957032,0.0,0.5847015467374219,6.0,1.0,0.6,O6,de-protonated,0,,C10 H10 O6,10,10,6,,,,
