Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,18O,15N
83,146.978747,146.97875934382188,146.9787444302327,1314713.4,nan,710256.4,9.28,-1,0.10146765942902121,0.9981336052019147,0.0,0.5988801631211488,3.0,1.6666666666666667,0.3333333333333333,N2 S1 P1 O1,de-protonated,0,,C3 H5 O1 S1 N2 P1,3,5,1,1,2,,,1,,
162,187.097709,187.0975821616123,187.0975824618718,1238416.3,nan,701513.3,8.28,-1,-0.0016048283300482804,0.9999995326837409,0.0,0.5999997196102445,2.0,1.7777777777777777,0.4444444444444444,O4,de-protonated,0,,C9 H16 O4,9,16,4,,,,,,,
236,220.147411,220.147169504345,220.1471894834994,3823853.3,nan,557957.9,29.48,-1,-0.09075362017148457,0.9985066649142372,0.0,0.5991039989485423,0.0,2.4,0.2,N1 P1 O2,de-protonated,0,,C10 H24 O2 N1 P1,10,24,2,,1,,,1,,
262,238.963472,238.96316522695955,238.96308056511668,4369644.0,nan,434463.5,33.41,-1,0.35428838070832375,0.9774819178229158,0.0,0.5864891506937495,12.0,0.3076923076923077,0.07692307692307693,S2 O1,de-protonated,0,,C13 H4 O1 S2,13,4,1,2,,,,,,
263,239.056538,239.05623090409145,239.05611157205922,1351313.0,nan,349712.7,8.61,-1,0.4991800102599674,0.9557933909700576,0.0,0.5734760345820346,6.0,1.0909090909090908,0.5454545454545454,O6,de-protonated,0,,C11 H12 O6,11,12,6,,,,,,,
273,241.100338,241.10002381366377,241.0999049374441,1196348.9,nan,461877.3,7.28,-1,0.4930579283718834,0.9568474675900268,0.0,0.5741084805540161,4.0,1.5833333333333333,0.25,P1 O3,de-protonated,0,,C12 H19 O3 P1,12,19,3,,,,,1,,
295,246.072659,246.072327563501,246.07231046447941,1225733.3,nan,354038.1,7.46,-1,0.0694877922605877,0.9991242490456804,0.0,0.5994745494274082,3.0,1.8,0.2,N1 S1 P1 O2,de-protonated,0,,C10 H18 O2 S1 N1 P1,10,18,2,1,1,,,1,,
314,252.979158,252.97880260321534,252.97873062959468,4437231.5,nan,398863.1,33.29,-1,0.28450463200694537,0.9854203473482268,0.0,0.5912522084089361,12.0,0.42857142857142855,0.07142857142857142,S2 O1,de-protonated,0,,C14 H6 O1 S2,14,6,1,2,,,,,,
329,259.082815,259.0824384281792,259.0823263205869,1388702.8,nan,444397.1,8.62,-1,0.4327103045093399,0.9665965132574114,0.0,0.5799579079544468,4.0,1.4545454545454546,0.6363636363636364,O7,de-protonated,0,,C11 H16 O7,11,16,7,,,,,,,
363,266.994805,266.9944009796064,266.9943806940727,1866528.0,nan,355912.2,12.34,-1,0.07597738070436592,0.9989531244966351,0.0,0.599371874697981,12.0,0.5333333333333333,0.06666666666666667,S2 O1,de-protonated,0,,C15 H8 O1 S2,15,8,1,2,,,,,,
364,267.051397,267.0509927832753,267.0510261916309,1484342.8,nan,370194.9,9.3,-1,-0.125101019335975,0.9971643081593136,0.0,0.5982985848955881,7.0,1.0,0.5833333333333334,O7,de-protonated,0,,C12 H12 O7,12,12,7,,,,,,,
364,267.051397,267.0509927832753,267.0508640003787,1484342.8,nan,370194.9,9.3,-1,0.4822410783817217,0.9586808407254509,0.0,0.5752085044352705,2.0,2.4285714285714284,0.14285714285714285,N4 S2 P1 O1,de-protonated,0,,C7 H17 O1 S2 N4 P1,7,17,1,2,4,,,1,,
366,267.124281,267.1238765304234,267.12379721039946,1676628.1,nan,326464.4,10.82,-1,0.29694106162377754,0.9841282496699306,0.0,0.5904769498019583,5.0,1.4285714285714286,0.35714285714285715,O5,de-protonated,0,,C14 H20 O5,14,20,5,,,,,,,
375,270.102188,270.1017731993566,270.10168204105616,1327358.9,nan,284697.4,8.04,-1,0.33749623386507605,0.9795444344953207,0.0,0.5877266606971924,0.0,2.3333333333333335,0.6666666666666666,N1 S1 O6,de-protonated,0,,C9 H21 O6 S1 N1,9,21,6,1,1,,,,,
376,270.135134,270.1347190850591,270.1346962470705,1863948.0,nan,432277.5,12.3,-1,0.08454296652167582,0.9987039337418757,0.0,0.5992223602451254,4.0,1.6153846153846154,0.38461538461538464,N1 O5,de-protonated,0,,C13 H21 O5 N1,13,21,5,,1,,,,,
384,271.155581,271.155162544886,271.15509733935545,1480355.6,nan,383168.0,9.18,-1,0.24047318754026434,0.9895621589154608,0.0,0.5937372953492764,3.0,1.7142857142857142,0.35714285714285715,O5,de-protonated,0,,C14 H24 O5,14,24,5,,,,,,,
385,271.191978,271.1915594186162,271.1914828487398,1628594.1,nan,442875.6,10.35,-1,0.28234616955572994,0.9856391420625564,0.0,0.5913834852375338,2.0,1.8666666666666667,0.26666666666666666,O4,de-protonated,0,,C15 H28 O4,15,28,4,,,,,,,
389,273.077389,273.07696387767754,273.0768470169655,1207200.3,nan,359295.9,7.02,-1,0.427940754939563,0.9673167334197723,0.0,0.5803900400518633,9.0,0.9333333333333333,0.3333333333333333,O5,de-protonated,0,,C15 H14 O5,15,14,5,,,,,,,
392,273.11379,273.1133647513938,273.1132325263498,1401006.6,nan,362272.3,8.55,-1,0.48414001324450734,0.958361676603464,0.0,0.5750170059620784,8.0,1.125,0.25,O4,de-protonated,0,,C16 H18 O4,16,18,4,,,,,,,
394,273.134922,273.1344966780819,273.13436189444917,2699959.0,nan,388875.5,18.8,-1,0.49347007022692,0.9567768786505645,0.0,0.5740661271903387,3.0,1.6923076923076923,0.46153846153846156,O6,de-protonated,0,,C13 H22 O6,13,22,6,,,,,,,
396,274.972273,274.9718413038748,274.9719449727461,8014734.0,nan,412630.5,60.74,-1,-0.3770161763760403,0.974538421903989,0.0,0.5847230531423934,6.0,1.125,0.375,N2 S2 P1 O3,de-protonated,0,,C8 H9 O3 S2 N2 P1,8,9,3,2,2,,,1,,
403,275.114154,275.1137218116559,275.1136264495429,1275334.0,nan,476880.9,7.55,-1,0.3466280978517279,0.9784346815339956,0.0,0.5870608089203974,3.0,1.6666666666666667,0.5833333333333334,O7,de-protonated,0,,C12 H20 O7,12,20,7,,,,,,,
405,275.971778,275.9713428363545,275.9712166969317,1882903.8,nan,388692.2,12.34,-1,0.45707456119933026,0.9628017617735489,0.0,0.5776810570641293,10.0,0.6666666666666666,0.08333333333333333,N1 S2 P1 O1,de-protonated,0,,C12 H8 O1 S2 N1 P1,12,8,1,2,1,,,1,,
407,276.04033,276.03989459853136,276.0399649637077,7399730.5,nan,392169.0,55.88,-1,-0.2549093800119307,0.9882789169694356,0.0,0.5929673501816614,4.0,1.7777777777777777,0.1111111111111111,N3 S2 P1 O1,de-protonated,0,,C9 H16 O1 S2 N3 P1,9,16,1,2,3,,,1,,
414,277.10871,277.1082708920673,277.10814714592146,2467030.0,nan,423196.8,16.95,-1,0.4465626403279583,0.964462653083171,0.0,0.5786775918499026,7.0,1.2,0.3333333333333333,O5,de-protonated,0,,C15 H18 O5,15,18,5,,,,,,,
419,278.037291,278.0368486705992,278.0369875835308,2085953.1,nan,405176.9,13.94,-1,-0.49962033026082336,0.9557171220462918,0.0,0.5734302732277751,4.0,1.75,0.5,N3 S1 P1 O4,de-protonated,0,,C8 H14 O4 S1 N3 P1,8,14,4,1,3,,,1,,
428,279.124363,279.12391689928825,279.12379721039946,3420648.5,nan,383393.8,24.25,-1,0.4288021658623771,0.9671872081964228,0.0,0.5803123249178537,6.0,1.3333333333333333,0.3333333333333333,O5,de-protonated,0,,C15 H20 O5,15,20,5,,,,,,,
449,283.15568,283.15521991369195,283.15509733935545,1396986.4,nan,409586.0,8.41,-1,0.43288762114107177,0.9665695942721337,0.0,0.5799417565632802,4.0,1.6,0.3333333333333333,O5,de-protonated,0,,C15 H24 O5,15,24,5,,,,,,,
460,285.134948,285.13448104714104,285.13436189444917,3678954.8,nan,398787.9,26.25,-1,0.4178826118127707,0.9688110935203291,0.0,0.5812866561121974,4.0,1.5714285714285714,0.42857142857142855,O6,de-protonated,0,,C14 H22 O6,14,22,6,,,,,,,
464,286.130041,286.12957059492703,286.12961086664217,2201954.0,nan,349644.7,14.46,-1,-0.14074640864330618,0.9964120350797917,0.0,0.597847221047875,4.0,1.6153846153846154,0.46153846153846156,N1 O6,de-protonated,0,,C13 H21 O6 N1,13,21,6,,1,,,,,
480,289.090937,289.09045632287547,289.0903890811921,1352627.0,nan,406819.3,7.92,-1,0.23259743637949265,0.9902313677759828,0.0,0.5941388206655897,8.0,1.125,0.1875,S1 O3,de-protonated,0,,C16 H18 O3 S1,16,18,3,1,,,,,,
494,291.124383,291.12389526836824,291.12379721039946,2681759.0,nan,329775.9,18.14,-1,0.3368256725297758,0.9796248059007746,0.0,0.5877748835404647,7.0,1.25,0.3125,O5,de-protonated,0,,C16 H20 O5,16,20,5,,,,,,,
507,293.103668,293.1031734017584,293.1030617654932,4432494.5,nan,349379.2,31.6,-1,0.38087717181968006,0.9740211190341933,0.0,0.584412671420516,7.0,1.2,0.4,O6,de-protonated,0,,C15 H18 O6,15,18,6,,,,,,,
509,293.140046,293.1395512755544,293.13944727487745,2309755.8,nan,362166.0,15.27,-1,0.35478226467554164,0.9774198075844152,0.0,0.5864518845506491,6.0,1.375,0.3125,O5,de-protonated,0,,C16 H22 O5,16,22,5,,,,,,,
511,293.176429,293.17593414933316,293.1758327842618,42792584.0,nan,349177.2,326.75,-1,0.3457483872745734,0.9736478120744556,0.9870174329026378,0.9789956604057284,5.0,1.5294117647058822,0.23529411764705882,O4,de-protonated,0,,C17 H26 O4,17,26,4,,,,,,,
512,293.179801,293.1793061376349,293.1792040876318,22525578.0,nan,349065.2,170.81,-1,0.34808063366389963,0.48912777428457543,0.8676488643339466,0.640536210304324,0.0,2.142857142857143,0.2857142857142857,S1 O4,de-protonated,0,,C14 H30 O4 S1,14,30,4,1,,,,,,
515,294.179809,294.17931066836957,294.1791876193341,7157746.5,nan,367144.6,51.69,-1,0.4182792008163049,0.9687528012643781,0.9870174329026378,0.976058653919682,5.0,1.625,0.25,13C1 O4,de-protonated,1,511,C16 H26 O4 13C1,16,26,4,,,1,,,,
522,295.04653,295.04602866150856,295.04594081120257,1267241.4,nan,478889.4,7.12,-1,0.29775127814494423,0.9840422137154017,0.0,0.590425328229241,8.0,0.9230769230769231,0.6153846153846154,O8,de-protonated,0,,C13 H12 O8,13,12,8,,,,,,,
527,295.13798,295.1374783442468,295.1373392746261,7525706.0,nan,346771.1,54.47,-1,0.47120307132710976,0.9615507889713586,0.997397828696607,0.9758896048614579,5.0,1.5,0.1875,S1 O3,de-protonated,0,,C16 H24 O3 S1,16,24,3,1,,,,,,
