"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","HtoC_ratio","OtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S","15N"
190,220.147392,220.147162110254,220.147189483499,1656105,NA,431622.2,11.25,-1,-0.124340651477785,0.997198626065591,0,0.598319175639354,0,2.4,0.2,"N1 P1 O2","de-protonated",0,NA,"C10 H24 O2 N1 P1",10,24,2,1,1,NA,NA,NA,NA,NA,NA,NA
217,229.144917,229.144645164263,229.144532655306,1949711.1,NA,490107.9,13.48,-1,0.490995600013308,0.957199881499464,0,0.574319928899678,2,1.83333333333333,0.333333333333333,"O4","de-protonated",0,NA,"C12 H22 O4",12,22,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,231.066674,231.066393205132,231.066282332916,1634081.5,NA,434814.6,10.89,-1,0.479828625257766,0.959084657866142,0,0.575450794719686,8,0.923076923076923,0.307692307692308,"O4","de-protonated",0,NA,"C13 H12 O4",13,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,238.036133,238.035819713879,238.035710479774,1187463.8,NA,499550.9,7.17,-1,0.458897971143854,0.962510024669017,0,0.57750601480141,7,0.9,0.6,"N1 O6","de-protonated",0,NA,"C10 H9 O6 N1",10,9,6,1,NA,NA,NA,NA,NA,NA,NA,NA
239,238.072516,238.072202544263,238.072095989158,1653399.3,NA,501543.4,10.95,-1,0.447574942525502,0.964304266602171,0,0.578582559961303,6,1.18181818181818,0.454545454545455,"N1 O5","de-protonated",0,NA,"C11 H13 O5 N1",11,13,5,1,NA,NA,NA,NA,NA,NA,NA,NA
240,238.963394,238.963076391036,238.963080565117,3944979.3,NA,509113.8,29.56,-1,-0.0174674690056105,0.999944639274975,0,0.599966783564985,12,0.307692307692308,0.0769230769230769,"S2 O1","de-protonated",0,NA,"C13 H4 O1 S2",13,4,1,NA,NA,2,NA,NA,NA,NA,NA,NA
243,239.056517,239.056198956902,239.056111572059,5180987,NA,458389.9,39.59,-1,0.365541136514363,0.97604632263485,0,0.58562779358091,6,1.09090909090909,0.545454545454545,"O6","de-protonated",0,NA,"C11 H12 O6",11,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,239.092933,239.092614787132,239.092497081443,5885514.5,NA,476337.5,45.31,-1,0.492301893027587,0.956976816520361,0,0.574186089912216,5,1.33333333333333,0.416666666666667,"O5","de-protonated",0,NA,"C12 H16 O5",12,16,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,239.125138,239.124819636994,239.124859838835,1207768.3,NA,507230.2,7.33,-1,-0.16812070822236,0.994884559104202,0,0.596930735462521,0,2.5,0.75,"N2 O6","de-protonated",0,NA,"C8 H20 O6 N2",8,20,6,2,NA,NA,NA,NA,NA,NA,NA,NA
248,239.165659,239.165340448088,239.165268100212,1341801.6,NA,527417,8.42,-1,0.302501596870365,0.983533220242504,0,0.590119932145502,3,1.71428571428571,0.214285714285714,"O3","de-protonated",0,NA,"C14 H24 O3",14,24,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,241.144981,241.144653220592,241.144532655306,1888699.1,NA,415577.1,12.77,-1,0.499971053625205,0.955656328625102,0,0.573393797175061,3,1.69230769230769,0.307692307692308,"O4","de-protonated",0,NA,"C13 H22 O4",13,22,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,242.176612,242.176279411182,242.176167136883,3068280.5,NA,482334.3,22.28,-1,0.463605896181032,0.961751821293629,0,0.577051092776178,2,1.92307692307692,0.230769230769231,"N1 O3","de-protonated",0,NA,"C13 H25 O3 N1",13,25,3,1,NA,NA,NA,NA,NA,NA,NA,NA
