"Index","Mass","Calibrated_Mass","Calculated_Mass","Peak_Height","Peak_Area","Resolving_Power","S_N","Ion_Charge","Error_ppm","Error_Score","Isotopologue_Similarity","Confidence_Score","DBE","HtoC_ratio","OtoC_ratio","Heteroatom_Class","Ion_Type","Is_Isotopologue","Mono_Isotopic_Index","Molecular_Formula","C","H","O","N","P","S","13C","17O","18O","33S","34S"
220,211.097972,211.0976814303,211.097582461872,1997141.8,NA,538645.2,14.18,-1,0.468827862954527,0.960902490043791,0,0.576541494026275,4,1.45454545454545,0.363636363636364,"O4","de-protonated",0,NA,"C11 H16 O4",11,16,4,NA,NA,NA,NA,NA,NA,NA,NA
249,219.030318,219.029996229,219.029896823532,1477807,NA,699838.7,9.77,-1,0.453844290490301,0.963315953704781,0,0.577989572222868,8,0.727272727272727,0.454545454545455,"O5","de-protonated",0,NA,"C11 H8 O5",11,8,5,NA,NA,NA,NA,NA,NA,NA,NA
251,219.087836,219.087514002757,219.087411701015,1336772.9,NA,490852,8.55,-1,0.466944863749541,0.961209762120793,0,0.576725857272476,2,1.77777777777778,0.666666666666667,"O6","de-protonated",0,NA,"C9 H16 O6",9,16,6,NA,NA,NA,NA,NA,NA,NA,NA
255,221.045981,221.045651300537,221.04554688801,2388146,NA,548055.4,17.18,-1,0.472357526132185,0.960323447196279,0,0.576194068317767,7,0.909090909090909,0.454545454545455,"O5","de-protonated",0,NA,"C11 H10 O5",11,10,5,NA,NA,NA,NA,NA,NA,NA,NA
258,221.082367,221.082037157416,221.081932397394,30492608,NA,503834.9,248.1,-1,0.473851574417949,0.480038572746313,0.884369916155675,0.641771110110058,6,1.16666666666667,0.333333333333333,"O4","de-protonated",0,NA,"C12 H14 O4",12,14,4,NA,NA,NA,NA,NA,NA,NA,NA
262,223.025216,223.024878515362,223.024811443103,2323379.3,NA,546158.5,16.64,-1,0.300738998298404,0.983722990754828,0,0.590233794452897,7,0.8,0.6,"O6","de-protonated",0,NA,"C10 H8 O6",10,8,6,NA,NA,NA,NA,NA,NA,NA,NA
263,223.061586,223.061248372303,223.061196952488,2339265.5,NA,536894.2,16.77,-1,0.230518871542746,0.9904043422771,0,0.59424260536626,6,1.09090909090909,0.454545454545455,"O5","de-protonated",0,NA,"C11 H12 O5",11,12,5,NA,NA,NA,NA,NA,NA,NA,NA
266,225.040868,225.040522586942,225.040461507581,2353614.5,NA,503444.1,16.78,-1,0.271415019486006,0.986722317161945,0,0.592033390297167,6,1,0.6,"O6","de-protonated",0,NA,"C10 H10 O6",10,10,6,NA,NA,NA,NA,NA,NA,NA,NA
267,225.077257,225.076911443809,225.076847016966,2986973,NA,541046.3,21.95,-1,0.286243762413791,0.985242882193775,0,0.591145729316265,5,1.27272727272727,0.454545454545455,"O5","de-protonated",0,NA,"C11 H14 O5",11,14,5,NA,NA,NA,NA,NA,NA,NA,NA
269,227.020168,227.019814801511,227.019726062675,1499110.4,NA,469427.3,9.79,-1,0.39088601635103,0.972656894397455,0,0.583594136638473,6,0.888888888888889,0.777777777777778,"O7","de-protonated",0,NA,"C9 H8 O7",9,8,7,NA,NA,NA,NA,NA,NA,NA,NA
270,227.05652,227.056166658523,227.056111572059,3069173,NA,531288.5,22.61,-1,0.242611677439336,0.989376683292391,0,0.593626009975435,5,1.2,0.6,"O6","de-protonated",0,NA,"C10 H12 O6",10,12,6,NA,NA,NA,NA,NA,NA,NA,NA
