"Sample_ID","NPOC_mg_C_per_L","TN_mg_N_per_L","Flags","Outlier"
"RC2_0002_OCN-3",2.556,0.1993,NA,NA
"RC2_0006_OCN-3",2.229,0.5168,NA,NA
"RC2_0003_OCN-2",5.125,0.3015,"NPOC_CV_Flag","TRUE"
"RC2_0001_OCN-1",0.9995,0.2338,NA,NA
"RC2_0004_OCN-2",1.842,0.2056,NA,NA
"RC2_0003_OCN-1",1.827,0.09064,"NPOC_CV_Flag",NA
"RC2_0002_OCN-1",2.706,0.2272,NA,NA
"RC2_0005_OCN-1",2.141,0.4357,NA,NA
"RC2_0006_OCN-1",2.14,0.4444,NA,NA
"RC2_0004_OCN-3",1.836,0.1888,NA,NA
"RC2_0006_OCN-2",2.1,0.4718,NA,NA
"RC2_0005_OCN-2",2.032,0.3988,NA,NA
"RC2_0001_OCN-2",1.027,0.2267,NA,NA
"RC2_0005_OCN-3",2.142,0.437,NA,NA
"RC2_0001_OCN-3",0.9658,0.2098,NA,NA
"RC2_0002_OCN-2",2.187,0.1548,NA,NA
"RC2_0003_OCN-3",1.869,0.08784,"NPOC_CV_Flag",NA
"RC2_0004_OCN-1",1.88,0.2058,NA,NA
"RC2_0012_OCN-2",2.025,0.4814,NA,NA
"RC2_0007_OCN-1",0.8657,0.1441,NA,NA
"RC2_0008_OCN-2",1.72,0.145,NA,NA
"RC2_0008_OCN-3",1.787,0.1586,NA,NA
"RC2_0009_OCN-3",1.522,0.06149,NA,NA
"RC2_0012_OCN-1",1.957,0.4938,NA,NA
"RC2_0010_OCN-2",1.656,0.2153,NA,NA
"RC2_0007_OCN-2",0.8255,0.1509,NA,NA
"RC2_0011_OCN-1",1.892,0.3743,NA,NA
"RC2_0007_OCN-3",0.7711,0.131,NA,NA
"RC2_0012_OCN-3",1.957,0.4839,NA,NA
"RC2_0011_OCN-2",1.851,0.3759,NA,NA
"RC2_0009_OCN-2",1.477,0.05901,NA,NA
"RC2_0009_OCN-1",1.477,0.06605,NA,NA
"RC2_0011_OCN-3",1.873,0.3796,NA,NA
"RC2_0010_OCN-1",1.58,0.2002,NA,NA
"RC2_0010_OCN-3",1.584,0.1895,NA,NA
"RC2_0008_OCN-1",1.752,0.1546,NA,NA
"RC2_0015_OCN-2",1.339,0.2623,NA,NA
"RC2_0018_OCN-3",1.806,0.7128,NA,NA
"RC2_0016_OCN-2",1.665,0.3825,NA,NA
"RC2_0014_OCN-1",1.604,0.3913,NA,NA
"RC2_0013_OCN-2",0.8667,0.328,NA,NA
"RC2_0015_OCN-1",1.288,0.2473,NA,NA
"RC2_0017_OCN-3",1.828,0.6258,NA,NA
"RC2_0017_OCN-2",1.877,0.6222,NA,NA
"RC2_0015_OCN-3",1.348,0.2501,NA,NA
"RC2_0013_OCN-1",0.6927,0.3214,NA,NA
"RC2_0014_OCN-2",1.48,0.3984,NA,NA
"RC2_0018_OCN-2",1.794,0.7046,NA,NA
"RC2_0014_OCN-3",1.54,0.3902,NA,NA
"RC2_0013_OCN-3",0.7898,0.3363,NA,NA
"RC2_0017_OCN-1",1.769,0.6081,NA,NA
"RC2_0016_OCN-1",1.721,0.3875,NA,NA
"RC2_0016_OCN-3",1.588,0.3678,NA,NA
"RC2_0018_OCN-1",1.813,0.6902,NA,NA
"RC2_0023_OCN-2",1.945,0.581,NA,NA
"RC2_0023_OCN-3",1.812,0.5296,NA,NA
"RC2_0024_OCN-3",1.962,0.6643,NA,NA
"RC2_0019_OCN-3",0.8995,0.1868,NA,NA
"RC2_0021_OCN-1",1.319,0.1222,NA,NA
"RC2_0023_OCN-1",1.975,0.5316,NA,NA
"RC2_0021_OCN-2",1.288,0.1176,NA,NA
"RC2_0020_OCN-1",1.502,0.2443,NA,NA
"RC2_0020_OCN-3",1.552,0.2374,NA,NA
"RC2_0022_OCN-3",1.652,0.2466,NA,NA
"RC2_0021_OCN-3",1.323,0.1248,NA,NA
"RC2_0024_OCN-1",1.821,0.6333,NA,NA
"RC2_0022_OCN-2",1.648,0.2453,NA,NA
"RC2_0019_OCN-1",0.8324,0.195,NA,NA
"RC2_0022_OCN-1",1.626,0.2494,NA,NA
"RC2_0024_OCN-2",1.942,0.651,NA,NA
"RC2_0020_OCN-2",1.494,0.2442,NA,NA
"RC2_0019_OCN-2",0.8653,0.2022,NA,NA
"RC2_0027_OCN-1",1.244,0.1517,NA,NA
"RC2_0025_OCN-2",0.8483,0.172,NA,NA
"RC2_0029_OCN-1",1.767,0.4385,NA,NA
"RC2_0025_OCN-3",0.8564,0.1717,NA,NA
"RC2_0027_OCN-3",1.198,0.1331,NA,NA
"RC2_0030_OCN-2",1.824,0.4958,NA,NA
"RC2_0026_OCN-2",1.346,0.2508,NA,NA
"RC2_0028_OCN-1",1.587,0.2422,NA,NA
"RC2_0025_OCN-1",0.8365,0.1763,NA,NA
"RC2_0026_OCN-1",1.279,0.25,NA,NA
"RC2_0029_OCN-2",1.818,0.4286,NA,NA
"RC2_0030_OCN-1",1.827,0.5219,NA,NA
"RC2_0030_OCN-3",1.776,0.5156,NA,NA
"RC2_0029_OCN-3",1.794,0.4219,NA,NA
"RC2_0027_OCN-2",1.204,0.1335,NA,NA
"RC2_0028_OCN-3",1.514,0.2462,NA,NA
"RC2_0026_OCN-3",1.294,0.2686,NA,NA
"RC2_0028_OCN-2",1.569,0.2437,NA,NA
"RC2_0032_OCN-3",1.253,0.2149,NA,NA
"RC2_0034_OCN-3",1.247,0.1607,NA,NA
"RC2_0033_OCN-1",1.12,0.06451,NA,NA
"RC2_0032_OCN-1",1.205,0.1924,NA,NA
"RC2_0031_OCN-3",0.7614,0.1297,NA,NA
"RC2_0035_OCN-1",1.595,0.3931,NA,NA
"RC2_0033_OCN-2",1.12,0.06,NA,NA
"RC2_0034_OCN-2",1.462,0.168,NA,NA
"RC2_0034_OCN-1",1.301,0.1382,NA,NA
"RC2_0032_OCN-2",1.273,0.197,NA,NA
"RC2_0036_OCN-3",1.539,0.4305,NA,NA
"RC2_0035_OCN-2",1.493,0.3646,NA,NA
"RC2_0035_OCN-3",1.584,0.3534,NA,NA
"RC2_0036_OCN-1",1.63,0.4337,NA,NA
"RC2_0031_OCN-1",0.7905,0.1105,NA,NA
"RC2_0031_OCN-2",0.7643,0.1153,NA,NA
"RC2_0033_OCN-3",1.109,0.07104,NA,NA
"RC2_0041_OCN-2",1.66,0.3405,NA,NA
"RC2_0037_OCN-2",1.591,0.1174,NA,NA
"RC2_0038_OCN-2",1.303,0.1743,NA,NA
"RC2_0040_OCN-1",1.668,0.1733,NA,NA
"RC2_0041_OCN-3",1.571,0.3384,NA,NA
"RC2_0040_OCN-3",1.59,0.1653,NA,NA
"RC2_0042_OCN-3",1.57,0.4404,NA,NA
"RC2_0042_OCN-2",1.621,0.4214,NA,NA
"RC2_0038_OCN-3",1.344,0.1656,NA,NA
"RC2_0039_OCN-2",1.527,0.1122,NA,NA
"RC2_0041_OCN-1",1.631,0.3417,NA,NA
"RC2_0042_OCN-1",1.562,0.4199,NA,NA
"RC2_0038_OCN-1",1.327,0.1714,NA,NA
"RC2_0039_OCN-3",1.484,0.107,NA,NA
"RC2_0040_OCN-2",1.524,0.1563,NA,NA
"RC2_0037_OCN-3",1.574,0.09457,NA,NA
"RC2_0039_OCN-1",1.507,0.08595,NA,NA
"RC2_0037_OCN-1",1.576,0.09461,NA,NA
"RC2_0043_OCN-1",0.5689,0.09332,NA,NA
"RC2_0044_OCN-1",0.9758,0.1319,NA,NA
"RC2_0046_OCN-2",1.393,0.2401,NA,NA
"RC2_0046_OCN-1",1.367,0.2302,NA,NA
"RC2_0048_OCN-2",1.694,0.6581,NA,NA
"RC2_0043_OCN-3",0.614,0.08167,NA,NA
"RC2_0048_OCN-3",1.66,0.6551,NA,NA
"RC2_0045_OCN-2",1.055,0.0844,NA,NA
"RC2_0046_OCN-3",1.422,0.2519,NA,NA
"RC2_0043_OCN-2",0.6028,0.09925,NA,NA
"RC2_0045_OCN-3",1.075,0.06103,NA,NA
"RC2_0048_OCN-1",1.707,0.6356,NA,NA
"RC2_0045_OCN-1",1.104,0.06497,NA,NA
"RC2_0044_OCN-3",1.115,0.1394,NA,NA
"RC2_0044_OCN-2",1.036,0.1382,NA,NA
"RC2_0053_OCN-2",1.343,0.2175,NA,NA
"RC2_0049_OCN-1",1.634,0.442,NA,NA
"RC2_0051_OCN-3",1.148,0.1109,NA,NA
"RC2_0050_OCN-1",0.7065,0.06608,NA,NA
"RC2_0054_OCN-1",1.829,0.4892,NA,NA
"RC2_0054_OCN-3",1.689,0.5098,NA,NA
"RC2_0052_OCN-1",1.07,0.05679,NA,NA
"RC2_0052_OCN-3",1.023,0.05135,NA,NA
"RC2_0051_OCN-1",1.071,0.1091,NA,NA
"RC2_0052_OCN-2",0.9664,0.0624,NA,NA
"RC2_0051_OCN-2",1.076,0.1064,NA,NA
"RC2_0050_OCN-2",0.7109,0.06877,NA,NA
"RC2_0053_OCN-3",1.331,0.2088,NA,NA
"RC2_0054_OCN-2",1.768,0.4964,NA,NA
"RC2_0049_OCN-3",1.62,0.4326,NA,NA
"RC2_0053_OCN-1",1.352,0.2036,NA,NA
"RC2_0050_OCN-3",0.682,0.05969,NA,NA
"RC2_0049_OCN-2",1.63,0.4268,NA,NA
"RC2_0060_OCN-2",1.473,0.5628,NA,NA
"RC2_0055_OCN-1",0.7101,0.05422,NA,NA
"RC2_0056_OCN-1",0.9856,0.09457,NA,NA
"RC2_0059_OCN-2",1.48,0.4177,NA,NA
"RC2_0057_OCN-2",0.9176,0.04662,NA,NA
"RC2_0057_OCN-3",0.9025,0.05107,NA,NA
"RC2_0058_OCN-2",1.21,0.1376,NA,NA
"RC2_0055_OCN-2",0.6711,0.05542,NA,NA
"RC2_0056_OCN-3",0.9494,0.09645,NA,NA
"RC2_0059_OCN-3",1.559,0.3975,NA,NA
"RC2_0057_OCN-1",0.8935,0.04114,NA,NA
"RC2_0058_OCN-3",1.177,0.1441,NA,NA
"RC2_0056_OCN-2",0.9709,0.0808,NA,NA
"RC2_0059_OCN-1",1.52,0.3978,NA,NA
"RC2_0060_OCN-3",1.556,0.5192,NA,NA
"RC2_0055_OCN-3",0.6902,0.04764,NA,NA
"RC2_0060_OCN-1",1.495,0.4995,NA,NA
"RC2_0058_OCN-1",1.295,0.161,NA,NA
"RC2_0061_OCN-3",0.5694,0.05301,NA,NA
"RC2_0065_OCN-1",1.874,1.245,NA,NA
"RC2_0064_OCN-2",1.292,0.2168,NA,NA
"RC2_0066_OCN-3",1.912,0.8484,NA,NA
"RC2_0065_OCN-3",1.925,1.242,NA,NA
"RC2_0062_OCN-3",0.9436,0.0804,NA,NA
"RC2_0061_OCN-2",0.5607,0.04029,NA,NA
"RC2_0063_OCN-1",0.9691,0.00186,NA,NA
"RC2_0063_OCN-3",0.9832,0.05968,NA,NA
"RC2_0061_OCN-1",0.5422,0.0129,NA,NA
"RC2_0066_OCN-1",1.907,0.828,NA,NA
"RC2_0064_OCN-3",1.266,0.2388,NA,NA
"RC2_0063_OCN-2",1.021,0.05279,NA,NA
"RC2_0062_OCN-2",0.9224,0.0655,NA,NA
"RC2_0064_OCN-1",1.306,0.2135,NA,NA
"RC2_0062_OCN-1",0.9456,0.08234,NA,NA
"RC2_0066_OCN-2",1.841,0.8841,NA,NA
"RC2_0065_OCN-2",1.893,1.225,NA,NA
"RC2_0070_OCN-2",1.249,0.2038,NA,NA
"RC2_0070_OCN-1",1.25,0.1946,NA,NA
"RC2_0072_OCN-3",1.913,0.8082,NA,NA
"RC2_0067_OCN-3",0.5022,0.03657,NA,NA
"RC2_0069_OCN-3",1.038,0.04773,NA,NA
"RC2_0070_OCN-3",1.284,0.2058,NA,NA
"RC2_0068_OCN-1",0.9585,0.06348,NA,NA
"RC2_0071_OCN-2",1.869,1.244,NA,NA
"RC2_0071_OCN-3",1.876,1.269,NA,NA
"RC2_0068_OCN-3",0.9929,0.05926,NA,NA
"RC2_0069_OCN-2",0.9758,0.05411,NA,NA
"RC2_0068_OCN-2",0.9652,0.08332,NA,NA
"RC2_0072_OCN-2",1.963,0.7877,NA,NA
"RC2_0067_OCN-2",0.479,0.03239,NA,NA
"RC2_0069_OCN-1",1.095,0.06607,NA,NA
"RC2_0067_OCN-1",0.442,0.0031,NA,NA
"RC2_0071_OCN-1",1.877,1.261,NA,NA
"RC2_0072_OCN-1",1.929,0.8118,NA,NA
"RC2_0073_OCN-1",1.865,0.7465,NA,NA
"RC2_0077_OCN-2",0.9265,0.05423,NA,NA
"RC2_0073_OCN-3",1.908,0.7231,NA,NA
"RC2_0078_OCN-2",0.4315,0.04712,NA,NA
"RC2_0074_OCN-3",1.875,1.221,NA,NA
"RC2_0076_OCN-1",0.9731,0.05649,NA,NA
"RC2_0078_OCN-3",0.4485,0.05387,NA,NA
"RC2_0077_OCN-1",0.9123,0.07376,NA,NA
"RC2_0077_OCN-3",0.9343,0.05957,NA,NA
"RC2_0075_OCN-3",1.171,0.1827,NA,NA
"RC2_0074_OCN-1",1.798,1.276,NA,NA
"RC2_0073_OCN-2",1.868,0.7338,NA,NA
"RC2_0076_OCN-3",0.9715,0.06344,NA,NA
"RC2_0074_OCN-2",1.76,1.239,NA,NA
"RC2_0078_OCN-1",0.4519,0.04817,NA,NA
"RC2_0076_OCN-2",0.9747,0.06369,NA,NA
"RC2_0075_OCN-1",1.223,0.1952,NA,NA
"RC2_0075_OCN-2",1.228,0.1797,NA,NA
"RC2_0081_OCN-2",1.065,0.07151,NA,NA
"RC2_0081_OCN-3",1.051,0.0707,NA,NA
"RC2_0084_OCN-1",1.836,0.9629,NA,NA
"RC2_0080_OCN-3",1.11,0.09996,NA,NA
"RC2_0082_OCN-3",1.248,0.1961,NA,NA
"RC2_0079_OCN-2",0.4689,0.04363,NA,NA
"RC2_0080_OCN-2",1.137,0.1175,NA,NA
"RC2_0084_OCN-3",1.86,0.9579,NA,NA
"RC2_0079_OCN-3",0.4532,0.03656,NA,NA
"RC2_0082_OCN-2",1.222,0.2082,NA,NA
"RC2_0081_OCN-1",1.092,0.09623,NA,NA
"RC2_0083_OCN-2",1.893,1.245,NA,NA
"RC2_0082_OCN-1",1.251,0.22,NA,NA
"RC2_0080_OCN-1",1.033,0.1065,NA,NA
"RC2_0084_OCN-2",1.851,0.9563,NA,NA
"RC2_0083_OCN-1",1.764,1.246,NA,NA
"RC2_0079_OCN-1",0.4638,0.04977,NA,NA
"RC2_0083_OCN-3",1.796,1.268,NA,NA
"RC2_0089_OCN-1",2.093,1.497,NA,NA
"RC2_0088_OCN-2",1.52,0.2753,NA,NA
"RC2_0085_OCN-3",0.7459,0.1011,NA,NA
"RC2_0088_OCN-3",1.458,0.2435,NA,NA
"RC2_0086_OCN-2",1.163,0.1162,NA,NA
"RC2_0089_OCN-3",1.935,1.454,NA,NA
"RC2_0086_OCN-3",1.086,0.1039,NA,NA
"RC2_0087_OCN-1",1.215,0.09576,NA,NA
"RC2_0088_OCN-1",1.474,0.2366,NA,NA
"RC2_0085_OCN-2",0.7201,0.08839,NA,NA
"RC2_0086_OCN-1",1.067,0.0897,NA,NA
"RC2_0085_OCN-1",0.7097,0.07422,NA,NA
"RC2_0087_OCN-3",1.153,0.07811,NA,NA
"RC2_0090_OCN-2",1.994,1.004,NA,NA
"RC2_0089_OCN-2",1.994,1.449,NA,NA
"RC2_0087_OCN-2",1.205,0.09676,NA,NA
"RC2_0090_OCN-1",1.929,1.051,NA,NA
"RC2_0090_OCN-3",2.021,1.013,NA,NA
"SPS_0014_OCN-2",0.662,0.08623,NA,NA
"SPS_0042_OCN-2",0.9192,0.1015,NA,NA
"SPS_0029_OCN-3",1.665,0.1442,NA,NA
"SPS_0040_OCN-2",1.104,0.09583,NA,NA
"SPS_0016_OCN-1",0.9921,0.06448,NA,NA
"SPS_0008_OCN-1",1.172,0.1464,NA,NA
"SPS_0046_OCN-1",1.085,0.08493,NA,NA
"SPS_0019_OCN-3",0.6186,0.07042,NA,NA
"SPS_0016_OCN-2",0.9495,0.06924,NA,NA
"SPS_0032_OCN-1",2.534,0.1313,NA,NA
"SPS_0019_OCN-1",0.6839,0.07802,NA,NA
"SPS_0009_OCN-1",0.8719,0.07288,NA,NA
"SPS_0012_OCN-2",1.064,0.1011,NA,NA
"SPS_0010_OCN-3",0.9459,0.07552,NA,NA
"SPS_0050_OCN-1",2.999,0.2209,NA,NA
"SPS_0021_OCN-1",0.6734,0.05087,NA,NA
"SPS_0034_OCN-1",2.166,0.6586,NA,NA
"SPS_0020_OCN-3",0.4844,0.05253,NA,NA
"SPS_0007_OCN-2",1.063,0.09049,NA,NA
"SPS_0046_OCN-3",0.9027,0.07287,NA,NA
"SPS_0004_OCN-1",1.949,1.974,NA,NA
"SPS_0030_OCN-1",1.135,0.1095,NA,NA
"SPS_0027_OCN-1",1.59,0.2343,NA,NA
"SPS_0048_OCN-1",1.103,0.1528,NA,NA
"SPS_0017_OCN-2",0.905,0.06733,NA,NA
"SPS_0025_OCN-3",0.6185,0.08051,NA,NA
"SPS_0031_OCN-1",1.18,0.07532,NA,NA
"SPS_0027_OCN-2",1.487,0.2022,NA,NA
"SPS_0009_OCN-2",0.7918,0.06029,NA,NA
"SPS_0034_OCN-3",1.999,0.6572,NA,NA
"SPS_0008_OCN-2",1.312,0.1898,NA,NA
"SPS_0022_OCN-2",1.005,0.1109,NA,NA
"SPS_0033_OCN-2",2.246,0.6401,NA,NA
"SPS_0047_OCN-2",1.403,0.106,NA,NA
"SPS_0046_OCN-2",1.101,0.08945,NA,NA
"SPS_0019_OCN-2",0.7332,0.05891,NA,NA
"SPS_0004_OCN-3",2.019,1.944,NA,NA
"SPS_0003_OCN-3",1.712,0.4266,NA,NA
"SPS_0043_OCN-3",0.712,0.07705,NA,NA
"SPS_0041_OCN-2",1.137,0.07168,NA,NA
"SPS_0015_OCN-3",0.6708,0.0626,NA,NA
"SPS_0026_OCN-3",0.649,0.1187,NA,NA
"SPS_0001_OCN-2",1.003,0.0724,NA,NA
"SPS_0030_OCN-2",1.19,0.07107,NA,NA
"SPS_0012_OCN-1",1.222,0.09416,NA,NA
"SPS_0008_OCN-3",1.09,0.1127,NA,NA
"SPS_0010_OCN-1",0.9382,0.09096,NA,NA
"SPS_0016_OCN-3",1.023,0.05702,NA,NA
"SPS_0031_OCN-3",1.328,0.08049,NA,NA
"SPS_0028_OCN-2",1.583,0.1904,NA,NA
"SPS_0028_OCN-1",1.59,0.195,NA,NA
"SPS_0027_OCN-3",1.627,0.2098,NA,NA
"SPS_0001_OCN-3",1.075,0.07299,NA,NA
"SPS_0043_OCN-2",0.7085,0.06484,NA,NA
"SPS_0020_OCN-1",0.6095,0.0474,NA,NA
