Mass,RC2_0024_ICR.2_p08,RC2_0024_ICR.3_p08,RC2_0025_ICR.1_p08,RC2_0025_ICR.2_p08,RC2_0025_ICR.3_p08,RC2_0026_ICR.1_p08,RC2_0026_ICR.2_p08,RC2_0026_ICR.3_p08,RC2_0027_ICR.1_p08,RC2_0027_ICR.2_p08,RC2_0027_ICR.3_p08,RC2_0028_ICR.1_p08,RC2_0028_ICR.2_p08,RC2_0028_ICR.3_p08,RC2_0029_ICR.1_p08,RC2_0029_ICR.2_p08,RC2_0029_ICR.3_p08,RC2_0030_ICR.1_p08,RC2_0030_ICR.2_p08,RC2_0030_ICR.3_p08,RC2_0001_ICR.1_p08,RC2_0001_ICR.2_p08,RC2_0001_ICR.3_p08,RC2_0002_ICR.1_p08,RC2_0002_ICR.2_p08,RC2_0002_ICR.3_p08,RC2_0003_ICR.1_p08,RC2_0003_ICR.2_p08,RC2_0003_ICR.3_p08,RC2_0004_ICR.1_p08,RC2_0004_ICR.2_p08,RC2_0004_ICR.3_p08,RC2_0005_ICR.1_p08,RC2_0005_ICR.2_p08,RC2_0005_ICR.3_p08,RC2_0006_ICR.1_p08,RC2_0006_ICR.2_p08,RC2_0006_ICR.3_p08,RC2_0007_ICR.1_p08,RC2_0007_ICR.2_p08,RC2_0007_ICR.3_p08,RC2_0008_ICR.1_p08,RC2_0008_ICR.2_p08,RC2_0008_ICR.3_p08,RC2_0009_ICR.1_p08,RC2_0009_ICR.2_p08,RC2_0009_ICR.3_p08,RC2_0010_ICR.1_p08,RC2_0010_ICR.2_p08,RC2_0010_ICR.3_p08,RC2_0011_ICR.1_p08,RC2_0011_ICR.2_p08,RC2_0011_ICR.3_p08,RC2_0012_ICR.1_p08,RC2_0012_ICR.2_p08,RC2_0012_ICR.3_p08,RC2_0013_ICR.1_p08,RC2_0013_ICR.2_p08,RC2_0013_ICR.3_p08,RC2_0014_ICR.1_p08,RC2_0014_ICR.2_p08,RC2_0014_ICR.3_p08,RC2_0015_ICR.1_p08,RC2_0015_ICR.2_p08,RC2_0015_ICR.3_p08,RC2_0016_ICR.1_p08,RC2_0016_ICR.2_p08,RC2_0016_ICR.3_p08,RC2_0017_ICR.1_p08,RC2_0017_ICR.2_p08,RC2_0017_ICR.3_p08,RC2_0018_ICR.1_p08,RC2_0018_ICR.2_p08,RC2_0018_ICR.3_p08,RC2_0019_ICR.2_p08,RC2_0019_ICR.3_p08,RC2_0020_ICR.1_p08,RC2_0020_ICR.2_p08,RC2_0020_ICR.3_p08,RC2_0021_ICR.1_p08,RC2_0021_ICR.2_p08,RC2_0021_ICR.3_p08,RC2_0022_ICR.1_p08,RC2_0022_ICR.2_p08,RC2_0022_ICR.3_p08,RC2_0023_ICR.1_p08,RC2_0023_ICR.2_p08,RC2_0023_ICR.3_p08,RC2_0024_ICR.1_p08
200.000829609188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902347.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.002650646163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909803.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.03045940289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886672.8,0,0
200.037818550442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969291.5,0,0,0,0,0,0,0,0,0,0,0,0,0
200.038640137705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927829.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.046731223479,0,0,0,0,0,0,0,0,0,0,0,0,0,879706.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.049777507228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943287.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.050178540276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936944.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.055872287982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917364.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.065934386727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969562.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.075847885856,0,0,0,0,0,928072.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.084139822163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875438.6,0,0,0,0,0,0,0,0,0,0,0
200.084975531685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892993.8,0,0,0,0,0,0,0,0,0,0,0,0,0
200.085341790979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043464.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.091707058202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879879.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.09218170684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016487.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.097182291472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983025.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.110441025837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892841.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.11416946341,0,0,0,0,0,0,0,0,0,0,895594.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.137375600747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001596.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.140883646079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895320.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
