Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
200.000829609188,0,0,0,0,0,0,0,0,,None,201.008106076068,0,0,NA,NA,NA,NA,NA,NA,NA,199.777506896122,0.222493103878037,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.002650646163,0,0,0,0,0,0,0,0,,None,201.009927113043,0,0,NA,NA,NA,NA,NA,NA,NA,199.779325899711,0.220674100289187,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.03045940289,8,12,1,1,0,1,1,0,CHONSP,Lipid,201.03773586977,-0.072908054126599,1,C8H12ONSP,0,0.111111111111111,4,3,0,95.925,199.807103604932,0.192896395068402,-1.25,0.125,1.5,0.125,0.125,1,Unsat Hydrocarbon,Lipid;Unsat Hydrocarbon,Lipid
200.037818550442,0,0,0,0,0,0,0,0,,None,201.045095017322,0,0,NA,NA,NA,NA,NA,NA,NA,199.814454535194,0.185545464806268,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.038640137705,8,11,3,1,0,1,0,0,CHONS,Lignin,201.045916604585,0.235319452204719,1,C8H11O3NS,0,0.111111111111111,4,1,-1,60.3,199.815275205065,0.184724794934965,0,0.375,1.375,0.125,0,NA,Lignin,Lignin,Other
200.046731223479,0,0,0,0,0,0,0,0,,None,201.054007690359,0,0,NA,NA,NA,NA,NA,NA,NA,199.82335725626,0.17664274373962,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.049777507228,0,0,0,0,0,0,0,0,,None,201.057053974108,0,0,NA,NA,NA,NA,NA,NA,NA,199.826400138502,0.173599861498275,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.050178540276,0,0,0,0,0,0,0,0,,None,201.057455007156,0,0,NA,NA,NA,NA,NA,NA,NA,199.826800723753,0.173199276247345,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.055872287982,0,0,0,0,0,0,0,0,,None,201.063148754862,0,0,NA,NA,NA,NA,NA,NA,NA,199.832488113769,0.167511886230898,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.065934386727,0,0,0,0,0,0,0,0,,None,201.073210853607,0,0,NA,NA,NA,NA,NA,NA,NA,199.842538977085,0.157461022915243,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.075847885856,0,0,0,0,0,0,0,0,,None,201.083124352736,0,0,NA,NA,NA,NA,NA,NA,NA,199.852441406712,0.147558593287926,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.084139822163,0,0,0,0,0,0,0,0,,None,201.091416289043,0,0,NA,NA,NA,NA,NA,NA,NA,199.860724084169,0.139275915831092,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.084975531685,0,0,0,0,0,0,0,0,,None,201.092251998565,0,0,NA,NA,NA,NA,NA,NA,NA,199.86155886053,0.138441139469819,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.085341790979,0,0,0,0,0,0,0,0,,None,201.092618257859,0,0,NA,NA,NA,NA,NA,NA,NA,199.861924710856,0.13807528914424,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.091707058202,0,0,0,0,0,0,0,0,,None,201.098983525082,0,0,NA,NA,NA,NA,NA,NA,NA,199.868282870565,0.131717129435458,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.09218170684,0,0,0,0,0,0,0,0,,None,201.09945817372,0,0,NA,NA,NA,NA,NA,NA,NA,199.868756989206,0.131243010794378,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.097182291472,0,0,0,0,0,0,0,0,,None,201.104458758352,0,0,NA,NA,NA,NA,NA,NA,NA,199.87375199014,0.126248009859836,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.110441025837,0,0,0,0,0,0,0,0,,None,201.117717492717,0,0,NA,NA,NA,NA,NA,NA,NA,199.886995919684,0.113004080316102,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.11416946341,0,0,0,0,0,0,0,0,,None,201.12144593029,0,0,NA,NA,NA,NA,NA,NA,NA,199.89072019405,0.109279805949768,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.137375600747,0,0,0,0,0,0,0,0,,None,201.144652067627,0,0,NA,NA,NA,NA,NA,NA,NA,199.913900419207,0.0860995807930465,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.140883646079,0,0,0,0,0,0,0,0,,None,201.148160112959,0,0,NA,NA,NA,NA,NA,NA,NA,199.917404547424,0.0825954525758164,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.146159672346,0,0,0,0,0,0,0,0,,None,201.153436139226,0,0,NA,NA,NA,NA,NA,NA,NA,199.922674682433,0.0773253175668742,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.15505264911,0,0,0,0,0,0,0,0,,None,201.16232911599,0,0,NA,NA,NA,NA,NA,NA,NA,199.93155772922,0.0684422707801957,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.16855946797,0,0,0,0,0,0,0,0,,None,201.17583593485,0,0,NA,NA,NA,NA,NA,NA,NA,199.945049466245,0.0549505337547771,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.171916416434,0,0,0,0,0,0,0,0,,None,201.179192883314,0,0,NA,NA,NA,NA,NA,NA,NA,199.948402666311,0.0515973336894433,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.177873477128,0,0,0,0,0,0,0,0,,None,201.185149944008,0,0,NA,NA,NA,NA,NA,NA,NA,199.954353075297,0.045646924702595,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.178050098612,0,0,0,0,0,0,0,0,,None,201.185326565492,0,0,NA,NA,NA,NA,NA,NA,NA,199.954529499564,0.0454705004357265,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.186848470246,0,0,0,0,0,0,0,0,,None,201.194124937126,0,0,NA,NA,NA,NA,NA,NA,NA,199.963318046858,0.0366819531421072,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.195169461432,0,0,0,0,0,0,0,0,,None,201.202445928312,0,0,NA,NA,NA,NA,NA,NA,NA,199.971629746751,0.0283702532492214,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.200134351575,0,0,0,0,0,0,0,0,,None,201.207410818455,0,0,NA,NA,NA,NA,NA,NA,NA,199.976589093053,0.0234109069468786,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.209958338993,0,0,0,0,0,0,0,0,,None,201.217234805873,0,0,NA,NA,NA,NA,NA,NA,NA,199.986402110919,0.0135978890809838,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.219777207028,0,0,0,0,0,0,0,0,,None,201.227053673909,0,0,NA,NA,NA,NA,NA,NA,NA,199.996210015118,0.0037899848817915,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.22284025118,0,0,0,0,0,0,0,0,,None,201.23011671806,0,0,NA,NA,NA,NA,NA,NA,NA,199.999269639048,0.000730360952218234,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.227849281416,0,0,0,0,0,0,0,0,,None,201.235125748296,0,0,NA,NA,NA,NA,NA,NA,NA,200.004273076156,0.995726923844131,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.229282474263,0,0,0,0,0,0,0,0,,None,201.236558941143,0,0,NA,NA,NA,NA,NA,NA,NA,200.005704668687,0.994295331313083,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.232020420483,0,0,0,0,0,0,0,0,,None,201.239296887363,0,0,NA,NA,NA,NA,NA,NA,NA,200.008439557692,0.991560442308298,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.234392417847,0,0,0,0,0,0,0,0,,None,201.241668884727,0,0,NA,NA,NA,NA,NA,NA,NA,200.010808906462,0.989191093537727,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.248366921142,0,0,0,0,0,0,0,0,,None,201.255643388022,0,0,NA,NA,NA,NA,NA,NA,NA,200.024767805702,0.975232194297945,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.252476811608,0,0,0,0,0,0,0,0,,None,201.259753278488,0,0,NA,NA,NA,NA,NA,NA,NA,200.028873107028,0.971126892972364,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.268653074208,0,0,0,0,0,0,0,0,,None,201.275929541088,0,0,NA,NA,NA,NA,NA,NA,NA,200.045031307068,0.954968692931686,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.269235915112,0,0,0,0,0,0,0,0,,None,201.276512381992,0,0,NA,NA,NA,NA,NA,NA,NA,200.045613497167,0.954386502833046,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.269570295801,0,0,0,0,0,0,0,0,,None,201.276846762681,0,0,NA,NA,NA,NA,NA,NA,NA,200.045947504483,0.954052495516521,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.279423169221,0,0,0,0,0,0,0,0,,None,201.286699636101,0,0,NA,NA,NA,NA,NA,NA,NA,200.055789376097,0.944210623903018,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.286342219926,0,0,0,0,0,0,0,0,,None,201.293618686806,0,0,NA,NA,NA,NA,NA,NA,NA,200.062700700928,0.93729929907181,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.286628329959,0,0,0,0,0,0,0,0,,None,201.293904796839,0,0,NA,NA,NA,NA,NA,NA,NA,200.062986491488,0.937013508511853,NA,NA,NA,NA,NA,NA,NA,NA,NA
