Timestamp,Location,Site_Vial_ID_(4_digit_numeric_code),Date_[mm/dd/yyyy],Time_Zone,Time_Arriving_[24_hr_hh:mm],Time_Leaving_[24_hr_hh_mm],SpC_[uS/cm]-1,pH-1,TDS_[ppm]-1,Temperature_[degC]-1,SpC_[uS/cm]-2,pH-2,TDS_[ppm]-2,Temperature_[degC]-2,SpC_[uS/cm]-3,pH-3,TDS_[ppm]-3,Temperature_[degC]-3,Spectrolyzer_Start_Time_[24_hr_hh:mm],Spectrolyzer_Nitrate_[mg/L],Spectrolyzer_TOC_[mg/L],Spectrolyzer_DOC_[mg/L],Spectrolyzer_Temperature_[degC],Spectrolyzer_Time_End_[24_hr_hh:mm],Latitude_[dd],Longitude_[dd],GPS_Accuracy_[ft],Manta_Time_Turned_On_[24_hr_hh:mm],Manta_Start_Time_[24_hr_hh:mm],Manta_End_Time_[24_hr_hh:mm],Manta_Time_Turned_Off_[24_hr_hh:mm],Manta_Serial_Number,BaroTROLL_Time_Turned_On_[24-hr_hh:mm],BaroTROLL_Start_Time_[24_hr_hh:mm],BaroTroll_End_Time_[24_hr_hh:mm],BaroTroll_Time_Turned_Off_[24_hr_hh:mm],BaroTroll_Serial_Number,YSI_Time_[24_hr_hh:mm]-1,YSI_Temperature_[degC]-1,YSI_[mmHg]-1,YSI_DO_[%Sat]-1,YSI_DO_[mg/L]-1,YSI_Time_[24_hr_hh:mm]-2,YSI_Temperature_[degC]-2,YSI_[mmHg]-2,YSI_DO_[%Sat]-2,YSI_DO_[mg/L]-2,YSI_Serial_Number,Notes,Email,Field_Staff_[first_name_last_name],Time_[24_hr_hh:mm]-1,Time_[24_hr_hh:mm]-2,Time_[24_hr_hh:mm]-3
6/11/2021 14:39:37,American River,0043,6/10/2021,PST,9:42,11:05,43.24,7.71,28.69,6.5,43.24,7.7,28.67,6.5,43.26,7.65,28.72,6.5,10:00,0.18,1.42,0.74,7.51,10:53,46.977755,-121.168433,22,9:34,10:00,10:59,22:11,03214659L,8:00,9:42,11:05,22:00,801493,10:20,6.5,691,100.6,12.37,10:50,6.7,691.3,100.5,12.3,15K100760,"Double-checked Manta start time against log file upon return from field (SFulton confirmed time was accurate). OCN vials filled to half-way mark, realized mistake (filling 3/4 full, or 30 mL, as of 6/10/21 sampling event), emptied as much as possible by shaking out, refilled to 3/4.",,"Stephanie_Fulton, Aaron_Pelly",10:15,10:16,10:17
6/11/2021 14:46:09,Little Naches,0044,6/10/2021,PST,11:37,12:30,54.35,7.91,35.27,9.8,54.21,7.86,35.61,9.7,54.31,7.96,35.67,9.7,11:48,0.46,1.93,1.12,10.36,12:15,46.989159,-121.098501,19,9:34,11:48,12:22,22:11,03214659L,8:00,11:45,12:29,22:00,801493,11:50,9.4,696.9,105.1,12.03,12:20,9.7,696.7,105,11.94,15K100760,"River has receded substantially since 6/3/21 (last week), approximately 12 ft of beach exposed now.",,"Stephanie_Fulton, Aaron_Pelly",11:59,12:00,12:00
6/11/2021 14:52:55,Naches- Craig Road 2,0045,6/10/2021,PST,14:05,15:00,60.12,7.85,38.63,13.4,60.08,7.85,38.78,13.4,60.1,7.86,38.93,13.3,14:15,0.38,2.74,1.09,13.98,14:44,46.728776,-120.713658,20,9:34,14:15,14:49,22:11,03214659L,8:00,14:05,15:00,22:00,801493,14:21,13.1,723.5,107.1,11.26,14:47,13.5,723.6,107.4,11.2,15K100760,"Filter clogged after 1.5 DIC samples (~160 mL). Double-check Manta ""time out of water""; time was accurate, completed by SFulton 6/11/2021.",,"Stephanie_Fulton, Aaron_Pelly",14:27,14:28,14:28
6/11/2021 14:59:12,Union Gap,0046,6/10/2021,PST,15:46,17:07,93.13,8.14,59.69,15.9,92.98,8.15,59.84,15.7,93.08,8.15,59.95,15.7,16:28,0.67,2.43,1.29,15.99,16:47,46.53088,-120.470257,16,9:34,16:22,16:54,22:11,03214659L,8:00,16:22,17:06,22:00,801493,16:32,15.6,737.2,115.1,11.47,16:50,15.6,737.2,114.9,11.44,15K100760,Check time in water for Manta. Time was accurate compared to log file; completed by SFulton on 6/11/21.,,"Stephanie_Fulton, Aaron_Pelly",16:38,16:39,16:39
6/11/2021 15:04:58,Kiona,0048,6/10/2021,PST,19:20,20:17,179.2,8.96,115.9,19.5,179,8.97,115.7,19.5,179,8.96,115.7,19.5,19:34,1.3,2.58,1.54,19.92,19:51,46.255247,-119.474118,19,9:34,19:31,20:00,22:11,03214659L,8:00,19:22,20:15,22:00,801493,19:48,19.6,750.1,128.9,11.81,19:57,19.6,750.2,127.8,11.71,15K100760,Moved downstream to new site near the end of parking lot. Deployed sensors just above riffle.,,"Stephanie_Fulton, Aaron_Pelly",19:40,19:41,19:42
6/12/2021 14:13:37,American River,0037,6/3/2021,PST,9:04,9:46,30.81,7.68,20.11,6.5,30.54,7.6,19.97,6.1,30.52,7.55,19.98,6.2,9:10,0.77,3.88,1.71,7.05,9:31,46.977786,-121.168401,16,8:53,9:10,9:39,17:55,03214659L,8:30,9:04,9:39,20:00,801493,9:10,6,687.5,100.6,12.52,9:37,6,687.4,100.9,12.56,15K100760,"The spectrolyzer, Manta, and YSI were in a little bit before 9:10 but had to get readjusted. Barotroll scheduled for 8:30-20:00. 
Needed 3 sterivex filters - very turbid and high discharge.",,"Stephanie_Fulton, Lupita_Renteria",9:20,9:21,9:29
6/12/2021 14:18:51,Little Naches,0038,6/3/2021,PST,10:00,10:36,42.58,7.67,27.94,8.6,43.07,7.68,28.31,8.4,42.9,7.65,28.24,8.2,10:08,0.75,2.81,1.46,9.28,10:27,46.989215,-121.098612,14,8:53,10:08,10:30,17:55,03214659L,8:30,10:10,10:35,20:00,801493,10:10,8.2,693.1,103,12.14,10:23,8.3,693.2,103.2,12.14,15K100760,"Beach submerged.
Used 3 sterivex filters.",,"Stephanie_Fulton, Lupita_Renteria",10:14,10:15,10:16
6/12/2021 14:24:15,Naches- Craig Road 2,0039,6/3/2021,PST,11:25,12:00,43.32,7.57,27.79,12.6,42.69,7.58,27.65,12.4,42.64,7.56,27.6,12.3,11:29,0.79,5.03,1.71,12.9,11:50,46.728756,-120.713619,14,8:53,11:29,11:56,17:55,03214659L,8:30,11:29,12:00,20:00,801493,11:31,12.3,718.2,105.6,11.31,11:53,12.3,718.1,105.8,11.32,15K100760,Used 6 sterivex filters.,,"Stephanie_Fulton, Lupita_Renteria",11:34,11:35,11:35
6/12/2021 14:30:09,Union Gap,0040,6/3/2021,PST,12:49,13:41,71.47,7.69,45.82,16.6,71.25,7.71,45.79,16.5,71.2,7.71,45.73,16.5,13:04,0.84,4.04,1.69,16.99,13:25,46.530834,-120.470328,16,8:53,13:04,13:33,17:55,03214659L,8:30,13:04,13:39,20:00,801493,13:05,16.3,730.9,108.9,10.69,13:24,16.3,730.9,109.1,10.7,15K100760,"Sampled from the boat ramp because there were people at our normal site.
Used 5 sterivex filters.",,"Stephanie_Fulton, Lupita_Renteria",13:15,13:15,13:16
6/12/2021 14:35:30,Mabton,0041,6/3/2021,PST,14:48,16:05,116.2,7.86,73.84,21.8,116.6,8.04,73.96,21.5,116.4,8.05,74.03,21.7,15:43,1.02,3.27,1.65,24.08,15:55,46.232013,-120.000251,16,8:53,15:43,15:58,17:55,03214659L,8:30,16:01,16:04,20:00,801493,15:46,21.9,737.2,110,9.7,15:53,21,737.2,108.8,9.7,15K100760,NA,,"Stephanie_Fulton, Lupita_Renteria",15:41,15:41,15:42
