Sample_ID,Parent_ID,Site_ID,your_site_4digit,your_rep,Sample_ID_repo,repo_location,your_richness,repo_richness,richness_difference,your_total_transformations,repo_total_transformations,total_transformations_difference,your_normalized_transformations,repo_normalized_transformations,normalized_transformations_difference,your_basin_area_km2,repo_basin_area_km2,basin_area_difference_km2
RC2_0001_ICR-1,RC2_0001,T06,0001,1,RC2_0001_ICR.1_p08,American River,4182,3196,986,28182,65532,-37350,6.738880918220947,20.504380475594495,-13.765499557373548,206.20349999999996,206.20349999999996,0
RC2_0001_ICR-2,RC2_0001,T06,0001,2,RC2_0001_ICR.2_p08,American River,4373,3871,502,28969,79217,-50248,6.624514063571919,20.46422113149057,-13.839707067918653,206.20349999999996,206.20349999999996,0
RC2_0001_ICR-3,RC2_0001,T06,0001,3,RC2_0001_ICR.3_p08,American River,4130,3078,1052,27290,62835,-35545,6.60774818401937,20.41423001949318,-13.806481835473807,206.20349999999996,206.20349999999996,0
RC2_0002_ICR-1,RC2_0002,T05P,0002,1,RC2_0002_ICR.1_p08,Little Naches,4475,3606,869,28475,72162,-43687,6.363128491620111,20.011647254575706,-13.648518762955595,383.86440000000005,383.86440000000005,0
RC2_0002_ICR-2,RC2_0002,T05P,0002,2,RC2_0002_ICR.2_p08,Little Naches,4428,3805,623,25306,76884,-51578,5.714995483288166,20.20604467805519,-14.491049194767022,383.86440000000005,383.86440000000005,0
RC2_0002_ICR-3,RC2_0002,T05P,0002,3,RC2_0002_ICR.3_p08,Little Naches,4249,3715,534,24712,75557,-50845,5.815956695693104,20.33835800807537,-14.522401312382268,383.86440000000005,383.86440000000005,0
RC2_0003_ICR-1,RC2_0003,T41,0003,1,RC2_0003_ICR.1_p08,Naches- Craig Road 1,4317,3615,702,25648,73237,-47589,5.941162844567987,20.259197786998616,-14.318034942430629,2465.9001000000003,2465.9001000000003,0
RC2_0003_ICR-2,RC2_0003,T41,0003,2,RC2_0003_ICR.2_p08,Naches- Craig Road 1,3702,2854,848,27178,56067,-28889,7.341437061048082,19.645059565522075,-12.303622504473992,2465.9001000000003,2465.9001000000003,0
RC2_0003_ICR-3,RC2_0003,T41,0003,3,RC2_0003_ICR.3_p08,Naches- Craig Road 1,4202,3770,432,22630,75382,-52752,5.385530699666825,19.99522546419098,-14.609694764524155,2465.9001000000003,2465.9001000000003,0
RC2_0004_ICR-1,RC2_0004,T03,0004,1,RC2_0004_ICR.1_p08,Union Gap,4434,3849,585,26588,77871,-51283,5.996391520072169,20.23148869836321,-14.235097178291042,8977.068899999998,8977.068899999998,0
RC2_0004_ICR-2,RC2_0004,T03,0004,2,RC2_0004_ICR.2_p08,Union Gap,4462,3839,623,25468,76962,-51494,5.707754370237562,20.04740817921334,-14.339653808975775,8977.068899999998,8977.068899999998,0
RC2_0004_ICR-3,RC2_0004,T03,0004,3,RC2_0004_ICR.3_p08,Union Gap,4239,3743,496,25549,75763,-50214,6.027129039867893,20.24125033395672,-14.214121294088827,8977.068899999998,8977.068899999998,0
RC2_0005_ICR-1,RC2_0005,T02,0005,1,RC2_0005_ICR.1_p08,Mabton,4574,3366,1208,28795,70843,-42048,6.295365107127241,21.046642899584075,-14.751277792456834,13461.462,13461.462,0
RC2_0005_ICR-2,RC2_0005,T02,0005,2,RC2_0005_ICR.2_p08,Mabton,4618,3939,679,27877,81568,-53691,6.036595928973582,20.707793856308708,-14.671197927335125,13461.462,13461.462,0
RC2_0005_ICR-3,RC2_0005,T02,0005,3,RC2_0005_ICR.3_p08,Mabton,4123,3265,858,28962,68197,-39235,7.0244967256851805,20.887289433384378,-13.862792707699198,13461.462,13461.462,0
RC2_0006_ICR-1,RC2_0006,T07,0006,1,RC2_0006_ICR.1_p08,Kiona,4552,3942,610,30236,84462,-54226,6.642355008787346,21.426179604261797,-14.783824595474451,14144.724900000001,14144.724900000001,0
RC2_0006_ICR-2,RC2_0006,T07,0006,2,RC2_0006_ICR.2_p08,Kiona,4721,3435,1286,27938,71675,-43737,5.917814022452871,20.86608442503639,-14.948270402583521,14144.724900000001,14144.724900000001,0
RC2_0006_ICR-3,RC2_0006,T07,0006,3,RC2_0006_ICR.3_p08,Kiona,4517,3763,754,26511,79092,-52581,5.869160947531547,21.01833643369652,-15.149175486164971,14144.724900000001,14144.724900000001,0
RC2_0007_ICR-1,RC2_0007,T06,0007,1,RC2_0007_ICR.1_p08,American River,4112,3022,1090,26297,60787,-34490,6.395184824902723,20.114824619457313,-13.719639794554588,206.20349999999996,206.20349999999996,0
RC2_0007_ICR-2,RC2_0007,T06,0007,2,RC2_0007_ICR.2_p08,American River,4226,3333,893,25433,66034,-40601,6.018220539517274,19.81218121812181,-13.793960678604538,206.20349999999996,206.20349999999996,0
RC2_0007_ICR-3,RC2_0007,T06,0007,3,RC2_0007_ICR.3_p08,American River,3873,3272,601,23437,63286,-39849,6.05138135812032,19.341687041564793,-13.290305683444473,206.20349999999996,206.20349999999996,0
RC2_0008_ICR-1,RC2_0008,T05P,0008,1,RC2_0008_ICR.1_p08,Little Naches,4422,3835,587,22420,72827,-50407,5.070104025327906,18.990091264667537,-13.919987239339632,383.86440000000005,383.86440000000005,0
RC2_0008_ICR-2,RC2_0008,T05P,0008,2,RC2_0008_ICR.2_p08,Little Naches,4237,3468,769,24126,69281,-45155,5.694123200377626,19.97722029988466,-14.283097099507035,383.86440000000005,383.86440000000005,0
RC2_0008_ICR-3,RC2_0008,T05P,0008,3,RC2_0008_ICR.3_p08,Little Naches,4429,3555,874,24574,70287,-45713,5.548430797019643,19.771308016877637,-14.222877219857994,383.86440000000005,383.86440000000005,0
RC2_0009_ICR-1,RC2_0009,T42,0009,1,RC2_0009_ICR.1_p08,Naches- Craig Road 2,4305,3359,946,26783,69558,-42775,6.2213704994192804,20.707948794284015,-14.486578294864735,2465.9001000000003,2465.9001000000003,0
RC2_0009_ICR-2,RC2_0009,T42,0009,2,RC2_0009_ICR.2_p08,Naches- Craig Road 2,4500,3713,787,26232,74866,-48634,5.8293333333333335,20.163210342041477,-14.333877008708143,2465.9001000000003,2465.9001000000003,0
RC2_0009_ICR-3,RC2_0009,T42,0009,3,RC2_0009_ICR.3_p08,Naches- Craig Road 2,4461,3715,746,26541,75618,-49077,5.949562878278413,20.35477792732167,-14.405215049043257,2465.9001000000003,2465.9001000000003,0
