Site_ID,your_site_4digit,repo_location,your_basin_area_km2,repo_basin_area_km2,n_your_samples,n_repo_samples,your_mean_richness,repo_mean_richness,richness_difference,your_mean_total_transformations,repo_mean_total_transformations,total_transformations_difference,your_mean_normalized_transformations,repo_mean_normalized_transformations,normalized_transformations_difference,basin_area_difference_km2
T02,0005,Mabton,13461.462,13461.462,3,3,4438.333333333333,3523.3333333333335,914.9999999999995,28544.666666666668,73536,-44991.33333333333,6.452152587262001,20.88057539642572,-14.428422809163719,0
T02,0011,Mabton,13461.462,13461.462,3,3,4443,3520,923,25950.333333333332,71945.66666666667,-45995.33333333334,5.872627140032728,20.446785637108956,-14.574158497076228,0
T02,0017,Mabton,13461.462,13461.462,3,3,4545.333333333333,3823.6666666666665,721.6666666666665,25158.666666666668,79256.66666666667,-54098,5.533407678491168,20.730035885232894,-15.196628206741726,0
T02,0023,Mabton,13461.462,13461.462,3,3,4427.666666666667,4057.3333333333335,370.3333333333335,25100.666666666668,82762.66666666667,-57662,5.668960060916206,20.397346380597387,-14.728386319681182,0
T02,0029,Mabton,13461.462,13461.462,3,3,4430.666666666667,3877.3333333333335,553.3333333333335,27009.333333333332,80923,-53913.66666666667,6.09668866536081,20.885376625834212,-14.788687960473402,0
T02,0035,NA,13461.462,NA,3,0,4641.666666666667,NA,NA,27618,NA,NA,5.948217386681534,NA,NA,NA
T02,0041,NA,13461.462,NA,3,0,4381.666666666667,NA,NA,27768,NA,NA,6.374966894615052,NA,NA,NA
T02,0049,NA,13461.462,NA,3,0,4534.666666666667,NA,NA,28860.666666666668,NA,NA,6.386777474337561,NA,NA,NA
T02,0059,NA,13461.462,NA,3,0,4556.666666666667,NA,NA,28699.333333333332,NA,NA,6.286981808795152,NA,NA,NA
T02,0065,NA,13461.462,NA,3,0,4581.333333333333,NA,NA,30565,NA,NA,6.673878704207507,NA,NA,NA
T02,0071,NA,13461.462,NA,3,0,4574.666666666667,NA,NA,28505.666666666668,NA,NA,6.227624914283727,NA,NA,NA
T02,0074,NA,13461.462,NA,3,0,4445.333333333333,NA,NA,30537.333333333332,NA,NA,6.869102502715374,NA,NA,NA
T02,0083,NA,13461.462,NA,3,0,4567.333333333333,NA,NA,32190,NA,NA,7.049358517155875,NA,NA,NA
T02,0089,NA,13461.462,NA,3,0,4669.333333333333,NA,NA,29890,NA,NA,6.3998814485454165,NA,NA,NA
T02,0095,NA,13461.462,NA,3,0,4261.333333333333,NA,NA,29026.666666666668,NA,NA,6.8137579021633234,NA,NA,NA
T02,0098,NA,13461.462,NA,3,0,4349.333333333333,NA,NA,29322.666666666668,NA,NA,6.742170667250937,NA,NA,NA
T02,NA,NA,13461.462,NA,52,0,4134.038461538462,NA,NA,26396.153846153848,NA,NA,6.412667508509551,NA,NA,NA
T03,0004,Union Gap,8977.068899999998,8977.068899999998,3,3,4378.333333333333,3810.3333333333335,567.9999999999995,25868.333333333332,76865.33333333333,-50997,5.910424976725875,20.173382403844425,-14.26295742711855,0
T03,0010,Union Gap,8977.068899999998,8977.068899999998,3,3,4383.666666666667,3512.6666666666665,871.0000000000005,26865.333333333332,73224,-46358.66666666667,6.134711550659124,20.86366291525068,-14.728951364591556,0
T03,0016,Union Gap,8977.068899999998,8977.068899999998,3,3,4556.666666666667,3819.6666666666665,737.0000000000005,25727,78811,-53084,5.637734982872661,20.641591739784616,-15.003856756911954,0
T03,0022,Union Gap,8977.068899999998,8977.068899999998,3,3,4506,3886.3333333333335,619.6666666666665,26372,81278.33333333333,-54906.33333333333,5.85209751459587,20.917929247687674,-15.065831733091805,0
T03,0028,Union Gap,8977.068899999998,8977.068899999998,3,3,4351,3847.3333333333335,503.6666666666665,24859.666666666668,78615.66666666667,-53756,5.708131324560249,20.4448647122428,-14.736733387682552,0
T03,0034,NA,8977.068899999998,NA,3,0,4463,NA,NA,28426.333333333332,NA,NA,6.384529715641682,NA,NA,NA
T03,0040,NA,8977.068899999998,NA,3,0,4421.333333333333,NA,NA,27501.333333333332,NA,NA,6.2412892539012255,NA,NA,NA
T03,0046,NA,8977.068899999998,NA,3,0,4553,NA,NA,29291,NA,NA,6.436208357822744,NA,NA,NA
T03,0053,NA,8977.068899999998,NA,3,0,4502,NA,NA,31908,NA,NA,7.110596046689546,NA,NA,NA
T03,0058,NA,8977.068899999998,NA,3,0,4413,NA,NA,26749.666666666668,NA,NA,6.0596149660947125,NA,NA,NA
T03,0064,NA,8977.068899999998,NA,3,0,4423.333333333333,NA,NA,30148,NA,NA,6.825806224307446,NA,NA,NA
T03,0070,NA,8977.068899999998,NA,3,0,4029.3333333333335,NA,NA,27054.333333333332,NA,NA,6.974862005933073,NA,NA,NA
T03,0075,NA,8977.068899999998,NA,3,0,4335.333333333333,NA,NA,28661,NA,NA,6.61582794979673,NA,NA,NA
T03,0082,NA,8977.068899999998,NA,3,0,4736.333333333333,NA,NA,29551,NA,NA,6.238700457178507,NA,NA,NA
T03,0088,NA,8977.068899999998,NA,3,0,4522,NA,NA,29152.333333333332,NA,NA,6.450217959622136,NA,NA,NA
T03,0094,NA,8977.068899999998,NA,3,0,4246.666666666667,NA,NA,29473.666666666668,NA,NA,6.957888428561294,NA,NA,NA
T03,0099,NA,8977.068899999998,NA,3,0,4384.666666666667,NA,NA,31554,NA,NA,7.209227831948105,NA,NA,NA
T03,NA,NA,8977.068899999998,NA,50,0,4075.76,NA,NA,27014.68,NA,NA,6.7001666458236615,NA,NA,NA
T05P,0002,Little Naches,383.86440000000005,383.86440000000005,3,3,4384,3708.6666666666665,675.3333333333335,26164.333333333332,74867.66666666667,-48703.33333333334,5.964693556867127,20.185349980235422,-14.220656423368295,0
T05P,0008,Little Naches,383.86440000000005,383.86440000000005,3,3,4362.666666666667,3619.3333333333335,743.3333333333335,23706.666666666668,70798.33333333333,-47091.66666666666,5.437552674241725,19.57953986047661,-14.141987186234886,0
