repo_sample_id,repo_site_4digit,repo_replicate
RC2_0024_ICR.2_p08,0024,2
RC2_0024_ICR.3_p08,0024,3
RC2_0025_ICR.1_p08,0025,1
RC2_0025_ICR.2_p08,0025,2
RC2_0025_ICR.3_p08,0025,3
RC2_0026_ICR.1_p08,0026,1
RC2_0026_ICR.2_p08,0026,2
RC2_0026_ICR.3_p08,0026,3
RC2_0027_ICR.1_p08,0027,1
RC2_0027_ICR.2_p08,0027,2
RC2_0027_ICR.3_p08,0027,3
RC2_0028_ICR.1_p08,0028,1
RC2_0028_ICR.2_p08,0028,2
RC2_0028_ICR.3_p08,0028,3
RC2_0029_ICR.1_p08,0029,1
RC2_0029_ICR.2_p08,0029,2
RC2_0029_ICR.3_p08,0029,3
RC2_0030_ICR.1_p08,0030,1
RC2_0030_ICR.2_p08,0030,2
RC2_0030_ICR.3_p08,0030,3
RC2_0001_ICR.1_p08,0001,1
RC2_0001_ICR.2_p08,0001,2
RC2_0001_ICR.3_p08,0001,3
RC2_0002_ICR.1_p08,0002,1
RC2_0002_ICR.2_p08,0002,2
RC2_0002_ICR.3_p08,0002,3
RC2_0003_ICR.1_p08,0003,1
RC2_0003_ICR.2_p08,0003,2
RC2_0003_ICR.3_p08,0003,3
RC2_0004_ICR.1_p08,0004,1
RC2_0004_ICR.2_p08,0004,2
RC2_0004_ICR.3_p08,0004,3
RC2_0005_ICR.1_p08,0005,1
RC2_0005_ICR.2_p08,0005,2
RC2_0005_ICR.3_p08,0005,3
RC2_0006_ICR.1_p08,0006,1
RC2_0006_ICR.2_p08,0006,2
RC2_0006_ICR.3_p08,0006,3
RC2_0007_ICR.1_p08,0007,1
RC2_0007_ICR.2_p08,0007,2
RC2_0007_ICR.3_p08,0007,3
RC2_0008_ICR.1_p08,0008,1
RC2_0008_ICR.2_p08,0008,2
RC2_0008_ICR.3_p08,0008,3
RC2_0009_ICR.1_p08,0009,1
RC2_0009_ICR.2_p08,0009,2
RC2_0009_ICR.3_p08,0009,3
RC2_0010_ICR.1_p08,0010,1
RC2_0010_ICR.2_p08,0010,2
RC2_0010_ICR.3_p08,0010,3
RC2_0011_ICR.1_p08,0011,1
RC2_0011_ICR.2_p08,0011,2
RC2_0011_ICR.3_p08,0011,3
RC2_0012_ICR.1_p08,0012,1
RC2_0012_ICR.2_p08,0012,2
RC2_0012_ICR.3_p08,0012,3
RC2_0013_ICR.1_p08,0013,1
RC2_0013_ICR.2_p08,0013,2
RC2_0013_ICR.3_p08,0013,3
RC2_0014_ICR.1_p08,0014,1
RC2_0014_ICR.2_p08,0014,2
RC2_0014_ICR.3_p08,0014,3
RC2_0015_ICR.1_p08,0015,1
RC2_0015_ICR.2_p08,0015,2
RC2_0015_ICR.3_p08,0015,3
RC2_0016_ICR.1_p08,0016,1
RC2_0016_ICR.2_p08,0016,2
RC2_0016_ICR.3_p08,0016,3
RC2_0017_ICR.1_p08,0017,1
RC2_0017_ICR.2_p08,0017,2
RC2_0017_ICR.3_p08,0017,3
RC2_0018_ICR.1_p08,0018,1
RC2_0018_ICR.2_p08,0018,2
RC2_0018_ICR.3_p08,0018,3
RC2_0019_ICR.2_p08,0019,2
RC2_0019_ICR.3_p08,0019,3
RC2_0020_ICR.1_p08,0020,1
RC2_0020_ICR.2_p08,0020,2
RC2_0020_ICR.3_p08,0020,3
RC2_0021_ICR.1_p08,0021,1
RC2_0021_ICR.2_p08,0021,2
RC2_0021_ICR.3_p08,0021,3
RC2_0022_ICR.1_p08,0022,1
RC2_0022_ICR.2_p08,0022,2
RC2_0022_ICR.3_p08,0022,3
RC2_0023_ICR.1_p08,0023,1
RC2_0023_ICR.2_p08,0023,2
RC2_0023_ICR.3_p08,0023,3
RC2_0024_ICR.1_p08,0024,1
