Sample_ID,number_of_peaks,total_transformations,normalized_transformations,replicate,Parent_ID,your_site_4digit,Site_ID,stream_order,basin_area_km2,basin_area_log10
RC2_0001_ICR-1,4182,28182,6.738880918220947,1,RC2_0001,0001,T06,3,206.20349999999996,2.314296032517752
RC2_0001_ICR-2,4373,28969,6.624514063571919,2,RC2_0001,0001,T06,3,206.20349999999996,2.314296032517752
RC2_0001_ICR-3,4130,27290,6.60774818401937,3,RC2_0001,0001,T06,3,206.20349999999996,2.314296032517752
RC2_0002_ICR-1,4475,28475,6.363128491620111,1,RC2_0002,0002,T05P,4,383.86440000000005,2.584177837044565
RC2_0002_ICR-2,4428,25306,5.714995483288166,2,RC2_0002,0002,T05P,4,383.86440000000005,2.584177837044565
RC2_0002_ICR-3,4249,24712,5.815956695693104,3,RC2_0002,0002,T05P,4,383.86440000000005,2.584177837044565
RC2_0003_ICR-1,4317,25648,5.941162844567987,1,RC2_0003,0003,T41,6,2465.9001000000003,3.391975478221769
RC2_0003_ICR-2,3702,27178,7.341437061048082,2,RC2_0003,0003,T41,6,2465.9001000000003,3.391975478221769
RC2_0003_ICR-3,4202,22630,5.385530699666825,3,RC2_0003,0003,T41,6,2465.9001000000003,3.391975478221769
RC2_0004_ICR-1,4434,26588,5.996391520072169,1,RC2_0004,0004,T03,7,8977.068899999998,3.953134558454579
RC2_0004_ICR-2,4462,25468,5.707754370237562,2,RC2_0004,0004,T03,7,8977.068899999998,3.953134558454579
RC2_0004_ICR-3,4239,25549,6.027129039867893,3,RC2_0004,0004,T03,7,8977.068899999998,3.953134558454579
RC2_0005_ICR-1,4574,28795,6.295365107127241,1,RC2_0005,0005,T02,7,13461.462,4.129092229579795
RC2_0005_ICR-2,4618,27877,6.036595928973582,2,RC2_0005,0005,T02,7,13461.462,4.129092229579795
RC2_0005_ICR-3,4123,28962,7.0244967256851805,3,RC2_0005,0005,T02,7,13461.462,4.129092229579795
RC2_0006_ICR-1,4552,30236,6.642355008787346,1,RC2_0006,0006,T07,7,14144.724900000001,4.1505945053049365
RC2_0006_ICR-2,4721,27938,5.917814022452871,2,RC2_0006,0006,T07,7,14144.724900000001,4.1505945053049365
RC2_0006_ICR-3,4517,26511,5.869160947531547,3,RC2_0006,0006,T07,7,14144.724900000001,4.1505945053049365
RC2_0007_ICR-1,4112,26297,6.395184824902723,1,RC2_0007,0007,T06,3,206.20349999999996,2.314296032517752
RC2_0007_ICR-2,4226,25433,6.018220539517274,2,RC2_0007,0007,T06,3,206.20349999999996,2.314296032517752
RC2_0007_ICR-3,3873,23437,6.05138135812032,3,RC2_0007,0007,T06,3,206.20349999999996,2.314296032517752
RC2_0008_ICR-1,4422,22420,5.070104025327906,1,RC2_0008,0008,T05P,4,383.86440000000005,2.584177837044565
RC2_0008_ICR-2,4237,24126,5.694123200377626,2,RC2_0008,0008,T05P,4,383.86440000000005,2.584177837044565
RC2_0008_ICR-3,4429,24574,5.548430797019643,3,RC2_0008,0008,T05P,4,383.86440000000005,2.584177837044565
