Sample_ID,Parent_ID,your_site_4digit,replicate
RC2_0031_ICR-1,RC2_0031,0031,1
RC2_0031_ICR-2,RC2_0031,0031,2
RC2_0031_ICR-3,RC2_0031,0031,3
RC2_0032_ICR-1,RC2_0032,0032,1
RC2_0032_ICR-2,RC2_0032,0032,2
RC2_0032_ICR-3,RC2_0032,0032,3
RC2_0033_ICR-1,RC2_0033,0033,1
RC2_0033_ICR-2,RC2_0033,0033,2
RC2_0033_ICR-3,RC2_0033,0033,3
RC2_0034_ICR-1,RC2_0034,0034,1
RC2_0034_ICR-2,RC2_0034,0034,2
RC2_0034_ICR-3,RC2_0034,0034,3
RC2_0035_ICR-1,RC2_0035,0035,1
RC2_0035_ICR-2,RC2_0035,0035,2
RC2_0035_ICR-3,RC2_0035,0035,3
RC2_0036_ICR-1,RC2_0036,0036,1
RC2_0036_ICR-2,RC2_0036,0036,2
RC2_0036_ICR-3,RC2_0036,0036,3
RC2_0037_ICR-1,RC2_0037,0037,1
RC2_0037_ICR-2,RC2_0037,0037,2
RC2_0037_ICR-3,RC2_0037,0037,3
RC2_0038_ICR-1,RC2_0038,0038,1
RC2_0038_ICR-2,RC2_0038,0038,2
RC2_0038_ICR-3,RC2_0038,0038,3
RC2_0039_ICR-1,RC2_0039,0039,1
RC2_0039_ICR-2,RC2_0039,0039,2
RC2_0039_ICR-3,RC2_0039,0039,3
RC2_0040_ICR-1,RC2_0040,0040,1
RC2_0040_ICR-2,RC2_0040,0040,2
RC2_0040_ICR-3,RC2_0040,0040,3
RC2_0041_ICR-1,RC2_0041,0041,1
RC2_0041_ICR-2,RC2_0041,0041,2
RC2_0041_ICR-3,RC2_0041,0041,3
RC2_0042_ICR-1,RC2_0042,0042,1
RC2_0042_ICR-2,RC2_0042,0042,2
RC2_0042_ICR-3,RC2_0042,0042,3
RC2_0043_ICR-1,RC2_0043,0043,1
RC2_0043_ICR-2,RC2_0043,0043,2
RC2_0043_ICR-3,RC2_0043,0043,3
RC2_0044_ICR-1,RC2_0044,0044,1
RC2_0044_ICR-2,RC2_0044,0044,2
RC2_0044_ICR-3,RC2_0044,0044,3
RC2_0045_ICR-1,RC2_0045,0045,1
RC2_0045_ICR-2,RC2_0045,0045,2
RC2_0045_ICR-3,RC2_0045,0045,3
RC2_0046_ICR-1,RC2_0046,0046,1
RC2_0046_ICR-2,RC2_0046,0046,2
RC2_0046_ICR-3,RC2_0046,0046,3
RC2_0048_ICR-1,RC2_0048,0048,1
RC2_0048_ICR-2,RC2_0048,0048,2
RC2_0048_ICR-3,RC2_0048,0048,3
RC2_0049_ICR-1,RC2_0049,0049,1
RC2_0049_ICR-2,RC2_0049,0049,2
RC2_0049_ICR-3,RC2_0049,0049,3
RC2_0050_ICR-1,RC2_0050,0050,1
RC2_0050_ICR-2,RC2_0050,0050,2
RC2_0050_ICR-3,RC2_0050,0050,3
RC2_0051_ICR-1,RC2_0051,0051,1
RC2_0051_ICR-2,RC2_0051,0051,2
RC2_0051_ICR-3,RC2_0051,0051,3
RC2_0052_ICR-1,RC2_0052,0052,1
RC2_0052_ICR-2,RC2_0052,0052,2
RC2_0052_ICR-3,RC2_0052,0052,3
RC2_0053_ICR-1,RC2_0053,0053,1
RC2_0053_ICR-2,RC2_0053,0053,2
RC2_0053_ICR-3,RC2_0053,0053,3
RC2_0054_ICR-1,RC2_0054,0054,1
RC2_0054_ICR-2,RC2_0054,0054,2
RC2_0054_ICR-3,RC2_0054,0054,3
RC2_0055_ICR-1,RC2_0055,0055,1
RC2_0055_ICR-2,RC2_0055,0055,2
RC2_0055_ICR-3,RC2_0055,0055,3
RC2_0056_ICR-1,RC2_0056,0056,1
RC2_0056_ICR-2,RC2_0056,0056,2
RC2_0056_ICR-3,RC2_0056,0056,3
RC2_0057_ICR-1,RC2_0057,0057,1
RC2_0057_ICR-2,RC2_0057,0057,2
RC2_0057_ICR-3,RC2_0057,0057,3
RC2_0058_ICR-1,RC2_0058,0058,1
RC2_0058_ICR-2,RC2_0058,0058,2
RC2_0058_ICR-3,RC2_0058,0058,3
RC2_0059_ICR-1,RC2_0059,0059,1
RC2_0059_ICR-2,RC2_0059,0059,2
RC2_0059_ICR-3,RC2_0059,0059,3
RC2_0060_ICR-1,RC2_0060,0060,1
RC2_0060_ICR-2,RC2_0060,0060,2
RC2_0060_ICR-3,RC2_0060,0060,3
RC2_0061_ICR-1,RC2_0061,0061,1
RC2_0061_ICR-2,RC2_0061,0061,2
RC2_0061_ICR-3,RC2_0061,0061,3
RC2_0062_ICR-1,RC2_0062,0062,1
RC2_0062_ICR-2,RC2_0062,0062,2
RC2_0062_ICR-3,RC2_0062,0062,3
RC2_0063_ICR-1,RC2_0063,0063,1
RC2_0063_ICR-2,RC2_0063,0063,2
RC2_0063_ICR-3,RC2_0063,0063,3
RC2_0064_ICR-1,RC2_0064,0064,1
RC2_0064_ICR-2,RC2_0064,0064,2
RC2_0064_ICR-3,RC2_0064,0064,3
RC2_0065_ICR-1,RC2_0065,0065,1
RC2_0065_ICR-2,RC2_0065,0065,2
RC2_0065_ICR-3,RC2_0065,0065,3
RC2_0066_ICR-1,RC2_0066,0066,1
RC2_0066_ICR-2,RC2_0066,0066,2
RC2_0066_ICR-3,RC2_0066,0066,3
RC2_0067_ICR-1,RC2_0067,0067,1
