Parent_ID,Site_ID,stream_order,basin_area_km2,basin_area_log10,n_reps,mean_richness,se_richness,mean_normalized_transformations,se_normalized_transformations
RC2_0001,T06,3,206.20349999999996,2.314296032517752,3,4228.333333333333,73.87451823493974,6.6570477219374125,0.04120185145426246
RC2_0002,T05P,4,383.86440000000005,2.584177837044565,3,4384,68.85007867339975,5.964693556867127,0.20133809833733232
RC2_0003,T41,6,2465.9001000000003,3.391975478221769,3,4073.6666666666665,188.775292639453,6.222710201760965,0.5819060947666383
RC2_0004,T03,7,8977.068899999998,3.953134558454579,3,4378.333333333333,70.13399872941638,5.910424976725875,0.10172303874009005
RC2_0005,T02,7,13461.462,4.129092229579795,3,4438.333333333333,158.1774671409019,6.452152587262001,0.29576101359098966
RC2_0006,T07,7,14144.724900000001,4.1505945053049365,3,4596.666666666667,62.98236084633363,6.143109992923922,0.25001731261599897
RC2_0007,T06,3,206.20349999999996,2.314296032517752,3,4070.3333333333335,104.01014907743914,6.1549289075134395,0.12050876780416019
RC2_0008,T05P,4,383.86440000000005,2.584177837044565,3,4362.666666666667,62.86581830463286,5.437552674241725,0.18847674594893632
RC2_0009,T42,6,2465.9001000000003,3.391975478221769,3,4422,59.573484034425924,6.000088903677009,0.11595680852528636
RC2_0010,T03,7,8977.068899999998,3.953134558454579,3,4383.666666666667,73.38558744361488,6.134711550659124,0.18788500510845096
RC2_0011,T02,7,13461.462,4.129092229579795,3,4443,138.6013467948033,5.872627140032728,0.5129582191897175
RC2_0012,T07,7,14144.724900000001,4.1505945053049365,3,4408,80.43009387039157,5.746504053395805,0.2583112255281793
RC2_0013,T06,3,206.20349999999996,2.314296032517752,3,4017.6666666666665,118.1105884800813,6.041990440850219,0.15480551338941997
RC2_0014,T05P,4,383.86440000000005,2.584177837044565,3,4272.333333333333,75.0251809579809,5.011510189333138,0.09198950485976366
RC2_0015,T42,6,2465.9001000000003,3.391975478221769,3,4411.666666666667,95.68234482448219,5.529626262323876,0.24797917546448162
RC2_0016,T03,7,8977.068899999998,3.953134558454579,3,4556.666666666667,57.24896893782843,5.637734982872661,0.36414100344314354
RC2_0017,T02,7,13461.462,4.129092229579795,3,4545.333333333333,23.354752074137814,5.533407678491168,0.16397986462215966
RC2_0018,T07,7,14144.724900000001,4.1505945053049365,3,4543.333333333333,46.376478712573444,5.522044556177365,0.1425863128784751
RC2_0019,T06,3,206.20349999999996,2.314296032517752,2,4066,81,6.735464617587232,0.3197424087615754
RC2_0020,T05P,4,383.86440000000005,2.584177837044565,3,4211.333333333333,140.58726036799274,5.781541821956304,0.3909774655208431
RC2_0021,T42,6,2465.9001000000003,3.391975478221769,3,4337,96.37945839233588,5.426812279794719,0.3391184452839168
RC2_0022,T03,7,8977.068899999998,3.953134558454579,3,4506,36.11555528208494,5.85209751459587,0.09651294058410556
RC2_0023,T02,7,13461.462,4.129092229579795,3,4427.666666666667,26.909312720898527,5.668960060916206,0.05378744240236621
RC2_0024,T07,7,14144.724900000001,4.1505945053049365,3,4397,72.45918391296809,5.637883138181933,0.30025136381606693
RC2_0025,T06,3,206.20349999999996,2.314296032517752,3,4077.3333333333335,39.396841384952566,6.294050074162255,0.09171219725665528
RC2_0026,T05P,4,383.86440000000005,2.584177837044565,3,4236.333333333333,15.762120556715853,5.444739485127296,0.07244548048450748
RC2_0027,T42,6,2465.9001000000003,3.391975478221769,3,4018.6666666666665,45.906910639297486,5.744856169082559,0.10558744659949017
RC2_0028,T03,7,8977.068899999998,3.953134558454579,3,4351,59.47548514584252,5.708131324560249,0.20102624050495843
RC2_0029,T02,7,13461.462,4.129092229579795,3,4430.666666666667,77.29668671927521,6.09668866536081,0.16026126718441042
RC2_0030,T07,7,14144.724900000001,4.1505945053049365,3,4467,97.41149829460586,5.750485989682044,0.40295738957038646
