SampleID,Parent_ID,treatment,sample_treat_rep
EC_005_SIR-D1_p07,EC_005,DRY,EC_005_D1
EC_005_SIR-D2_p05,EC_005,DRY,EC_005_D2
EC_005_SIR-D3_p05,EC_005,DRY,EC_005_D3
EC_005_SIR-D4_p06,EC_005,DRY,EC_005_D4
EC_005_SIR-D5_p05,EC_005,DRY,EC_005_D5
EC_005_SIR-W1_p05,EC_005,WET,EC_005_W1
EC_005_SIR-W2_p05,EC_005,WET,EC_005_W2
EC_005_SIR-W3_p06,EC_005,WET,EC_005_W3
EC_005_SIR-W4_p06,EC_005,WET,EC_005_W4
EC_005_SIR-W5_p06,EC_005,WET,EC_005_W5
EC_009_SIR-D1_p07,EC_009,DRY,EC_009_D1
EC_009_SIR-D2_p07,EC_009,DRY,EC_009_D2
EC_009_SIR-D3_p07,EC_009,DRY,EC_009_D3
EC_009_SIR-D4_p06,EC_009,DRY,EC_009_D4
EC_009_SIR-D5_p06,EC_009,DRY,EC_009_D5
EC_009_SIR-W1_p07,EC_009,WET,EC_009_W1
EC_009_SIR-W2_p08,EC_009,WET,EC_009_W2
EC_009_SIR-W3_p09,EC_009,WET,EC_009_W3
EC_009_SIR-W4_p1,EC_009,WET,EC_009_W4
EC_009_SIR-W5_p1,EC_009,WET,EC_009_W5
EC_011_SIR-D1_p06,EC_011,DRY,EC_011_D1
EC_011_SIR-D2_p06,EC_011,DRY,EC_011_D2
EC_011_SIR-D3_p13,EC_011,DRY,EC_011_D3
EC_011_SIR-D4_p07,EC_011,DRY,EC_011_D4
EC_011_SIR-D5_p06,EC_011,DRY,EC_011_D5
EC_011_SIR-W1_p07,EC_011,WET,EC_011_W1
EC_011_SIR-W2_p07,EC_011,WET,EC_011_W2
EC_011_SIR-W3_p06,EC_011,WET,EC_011_W3
EC_011_SIR-W4_p07,EC_011,WET,EC_011_W4
EC_011_SIR-W5_p06,EC_011,WET,EC_011_W5
EC_012_SIR-D1_p05,EC_012,DRY,EC_012_D1
EC_012_SIR-D2_p07,EC_012,DRY,EC_012_D2
EC_012_SIR-D3_p06,EC_012,DRY,EC_012_D3
EC_012_SIR-D4_p06,EC_012,DRY,EC_012_D4
EC_012_SIR-D5_p05,EC_012,DRY,EC_012_D5
EC_012_SIR-W1_p06,EC_012,WET,EC_012_W1
EC_012_SIR-W2_p06,EC_012,WET,EC_012_W2
EC_012_SIR-W3_p06,EC_012,WET,EC_012_W3
EC_012_SIR-W4_p06,EC_012,WET,EC_012_W4
EC_012_SIR-W5_p07,EC_012,WET,EC_012_W5
EC_013_SIR-D1_p06,EC_013,DRY,EC_013_D1
EC_013_SIR-D2_p06,EC_013,DRY,EC_013_D2
EC_013_SIR-D3_p08,EC_013,DRY,EC_013_D3
EC_013_SIR-D4_p08,EC_013,DRY,EC_013_D4
EC_013_SIR-D5_p08,EC_013,DRY,EC_013_D5
EC_013_SIR-W1_p06,EC_013,WET,EC_013_W1
EC_013_SIR-W2_p08,EC_013,WET,EC_013_W2
EC_013_SIR-W3_p06,EC_013,WET,EC_013_W3
EC_013_SIR-W4_p08,EC_013,WET,EC_013_W4
EC_013_SIR-W5_p08,EC_013,WET,EC_013_W5
EC_014_SIR-D1_p06,EC_014,DRY,EC_014_D1
EC_014_SIR-D2_p06,EC_014,DRY,EC_014_D2
EC_014_SIR-D3_p06,EC_014,DRY,EC_014_D3
EC_014_SIR-D4_p08,EC_014,DRY,EC_014_D4
EC_014_SIR-D5_p08,EC_014,DRY,EC_014_D5
EC_014_SIR-W1_p08,EC_014,WET,EC_014_W1
EC_014_SIR-W2_p05,EC_014,WET,EC_014_W2
EC_014_SIR-W3_p05,EC_014,WET,EC_014_W3
EC_014_SIR-W4_p05,EC_014,WET,EC_014_W4
EC_014_SIR-W5_p05,EC_014,WET,EC_014_W5
EC_017_SIR-D1_p06,EC_017,DRY,EC_017_D1
EC_017_SIR-D2_p06,EC_017,DRY,EC_017_D2
EC_017_SIR-D3_p06,EC_017,DRY,EC_017_D3
EC_017_SIR-D4_p05,EC_017,DRY,EC_017_D4
EC_017_SIR-D5_p04,EC_017,DRY,EC_017_D5
EC_017_SIR-W1_p06,EC_017,WET,EC_017_W1
EC_017_SIR-W2_p05,EC_017,WET,EC_017_W2
EC_017_SIR-W3_p05,EC_017,WET,EC_017_W3
EC_017_SIR-W4_p07,EC_017,WET,EC_017_W4
EC_017_SIR-W5_p08,EC_017,WET,EC_017_W5
EC_018_SIR-D1_p07,EC_018,DRY,EC_018_D1
EC_018_SIR-D2_p06,EC_018,DRY,EC_018_D2
EC_018_SIR-D3_p06,EC_018,DRY,EC_018_D3
EC_018_SIR-D4_p06,EC_018,DRY,EC_018_D4
EC_018_SIR-D5_p06,EC_018,DRY,EC_018_D5
EC_018_SIR-W1_p05,EC_018,WET,EC_018_W1
EC_018_SIR-W2_p05,EC_018,WET,EC_018_W2
EC_018_SIR-W3_p09,EC_018,WET,EC_018_W3
EC_018_SIR-W4_p09,EC_018,WET,EC_018_W4
EC_018_SIR-W5_p09,EC_018,WET,EC_018_W5
EC_021_SIR-D1_p08,EC_021,DRY,EC_021_D1
EC_021_SIR-D2_p09,EC_021,DRY,EC_021_D2
EC_021_SIR-D3_p09,EC_021,DRY,EC_021_D3
EC_021_SIR-D4_p05,EC_021,DRY,EC_021_D4
EC_021_SIR-D5_p07,EC_021,DRY,EC_021_D5
