"file","n_before","n_after_cleaning","n_removed_mass_or_isotopologue"
"RC2_0001_ICR-1_p08.corems.csv",10966,4182,6784
"RC2_0001_ICR-2_p08.corems.csv",11309,4373,6936
"RC2_0001_ICR-3_p08.corems.csv",10750,4130,6620
"RC2_0002_ICR-1_p08.corems.csv",11710,4475,7235
"RC2_0002_ICR-2_p08.corems.csv",12084,4428,7656
"RC2_0002_ICR-3_p08.corems.csv",11343,4249,7094
"RC2_0003_ICR-1_p08.corems.csv",12097,4317,7780
"RC2_0003_ICR-2_p08.corems.csv",9220,3702,5518
"RC2_0003_ICR-3_p08.corems.csv",11426,4202,7224
"RC2_0004_ICR-1_p08.corems.csv",11674,4434,7240
"RC2_0004_ICR-2_p08.corems.csv",11910,4462,7448
"RC2_0004_ICR-3_p08.corems.csv",11103,4239,6864
"RC2_0005_ICR-1_p08.corems.csv",11769,4574,7195
"RC2_0005_ICR-2_p08.corems.csv",11937,4618,7319
"RC2_0005_ICR-3_p08.corems.csv",10371,4123,6248
"RC2_0006_ICR-1_p08.corems.csv",11629,4552,7077
"RC2_0006_ICR-2_p08.corems.csv",11912,4721,7191
"RC2_0006_ICR-3_p08.corems.csv",11622,4517,7105
"RC2_0007_ICR-1_p08.corems.csv",10645,4112,6533
"RC2_0007_ICR-2_p08.corems.csv",10704,4226,6478
"RC2_0007_ICR-3_p08.corems.csv",10163,3873,6290
"RC2_0008_ICR-1_p08.corems.csv",12057,4422,7635
"RC2_0008_ICR-2_p08.corems.csv",11282,4237,7045
"RC2_0008_ICR-3_p08.corems.csv",12213,4429,7784
"RC2_0009_ICR-1_p08.corems.csv",11831,4305,7526
"RC2_0009_ICR-2_p08.corems.csv",12173,4500,7673
"RC2_0009_ICR-3_p08.corems.csv",12315,4461,7854
"RC2_0010_ICR-1_p08.corems.csv",11406,4398,7008
"RC2_0010_ICR-2_p08.corems.csv",11351,4503,6848
"RC2_0010_ICR-3_p08.corems.csv",10718,4250,6468
"RC2_0011_ICR-1_p08.corems.csv",11417,4528,6889
"RC2_0011_ICR-2_p08.corems.csv",11697,4629,7068
"RC2_0011_ICR-3_p08.corems.csv",10443,4172,6271
"RC2_0012_ICR-1_p08.corems.csv",10889,4259,6630
"RC2_0012_ICR-2_p08.corems.csv",11419,4535,6884
"RC2_0012_ICR-3_p08.corems.csv",11115,4430,6685
"RC2_0013_ICR-1_p08.corems.csv",11062,4219,6843
"RC2_0013_ICR-2_p08.corems.csv",10434,4024,6410
"RC2_0013_ICR-3_p08.corems.csv",9952,3810,6142
"RC2_0014_ICR-1_p08.corems.csv",11235,4238,6997
"RC2_0014_ICR-2_p08.corems.csv",11273,4163,7110
"RC2_0014_ICR-3_p08.corems.csv",11901,4416,7485
"RC2_0015_ICR-1_p08.corems.csv",12249,4603,7646
"RC2_0015_ICR-2_p08.corems.csv",11465,4319,7146
"RC2_0015_ICR-3_p08.corems.csv",11366,4313,7053
"RC2_0016_ICR-1_p08.corems.csv",11497,4583,6914
"RC2_0016_ICR-2_p08.corems.csv",11019,4447,6572
"RC2_0016_ICR-3_p08.corems.csv",12240,4640,7600
"RC2_0017_ICR-1_p08.corems.csv",11821,4591,7230
"RC2_0017_ICR-2_p08.corems.csv",11090,4514,6576
"RC2_0017_ICR-3_p08.corems.csv",11654,4531,7123
"RC2_0018_ICR-1_p08.corems.csv",11316,4612,6704
"RC2_0018_ICR-2_p08.corems.csv",11041,4455,6586
"RC2_0018_ICR-3_p08.corems.csv",11206,4563,6643
