Formula,mf,Group,Transformation
CH4_O,0.03638,Other,random
NH_CH2,0.99525,Other,random
2ndIP,1.997,Other,random
Na_H,21.98194,Other,random
CH3COO-,59.013305,Other,random
PO43,94.953423,Other,random
SO42,95.951732,Other,random
NO3,61.987819,Other,random
NH4,18.034374,Other,random
H2S,33.987722,Other,random
S2O32,111.928889,Other,random
Alanine,71.03711384,Other,random
Arginine,156.1011111,Other,random
Asparagine,114.0429275,Other,random
Aspartic Acid,115.0269431,Other,random
Cysteine,103.0091856,Other,random
Cystine,222.0132859,Other,random
Glutamic Acid,129.0425932,Other,random
Glutamine,128.0585776,Other,random
Glycine,57.02146376,Other,random
Histidine,137.0589119,Other,random
Isoleucine,113.0840641,Other,random
Lysine,128.0949631,Other,random
Methionine,131.0404858,Other,random
Phenylalanine,147.068414,Other,random
Proline,97.05276391,Other,random
Serine,87.03202848,Other,random
Threonine,101.0476785,Other,random
Tryptophan,186.079313,Other,random
Tyrosine,163.0633286,Other,random
Valine,99.06841398,Other,random
acetotacetate (-H2O),84.02112943,Other,random
acetone (-H),57.03403983,Other,random
adenylate (-H2O),329.0525217,Other,random
biotinyl (-H),243.0803393,Other,random
biotinyl (-H2O),226.0775996,Other,random
carbamoyl P transfer (-H2PO4),44.01363872,Other,random
co-enzyme A (-H),765.0995656,Other,random
co-enzyme A (-H2O),748.0968259,Other,random
glutathione (-H2O),289.0732426,Other,random
isoprene addition (-H),67.05477526,Other,random
malonyl group (-H2O),86.00039399,Other,random
palmitoylation (-H2O),238.2296658,Other,random
pyridoxal phosphate (-H2O),229.0140109,Other,random
urea addition (-H),59.02453777,Other,random
adenine (-H),134.0466702,Other,random
adenosine (-H2O),249.0861894,Other,random
Adenosine 5_-diphosphate (-H2O),409.0188541,Other,random
cytidine 5_ diphosphate (-H2O),385.0076207,Other,random
cytidine 5_ monophsophate (-H2O),305.0412884,Other,random
cytosine (-H),110.0354368,Other,random
Guanosine 5- diphosphate (-H2O),425.0137687,Other,random
Guanosine 5- monophosphate (-H2O),345.0474364,Other,random
guanine (-H),150.0415848,Other,random
guanosine (-H2O),265.081104,Other,random
deoxythymidine 5_ diphosphate (-H2O),384.0123717,Other,random
thymidine (-H2O),224.079707,Other,random
thymine (-H),125.0351025,Other,random
thymidine 5_ monophosphate (-H2O),304.0460394,Other,random
uridine 5_ diphosphate (-H2O),385.9916363,Other,random
uridine 5_ monophosphate (-H2O),306.0253039,Other,random
uracil (-H),111.0194524,Other,random
uridine (-H2O),226.0589716,Other,random
acetylation (-H),59.01330439,Other,random
acetylation (-H2O),42.01056471,Other,random
C2H2,26.01565,Other,random
Carboxylation,43.98982928,Other,random
CHO2,44.99765432,Other,random
condensation/dehydration,18.01056471,Other,random
diphosphate,160.9404898,Other,random
ethyl addition (-H2O),28.03130015,Other,random
Formic Acid (-H2O),27.99491464,Other,random
glyoxylate (-H2O),55.98982928,Other,random
hydrogenation/dehydrogenation,2.015650074,Other,random
hydroxylation (-H),15.99491464,Other,random
Inorganic Phosphate,30.9737634,Other,random
methanol (-H2O),14.01565007,Other,random
phosphate,79.96633236,Other,random
primary amine,16.01872408,Other,random
pyrophosphate,61.9475268,Other,random
secondary amine,15.01089905,Other,random
sulfate (-H2O),79.95681572,Other,random
tertiary amine,14.00307401,Other,random
C6H10O5,162.0528236,Other,random
C6H10O6,178.0477382,Other,random
D-Ribose (-H2O) (ribosylation),132.0422589,Other,random
disaccharide (-H2O),340.1005618,Other,random
glucose-N-Phosphate (-H2O),242.0191559,Other,random
Glucuronic Acid (-H2O),176.0320881,Other,random
trisaccharide (-H2O),486.1584707,Other,random
erythose (-H2O),102.031695,Other,random
transamination (-O),2.039459,Other,random
H2N1O_1,0.023809,Other,random
C_1H_5N_1O2,0.947631,Other,random
H_1O1N_1,0.984016,Other,random
C_1H_1N1,0.995249,Other,random
C12_C13,1.0033554,Other,random
H1,1.007825,Other,random
H3N1O_3S1,1.013876,Other,random
H3O_1N1,1.031634,Other,random
H_2N_2O2,1.968032,Other,random
H_1O_2Cl1,1.9712,Other,random
C_1H_2O1,1.979265,Other,random
N_1O1,1.991841,Other,random
H_1O_1F1,1.9957,Other,random
H2,2.01565,Other,random
CH6O_1,2.052035,Other,random
H_3N_3O3,2.952048,Other,random
C_1H1N1O_2S1,2.993141,Other,random
H1O1N_1,2.999666,Other,random
H3,3.023475,Other,random
H5O_1N1,3.047284,Other,random
C_1O1,3.994915,Other,random
H4,4.0313,Other,random
H3N_1O1,5.015316,Other,random
C4H6N1O_2P_1,5.086431,Other,random
C_2H_2O2,5.97418,Other,random
H_4N3O_2,5.988092,Other,random
C2H_2O_1,5.989435,Other,random
C_1H2O,6.010565,Other,random
C3H2O_2,6.02582,Other,random
H6,6.04695,Other,random
C_1H1N_1S1,6.976823,Other,random
H5O1N_1,7.030966,Other,random
CH_4,7.9687,Other,random
C_2O2,7.98983,Other,random
C2O_1,8.005085,Other,random
C_1H4O,8.026215,Other,random
C3H4O_2,8.04147,Other,random
H8,8.0626,Other,random
C_2N_1O1P1,8.965604,Other,random
C1H_1N1O_1,9.000334,Other,random
C2H3N1O_2,9.036719,Other,random
H_6O1,9.947965,Other,random
C_3H_2O3,9.969095,Other,random
H_2C1,9.98435,Other,random
C_2H2O2,10.00548,Other,random
C2H2O_1,10.020735,Other,random
H10,10.07825,Other,random
N1H_3,10.979599,Other,random
C1H_1,10.992175,Other,random
C1H1N1O_1,11.015984,Other,random
H_4O1,11.963615,Other,random
C1,12,Other,random
C2H4O_1,12.036385,Other,random
H_3O1,12.97144,Other,random
CH_1N_1O,12.984016,Other,random
H_1N1,12.995249,Other,random
CH,13.007825,Other,random
C1H3N1O_1,13.031634,Other,random
C_1H_6O2,13.94288,Other,random
H_2O1,13.979265,Other,random
N1,14.003074,Other,random
CH2,14.01565,Other,random
H2N2O_1,14.026883,Other,random
C2H6O_1,14.052035,Other,random
H_1S1O_1,14.969332,Other,random
H_1O1,14.98709,Other,random
CHN_1O,14.999666,Other,random
H1N1,15.0109,Other,random
C1H3,15.023475,Other,random
CH5NO_1,15.047284,Other,random
C_1H_4O2,15.95853,Other,random
O_1S1,15.977157,Other,random
O1,15.994915,Other,random
H1O1P1S_1,16.004431,Other,random
H2N1,16.018724,Other,random
C1H4,16.0313,Other,random
O_1H4N2,16.042533,Other,random
C2H8O_1,16.067685,Other,random
H16,16.1252,Other,random
H_1O2N_1,16.978931,Other,random
O1H1,17.00274,Other,random
C3H_1N1O_2,17.005419,Other,random
H3N1,17.026549,Other,random
C1H5,17.039125,Other,random
H_1Cl1O_1,17.9661,Other,random
C_1H_2O2,17.97418,Other,random
H2O_1S1,17.992807,Other,random
H2O,18.010565,Other,random
CH6,18.04695,Other,random
H6N2O_1,18.058183,Other,random
C_8H_9N1O1P2S1,18.847162,Other,random
H1O2N_1,18.994581,Other,random
H3O1,19.01839,Other,random
H5N1,19.042199,Other,random
C_10H_2O5P2,19.906451,Other,random
C_1O2,19.98983,Other,random
C3O_1,20.005085,Other,random
H4O,20.026215,Other,random
C2H_2,21.98435,Other,random
C_1H2O2,22.00548,Other,random
C3H2O_1,22.020735,Other,random
CH_4O,23.963615,Other,random
C2,24,Other,random
C1O_1N2,24.011233,Other,random
C_1H4O2,24.02113,Other,random
C3H4O_1,24.036385,Other,random
C1H_1N1,24.995249,Other,random
C2H3NO_1,25.031634,Other,random
H_2C1O1,25.979265,Other,random
C1H2O_1N2,26.026883,Other,random
C2H2O2S_1,26.033408,Other,random
C3H6O_1,26.052035,Other,random
C2HN_1O,26.999666,Other,random
C1H1N1,27.0109,Other,random
H3C2,27.023475,Other,random
C2H5O_1N1,27.047284,Other,random
H_4O2,27.95853,Other,random
C_4H1N2O1P1,27.982651,Other,random
Formic Acid_(_H2O)_CO,27.994915,Other,random
N2,28.006148,Other,random
ethyl addition_(_H2O)_C2H4,28.0313,Other,random
C15H22O_7P_2,28.260219,Other,random
H_1N1O1,28.990164,Other,random
CHO,29.00274,Other,random
CH3N,29.026549,Other,random
C2H7N1O_1,29.062934,Other,random
H_2S1,29.956422,Other,random
H_2O2,29.97418,Other,random
O1N1,29.997989,Other,random
C1H2O1,30.010565,Other,random
H_1S1,30.964247,Other,random
CHN_1O2,30.994581,Other,random
H1N1O1,31.005814,Other,random
C1H5N1,31.0422,Other,random
H_3Cl1,31.9454,Other,random
O_2S2,31.954314,Other,random
S1,31.972072,Other,random
O2,31.98983,Other,random
C1H4O_1S1,32.008457,Other,random
C1H4O1,32.026215,Other,random
C2H8,32.0626,Other,random
H3O_1N1S1,33.003706,Other,random
H_1Cl1,33.961,Other,random
H2O2,34.00548,Other,random
C4H2O_1,34.020735,Other,random
C1H6O1,34.041865,Other,random
H2O_1Cl1N1,34.9927,Other,random
H3O2,35.013305,Other,random
C3H1N1O_1,35.015984,Other,random
C4H4N1P_1,35.060611,Other,random
C_1H1O1P1,35.9765,Other,random
H1Cl1,35.9766,Other,random
C_1O3,35.984745,Other,random
C3,36,Other,random
H4O2,36.02113,Other,random
C4H4O_1,36.036385,Other,random
C3H3N1O_1,37.0316176,Other,random
C5H2N5O_4P_1,37.0776,Other,random
C2H_2O,37.979265,Other,random
C3H2,38.01565,Other,random
O2H6,38.03678,Other,random
C4H6O_1,38.052035,Other,random
C3H5N1O_1,39.047284,Other,random
C4H9N1O_2,39.083669,Other,random
C_7H_2O4P2,39.911536,Other,random
CH_4O2,39.95853,Other,random
C2O1,39.994915,Other,random
C3H4,40.0313,Other,random
C4H8O_1,40.067685,Other,random
C2HO,41.00274,Other,random
C2H3N,41.026549,Other,random
C3H7N1O_1,41.062934,Other,random
H_2S1C1,41.956422,Other,random
C1H_2O2,41.97418,Other,random
acetylation_(_H2O)_C2H2O,42.010565,Other,random
C1H2N2,42.0218,Other,random
C3H6,42.04695,Other,random
C1H_1O2,42.982005,Other,random
C1H1O1N1,43.005814,Other,random
C2H3O,43.01839,Other,random
C2H5N,43.042199,Other,random
C2H5N1,43.0422,Other,random
C3H7,43.054775,Other,random
Carboxylation_CO2,43.98983,Other,random
C2H4O1,44.026215,Other,random
C3H8,44.0626,Other,random
C4H12O_1,44.098985,Other,random
H_1N1O2,44.985079,Other,random
C2H3N_1O2,45.010231,Other,random
CH3NO,45.021464,Other,random
C2H5O1,45.03404,Other,random
C2H7N1,45.057849,Other,random
H_2O3,45.969095,Other,random
C1H2O2,46.00548,Other,random
C2H6O1,46.041865,Other,random
H1O2N1,47.000729,Other,random
C1H5N1O_1S1,47.019356,Other,random
O1S1,47.966987,Other,random
O3,47.984745,Other,random
C4,48,Other,random
C1H4S1,48.003372,Other,random
C1H4O2,48.02113,Other,random
C2H8O,48.057515,Other,random
H1O3,48.99257,Other,random
C1H5O2,49.028955,Other,random
H2O3,50.0003788,Other,random
C4H2,50.01565,Other,random
C3H2N2O_1,50.026883,Other,random
CH6O2,50.03675736,Other,random
