SampleID,num_peak
RC2_0001_ICR-1,4182
RC2_0001_ICR-2,4373
RC2_0001_ICR-3,4130
RC2_0002_ICR-1,4475
RC2_0002_ICR-2,4428
RC2_0002_ICR-3,4249
RC2_0003_ICR-1,4317
RC2_0003_ICR-2,3702
RC2_0003_ICR-3,4202
RC2_0004_ICR-1,4434
RC2_0004_ICR-2,4462
RC2_0004_ICR-3,4239
RC2_0005_ICR-1,4574
RC2_0005_ICR-2,4618
RC2_0005_ICR-3,4123
RC2_0006_ICR-1,4552
RC2_0006_ICR-2,4721
RC2_0006_ICR-3,4517
RC2_0007_ICR-1,4112
RC2_0007_ICR-2,4226
RC2_0007_ICR-3,3873
RC2_0008_ICR-1,4422
RC2_0008_ICR-2,4237
RC2_0008_ICR-3,4429
RC2_0009_ICR-1,4305
RC2_0009_ICR-2,4500
RC2_0009_ICR-3,4461
RC2_0010_ICR-1,4398
RC2_0010_ICR-2,4503
RC2_0010_ICR-3,4250
RC2_0011_ICR-1,4528
RC2_0011_ICR-2,4629
RC2_0011_ICR-3,4172
RC2_0012_ICR-1,4259
RC2_0012_ICR-2,4535
RC2_0012_ICR-3,4430
RC2_0013_ICR-1,4219
RC2_0013_ICR-2,4024
RC2_0013_ICR-3,3810
RC2_0014_ICR-1,4238
RC2_0014_ICR-2,4163
RC2_0014_ICR-3,4416
RC2_0015_ICR-1,4603
RC2_0015_ICR-2,4319
RC2_0015_ICR-3,4313
RC2_0016_ICR-1,4583
RC2_0016_ICR-2,4447
RC2_0016_ICR-3,4640
RC2_0017_ICR-1,4591
RC2_0017_ICR-2,4514
RC2_0017_ICR-3,4531
RC2_0018_ICR-1,4612
RC2_0018_ICR-2,4455
RC2_0018_ICR-3,4563
RC2_0019_ICR-2,3985
RC2_0019_ICR-3,4147
RC2_0020_ICR-1,4213
RC2_0020_ICR-2,4454
RC2_0020_ICR-3,3967
RC2_0021_ICR-1,4524
RC2_0021_ICR-2,4203
RC2_0021_ICR-3,4284
RC2_0022_ICR-1,4442
RC2_0022_ICR-2,4509
RC2_0022_ICR-3,4567
RC2_0023_ICR-1,4451
RC2_0023_ICR-2,4458
RC2_0023_ICR-3,4374
RC2_0024_ICR-1,4292
RC2_0024_ICR-2,4536
RC2_0024_ICR-3,4363
RC2_0025_ICR-1,4135
RC2_0025_ICR-2,4002
RC2_0025_ICR-3,4095
RC2_0026_ICR-1,4249
RC2_0026_ICR-2,4255
RC2_0026_ICR-3,4205
RC2_0027_ICR-1,4069
RC2_0027_ICR-2,3927
RC2_0027_ICR-3,4060
RC2_0028_ICR-1,4353
RC2_0028_ICR-2,4453
RC2_0028_ICR-3,4247
RC2_0029_ICR-1,4419
RC2_0029_ICR-2,4303
RC2_0029_ICR-3,4570
RC2_0030_ICR-1,4644
RC2_0030_ICR-2,4449
RC2_0030_ICR-3,4308
RC2_0031_ICR-1,3677
RC2_0031_ICR-2,4321
RC2_0031_ICR-3,4057
RC2_0032_ICR-1,4550
RC2_0032_ICR-2,4372
RC2_0032_ICR-3,4176
RC2_0033_ICR-1,4510
RC2_0033_ICR-2,4491
RC2_0033_ICR-3,4326
RC2_0034_ICR-1,4132
RC2_0034_ICR-2,4608
RC2_0034_ICR-3,4649
RC2_0035_ICR-1,4672
RC2_0035_ICR-2,4404
RC2_0035_ICR-3,4849
RC2_0036_ICR-1,4586
RC2_0036_ICR-2,4693
RC2_0036_ICR-3,4118
RC2_0037_ICR-1,4821
RC2_0037_ICR-2,4560
RC2_0037_ICR-3,4554
RC2_0038_ICR-1,4606
RC2_0038_ICR-2,4116
RC2_0038_ICR-3,4386
RC2_0039_ICR-1,4710
RC2_0039_ICR-2,4254
RC2_0039_ICR-3,4852
RC2_0040_ICR-1,4385
RC2_0040_ICR-2,4196
RC2_0040_ICR-3,4683
RC2_0041_ICR-1,4692
RC2_0041_ICR-2,4606
RC2_0041_ICR-3,3847
RC2_0042_ICR-1,4177
RC2_0042_ICR-2,4610
RC2_0042_ICR-3,3991
RC2_0043_ICR-1,4031
RC2_0043_ICR-2,3950
RC2_0043_ICR-3,3245
RC2_0044_ICR-1,4206
RC2_0044_ICR-2,3177
RC2_0044_ICR-3,4207
RC2_0045_ICR-1,4587
RC2_0045_ICR-2,4703
RC2_0045_ICR-3,4283
RC2_0046_ICR-1,4595
RC2_0046_ICR-2,4367
RC2_0046_ICR-3,4697
RC2_0048_ICR-1,4595
RC2_0048_ICR-2,4217
RC2_0048_ICR-3,4794
RC2_0049_ICR-1,4266
RC2_0049_ICR-2,4549
RC2_0049_ICR-3,4789
RC2_0050_ICR-1,4370
RC2_0050_ICR-2,4479
RC2_0050_ICR-3,4596
RC2_0051_ICR-1,4508
RC2_0051_ICR-2,4124
RC2_0051_ICR-3,4746
RC2_0052_ICR-1,4657
RC2_0052_ICR-2,4601
RC2_0052_ICR-3,3936
RC2_0053_ICR-1,4677
RC2_0053_ICR-2,4694
RC2_0053_ICR-3,4135
RC2_0054_ICR-1,4354
RC2_0054_ICR-2,4841
RC2_0054_ICR-3,4782
RC2_0055_ICR-1,4202
RC2_0055_ICR-2,4781
RC2_0055_ICR-3,4904
RC2_0056_ICR-1,4681
RC2_0056_ICR-2,4154
RC2_0056_ICR-3,4299
RC2_0057_ICR-1,4066
RC2_0057_ICR-2,4446
RC2_0057_ICR-3,4485
RC2_0058_ICR-1,4751
RC2_0058_ICR-2,4232
RC2_0058_ICR-3,4256
RC2_0059_ICR-1,4656
RC2_0059_ICR-2,4803
RC2_0059_ICR-3,4211
RC2_0060_ICR-1,4706
RC2_0060_ICR-2,4767
RC2_0060_ICR-3,4880
RC2_0061_ICR-1,4056
RC2_0061_ICR-2,3853
RC2_0061_ICR-3,3951
RC2_0062_ICR-1,4075
RC2_0062_ICR-2,4650
RC2_0062_ICR-3,4262
RC2_0063_ICR-1,4303
RC2_0063_ICR-2,4606
RC2_0063_ICR-3,4356
RC2_0064_ICR-1,4467
RC2_0064_ICR-2,4238
RC2_0064_ICR-3,4565
RC2_0065_ICR-1,4572
RC2_0065_ICR-2,4686
RC2_0065_ICR-3,4486
RC2_0066_ICR-1,4664
RC2_0066_ICR-2,4663
RC2_0066_ICR-3,4415
RC2_0067_ICR-1,3923
RC2_0067_ICR-2,2874
RC2_0067_ICR-3,2813
RC2_0068_ICR-1,4213
RC2_0068_ICR-2,4088
RC2_0068_ICR-3,4388
RC2_0069_ICR-1,4711
RC2_0069_ICR-2,4110
RC2_0069_ICR-3,4662
RC2_0070_ICR-1,4658
RC2_0070_ICR-2,2782
RC2_0070_ICR-3,4648
RC2_0071_ICR-1,4820
RC2_0071_ICR-2,4607
RC2_0071_ICR-3,4297
RC2_0072_ICR-1,4493
RC2_0072_ICR-2,3731
RC2_0072_ICR-3,4751
RC2_0073_ICR-1,4426
RC2_0073_ICR-2,4777
RC2_0073_ICR-3,4345
RC2_0074_ICR-1,4737
RC2_0074_ICR-2,4356
RC2_0074_ICR-3,4243
RC2_0075_ICR-1,4315
RC2_0075_ICR-2,4594
RC2_0075_ICR-3,4097
RC2_0076_ICR-1,4502
RC2_0076_ICR-2,4601
RC2_0076_ICR-3,4420
