SampleID,Group,Transformation,Formula,Counts,Perc_Counts
RC2_0167_ICR-3_p08,Other,random,uridine 5_ monophosphate (-H2O),1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,uridine 5_ diphosphate (-H2O),1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C10H16N2O4,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C10H16N4O5S1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C10H16O11N2P2,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C12H16O12,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H6N2O2,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H6O1N2,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,H2N1O_1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C10H13N5O6P1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C11H14N2O7,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H3N5,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H4O1N4,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C9H13O2N3,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C9H15N2O5P1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C9H15N4O4P2S1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C9H15O8N4P1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H8N3O_2,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H8O1S1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H9O4,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H12N2S2,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H12N4O_1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H2O1N4,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H10N2O1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H10N4,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,H3N1O2S1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H7O3,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C5H7O4P1S1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C6H11O5,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C4H7N1O2S1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,H_1O_3Cl3,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C4H3F1N2O1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C4H3N3,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C6H10N2O2,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C6H10O3S1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C14H22,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C14H8O2,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C15H22O1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C9H11O1N5,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C9H12N2O11P2,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C4H12N2O_1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,H_1O1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C3H6O5S1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,H1O3S1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C6H14O2N4,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C6H3N1O3S1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C6H4N2O1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C6H6O1N4,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,NA_4,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,NA_5,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,O1H1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,O1N1,1,3.62056e-05
RC2_0167_ICR-3_p08,Other,random,C3H5N1O2S1,1,3.62056e-05
