Feature_X,Feature_Y,Difference,Group,Transformation,Formula,mf,SampleID
629.200724299,629.224529180,0.023804881,Other,random,H2N1O_1,0.023809000,RC2_0188_ICR-2_p08
443.098344212,443.122150093,0.023805881,Other,random,H2N1O_1,0.023809000,RC2_0188_ICR-2_p08
269.103137627,269.139508446,0.036370818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
419.134645953,419.171016771,0.036370818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
503.155901117,503.192271936,0.036370818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
459.096559272,459.132930090,0.036370818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
363.157870657,363.194242475,0.036371818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
579.062818827,579.099190645,0.036371818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
313.092784821,313.129157639,0.036372818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
365.087675014,365.124047832,0.036372818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
379.134155827,379.170528645,0.036372818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
569.296821626,569.333194444,0.036372818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
243.087509622,243.123882440,0.036372818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
289.035489030,289.071861848,0.036372818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
435.087518240,435.123891058,0.036372818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
449.158166932,449.194539750,0.036372818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
455.074999367,455.111372185,0.036372818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
501.067356553,501.103729372,0.036372818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
225.040561798,225.076934617,0.036372818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
307.118638672,307.155012491,0.036373818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
309.061523964,309.097897782,0.036373818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
485.166385007,485.202758825,0.036373818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
313.084714861,313.121088679,0.036373818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
348.085470970,348.121844788,0.036373818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
474.067687465,474.104061283,0.036373818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
397.142229844,397.178603663,0.036373818,Other,random,CH4_O,0.036380000,RC2_0188_ICR-2_p08
