Mass,RC2_0001_ICR.1_p08,RC2_0001_ICR.2_p08,RC2_0001_ICR.3_p08,RC2_0002_ICR.1_p08,RC2_0002_ICR.2_p08,RC2_0002_ICR.3_p08,RC2_0003_ICR.1_p08,RC2_0003_ICR.2_p08,RC2_0003_ICR.3_p08,RC2_0004_ICR.1_p08,RC2_0004_ICR.2_p08,RC2_0004_ICR.3_p08,RC2_0005_ICR.1_p08,RC2_0005_ICR.2_p08,RC2_0005_ICR.3_p08,RC2_0006_ICR.1_p08,RC2_0006_ICR.2_p08,RC2_0006_ICR.3_p08
200.026901912019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147900.6
200.160727963441,0,0,0,0,0,0,0,0,0,0,0,1153127.4,0,0,0,0,0,0
200.221607378378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236154.1
200.446110556927,0,0,0,0,0,0,0,1203808.1,0,0,0,0,0,0,0,0,0,0
200.479025132852,0,0,0,0,0,0,0,0,1174613.3,0,0,0,0,0,0,0,0,0
200.494774048551,0,0,0,0,0,0,1209597.3,0,0,0,0,0,0,0,0,0,0,0
200.641896944989,0,0,1114546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200.727985297057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158247.1,0,0,0
200.748955930921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159393.8
200.800241809809,0,0,0,0,0,0,0,1114768.3,0,0,0,0,0,0,0,0,0,0
200.805592252076,0,0,0,0,0,0,0,0,0,0,0,1152592.4,0,0,0,0,0,0
200.81218054036,0,0,0,0,1131874,0,0,0,0,0,0,0,0,0,0,0,0,0
200.866588596531,0,0,0,0,0,1126098.1,0,0,0,0,0,0,0,0,0,0,0,0
200.957892762218,0,0,0,0,0,0,0,0,1144994.1,0,0,0,0,0,0,0,0,0
201.040662582001,0,0,0,0,0,0,0,0,0,0,0,0,1267911.1,0,0,0,0,0
201.077013845526,0,3501736.3,1536953,0,0,0,0,1468712.3,0,0,0,0,0,0,2154258.5,3764702.5,0,1674442.6
201.107592449065,0,0,0,0,0,0,0,0,0,0,0,1152303.1,0,0,0,0,0,0
201.112864414195,0,0,0,0,0,0,1145399.3,0,0,0,0,0,0,0,0,1624042,0,0
