Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE_1,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd
200.026901912019,0,0,0,0,0,0,0,0,,None,201.034178378899,0,0,NA,NA,NA,NA,NA,NA,NA,199.803550086387,0.196449913613264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.160727963441,0,0,0,0,0,0,0,0,,None,201.168004430321,0,0,NA,NA,NA,NA,NA,NA,NA,199.937226706444,0.062773293555864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.221607378378,0,0,0,0,0,0,0,0,,None,201.228883845258,0,0,NA,NA,NA,NA,NA,NA,NA,199.998038142883,0.00196185711743624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.446110556927,0,0,0,0,0,0,0,0,,None,201.453387023807,0,0,NA,NA,NA,NA,NA,NA,NA,200.222290639177,0.777709360823224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.479025132852,0,0,0,0,0,0,0,0,,None,201.486301599732,0,0,NA,NA,NA,NA,NA,NA,NA,200.255168462392,0.744831537607752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.494774048551,0,0,0,0,0,0,0,0,,None,201.502050515431,0,0,NA,NA,NA,NA,NA,NA,NA,200.270899792711,0.729100207288724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.641896944989,0,0,0,0,0,0,0,0,,None,201.649173411869,0,0,NA,NA,NA,NA,NA,NA,NA,200.417858410409,0.582141589591203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.727985297057,0,0,0,0,0,0,0,0,,None,201.735261763937,0,0,NA,NA,NA,NA,NA,NA,NA,200.503850635454,0.496149364546227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.748955930921,0,0,0,0,0,0,0,0,,None,201.756232397801,0,0,NA,NA,NA,NA,NA,NA,NA,200.524797853321,0.475202146679322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.800241809809,0,0,0,0,0,0,0,0,,None,201.807518276689,0,0,NA,NA,NA,NA,NA,NA,NA,200.576026465938,0.423973534061872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.805592252076,0,0,0,0,0,0,0,0,,None,201.812868718956,0,0,NA,NA,NA,NA,NA,NA,NA,200.581370933853,0.418629066146508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.81218054036,0,0,0,0,0,0,0,0,,None,201.81945700724,0,0,NA,NA,NA,NA,NA,NA,NA,200.587951865596,0.412048134404046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.866588596531,0,0,0,0,0,0,0,0,,None,201.873865063411,0,0,NA,NA,NA,NA,NA,NA,NA,200.642299169245,0.357700830754652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.957892762218,0,0,0,0,0,0,0,0,,None,201.965169229098,0,0,NA,NA,NA,NA,NA,NA,NA,200.733501383885,0.266498616114717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.040662582001,0,0,0,0,0,0,0,0,,None,202.047939048881,0,0,NA,NA,NA,NA,NA,NA,NA,200.816178782148,0.183821217851914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.077013845526,0,0,0,0,0,0,0,0,,None,202.084290312406,0,0,NA,NA,NA,NA,NA,NA,NA,200.852489455527,0.14751054447251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.107592449065,0,0,0,0,0,0,0,0,,None,202.114868915945,0,0,NA,NA,NA,NA,NA,NA,NA,200.883033914725,0.116966085275379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.112864414195,0,0,0,0,0,0,0,0,,None,202.120140881075,0,0,NA,NA,NA,NA,NA,NA,NA,200.888299993131,0.111700006868745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.113414290736,0,0,0,0,0,0,0,0,,None,202.120690757616,0,0,NA,NA,NA,NA,NA,NA,NA,200.888849255675,0.111150744324817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.249633044586,0,0,0,0,0,0,0,0,,None,202.256909511466,0,0,NA,NA,NA,NA,NA,NA,NA,201.024915906448,0.975084093552283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.252825449338,0,0,0,0,0,0,0,0,,None,202.260101916218,0,0,NA,NA,NA,NA,NA,NA,NA,201.028104746532,0.971895253467977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.357570783629,0,0,0,0,0,0,0,0,,None,202.364847250509,0,0,NA,NA,NA,NA,NA,NA,NA,201.132733121247,0.867266878752986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.546438325761,0,0,0,0,0,0,0,0,,None,202.553714792641,0,0,NA,NA,NA,NA,NA,NA,NA,201.321389772194,0.678610227805791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.55480574,0,0,0,0,0,0,0,0,,None,202.56208220688,0,0,NA,NA,NA,NA,NA,NA,NA,201.329747843304,0.670252156696279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.571905169084,0,0,0,0,0,0,0,0,,None,202.579181635964,0,0,NA,NA,NA,NA,NA,NA,NA,201.346828179012,0.653171820987552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.62228114811,0,0,0,0,0,0,0,0,,None,202.62955761499,0,0,NA,NA,NA,NA,NA,NA,NA,201.39714790777,0.602852092229767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.693106054534,0,0,0,0,0,0,0,0,,None,202.700382521414,0,0,NA,NA,NA,NA,NA,NA,NA,201.467893730471,0.532106269528981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.801770690643,0,0,0,0,0,0,0,0,,None,202.809047157523,0,0,NA,NA,NA,NA,NA,NA,NA,201.576437030677,0.423562969323456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.802197443071,0,0,0,0,0,0,0,0,,None,202.809473909951,0,0,NA,NA,NA,NA,NA,NA,NA,201.576863306589,0.42313669341101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.814113305042,0,0,0,0,0,0,0,0,,None,202.821389771922,0,0,NA,NA,NA,NA,NA,NA,NA,201.588765863202,0.41123413679793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.136843376721,0,0,0,0,0,0,0,0,,None,203.144119843601,0,0,NA,NA,NA,NA,NA,NA,NA,201.9111355716,0.0888644284001145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.186009235194,0,0,0,0,0,0,0,0,,None,203.193285702074,0,0,NA,NA,NA,NA,NA,NA,NA,201.960246531036,0.0397534689639087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.20194749906,0,0,0,0,0,0,0,0,,None,203.20922396594,0,0,NA,NA,NA,NA,NA,NA,NA,201.976166998094,0.0238330019057287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.310029241995,0,0,0,0,0,0,0,0,,None,203.317305708875,0,0,NA,NA,NA,NA,NA,NA,NA,202.08412805599,0.915871944010433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.323933977805,0,0,0,0,0,0,0,0,,None,203.331210444685,0,0,NA,NA,NA,NA,NA,NA,NA,202.098017265647,0.901982734352657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.443324995884,0,0,0,0,0,0,0,0,,None,203.450601462764,0,0,NA,NA,NA,NA,NA,NA,NA,202.217274970649,0.782725029351042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.489272489095,0,0,0,0,0,0,0,0,,None,203.496548955975,0,0,NA,NA,NA,NA,NA,NA,NA,202.263171158479,0.736828841521458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.615995996282,0,0,0,0,0,0,0,0,,None,203.623272463162,0,0,NA,NA,NA,NA,NA,NA,NA,202.389753165065,0.610246834934657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.787598244452,0,0,0,0,0,0,0,0,,None,203.794874711332,0,0,NA,NA,NA,NA,NA,NA,NA,202.561163800632,0.438836199368012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.820006284776,0,0,0,0,0,0,0,0,,None,203.827282751656,0,0,NA,NA,NA,NA,NA,NA,NA,202.593535653849,0.406464346151324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.828499545087,0,0,0,0,0,0,0,0,,None,203.835776011967,0,0,NA,NA,NA,NA,NA,NA,NA,202.602019430509,0.397980569490699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.842995477735,0,0,0,0,0,0,0,0,,None,203.850271944615,0,0,NA,NA,NA,NA,NA,NA,NA,202.616499176869,0.383500823130589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.945211194611,0,0,0,0,0,0,0,0,,None,203.952487661491,0,0,NA,NA,NA,NA,NA,NA,NA,202.718600758763,0.281399241237182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.970080494684,0,0,0,0,0,0,0,0,,None,203.977356961564,0,0,NA,NA,NA,NA,NA,NA,NA,202.743442289553,0.256557710446828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
