SampleID,norm_trans,total_trans
RC2_0001_ICR.1_p08,8.206240487062404,43132
RC2_0001_ICR.2_p08,8.393256401009737,46549
RC2_0001_ICR.3_p08,8.168534982605335,42264
RC2_0002_ICR.1_p08,8.324077525158405,44667
RC2_0002_ICR.2_p08,7.955414012738854,43715
RC2_0002_ICR.3_p08,7.841337273734762,42453
RC2_0003_ICR.1_p08,7.954749439042633,42542
RC2_0003_ICR.2_p08,7.714108398841539,37290
RC2_0003_ICR.3_p08,7.863583365720948,40466
RC2_0004_ICR.1_p08,8.235402468226193,44710
RC2_0004_ICR.2_p08,8.070807678377399,44567
RC2_0004_ICR.3_p08,8.101990521327014,42738
RC2_0005_ICR.1_p08,8.466115405356822,47097
RC2_0005_ICR.2_p08,8.366602010227473,47447
RC2_0005_ICR.3_p08,8.31241629998087,43449
RC2_0006_ICR.1_p08,8.664448336252189,49474
RC2_0006_ICR.2_p08,8.259208023517205,47763
RC2_0006_ICR.3_p08,8.171575585521646,46055
