SampleID,Group,Transformation,Formula,Counts,Perc_Counts
RC2_0004_ICR.2_p08,Other,random,C10H16N2O4,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C6H3Cl3,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,Cystine,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C6H7N2O1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C10H12N5O6P1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,uridine 5_ monophosphate (-H2O),1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C6H4O1N1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C6H3N1O3S1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C6H6N2O2,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C5H2O1N4,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C10H13N5O6P1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C10H13N5,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C5H2N4,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,Arginine,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C10H10O3N2,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C11H8N2O4S1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C9H11O1N5,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C5H12O9P2,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C5H12N4O_1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C5H12N2S2,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C15H22O_7P_2,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C9H16N1O7P1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C9H14N3O9P1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C9H14N2O4S1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C7H12O5N3P1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C4H9O2P1S1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C15H17N1O8,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C14H23O10N1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C13H6N2O4,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C9H11N3O7P1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C12H11O4,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,H_1S1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C17H21O3N1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C17H30O12N2S1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C18H19N1O3,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C18H14N2O6,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C18H28O18,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C18H34N6O4S1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C18H26O_1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C18H24,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C19H19O5N7,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C19H21O3N1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C19H22O1N2,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C8H10N2O2S1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C4H3N3O2,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C7H5N1O_3,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C7H8O1N4,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C4H10N2O_1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C1H2O_1N2,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C19H20N1O3,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C6H7N2O5P1,1,2.24381e-05
RC2_0004_ICR.2_p08,Other,random,C5H5N5O_1,1,2.24381e-05
