Feature_X,Feature_Y,Difference,Group,Transformation,Formula,mf,SampleID
364.043658000,364.067458000,0.023800000,Other,random,H2N1O_1,0.023809000,RC2_0003_ICR.3_p08
350.064303900,350.088104900,0.023801000,Other,random,H2N1O_1,0.023809000,RC2_0003_ICR.3_p08
301.047995700,301.071810800,0.023815100,Other,random,H2N1O_1,0.023809000,RC2_0003_ICR.3_p08
655.216518800,655.252888900,0.036370100,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
371.040794400,371.077164600,0.036370200,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
211.024973700,211.061344000,0.036370300,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
303.064190900,303.100561200,0.036370300,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
361.059807100,361.096177400,0.036370300,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
471.142752600,471.179122900,0.036370300,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
337.178675200,337.215045600,0.036370400,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
290.088235300,290.124605900,0.036370600,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
315.100418200,315.136788900,0.036370700,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
229.108251200,229.144622000,0.036370800,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
307.045978100,307.082349100,0.036371000,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
641.187610800,641.223982000,0.036371200,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
653.151353400,653.187724600,0.036371200,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
529.119941700,529.156313000,0.036371300,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
449.103349200,449.139720600,0.036371400,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
423.020570600,423.056942000,0.036371400,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
541.098766400,541.135137800,0.036371400,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
675.193158200,675.229529600,0.036371400,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
489.044070000,489.080441500,0.036371500,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
303.027819200,303.064190900,0.036371700,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
581.215749100,581.252120900,0.036371800,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
303.087434400,303.123806400,0.036372000,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
373.178699900,373.215071900,0.036372000,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
439.124462400,439.160834400,0.036372000,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
575.067782500,575.104154500,0.036372000,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
721.198614400,721.234986400,0.036372000,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
287.019844000,287.056216100,0.036372100,Other,random,CH4_O,0.036380000,RC2_0003_ICR.3_p08
