SampleID,num_peak,n_transformations,normalized_transformations
RC2_0001_ICR-1,4182,28182,6.738880918220947
RC2_0001_ICR-2,4373,28969,6.624514063571919
RC2_0001_ICR-3,4130,27290,6.60774818401937
RC2_0002_ICR-1,4475,28475,6.363128491620111
RC2_0002_ICR-2,4428,25306,5.714995483288166
RC2_0002_ICR-3,4249,24712,5.815956695693104
RC2_0003_ICR-1,4317,25648,5.941162844567987
RC2_0003_ICR-2,3702,27178,7.341437061048082
RC2_0003_ICR-3,4202,22630,5.385530699666825
RC2_0004_ICR-1,4434,26588,5.996391520072169
RC2_0004_ICR-2,4462,25468,5.707754370237562
RC2_0004_ICR-3,4239,25549,6.027129039867893
RC2_0005_ICR-1,4574,28795,6.295365107127241
RC2_0005_ICR-2,4618,27877,6.036595928973582
RC2_0005_ICR-3,4123,28962,7.0244967256851805
RC2_0006_ICR-1,4552,30236,6.642355008787346
RC2_0006_ICR-2,4721,27938,5.917814022452871
RC2_0006_ICR-3,4517,26511,5.869160947531547
RC2_0007_ICR-1,4112,26297,6.395184824902723
RC2_0007_ICR-2,4226,25433,6.018220539517274
RC2_0007_ICR-3,3873,23437,6.05138135812032
RC2_0008_ICR-1,4422,22420,5.070104025327906
RC2_0008_ICR-2,4237,24126,5.694123200377626
RC2_0008_ICR-3,4429,24574,5.548430797019643
RC2_0009_ICR-1,4305,26783,6.2213704994192796
RC2_0009_ICR-2,4500,26232,5.8293333333333335
RC2_0009_ICR-3,4461,26541,5.949562878278413
RC2_0010_ICR-1,4398,27093,6.160300136425648
RC2_0010_ICR-2,4503,26105,5.797246280257606
RC2_0010_ICR-3,4250,27398,6.446588235294118
RC2_0011_ICR-1,4528,24822,5.4818904593639575
RC2_0011_ICR-2,4629,24286,5.24648952257507
RC2_0011_ICR-3,4172,28743,6.889501438159156
RC2_0012_ICR-1,4259,26662,6.26015496595445
RC2_0012_ICR-2,4535,25113,5.537596471885336
RC2_0012_ICR-3,4430,24107,5.44176072234763
RC2_0013_ICR-1,4219,26501,6.281346290590188
RC2_0013_ICR-2,4024,23147,5.7522365805168985
RC2_0013_ICR-3,3810,23212,6.092388451443569
RC2_0014_ICR-1,4238,21441,5.059226050023596
RC2_0014_ICR-2,4163,20123,4.83377372087437
RC2_0014_ICR-3,4416,22705,5.141530797101449
RC2_0015_ICR-1,4603,26724,5.80577883988703
RC2_0015_ICR-2,4319,24827,5.748321370687659
RC2_0015_ICR-3,4313,21715,5.034778576396939
RC2_0016_ICR-1,4583,27916,6.091206633209688
RC2_0016_ICR-2,4447,21868,4.91747245333933
RC2_0016_ICR-3,4640,27397,5.904525862068965
RC2_0017_ICR-1,4591,26775,5.832062731431061
RC2_0017_ICR-2,4514,23774,5.266725742135578
RC2_0017_ICR-3,4531,24927,5.501434561906864
RC2_0018_ICR-1,4612,25215,5.467259323503903
RC2_0018_ICR-2,4455,23643,5.307070707070707
RC2_0018_ICR-3,4563,26428,5.791803637957484
RC2_0019_ICR-2,3985,28115,7.055207026348808
RC2_0019_ICR-3,4147,26606,6.415722208825657
RC2_0020_ICR-1,4213,21473,5.096843104676003
RC2_0020_ICR-2,4454,25819,5.796811854512797
RC2_0020_ICR-3,3967,25591,6.450970506680111
RC2_0021_ICR-1,4524,27183,6.008620689655173
RC2_0021_ICR-2,4203,22855,5.437782536283607
RC2_0021_ICR-3,4284,20709,4.834033613445378
RC2_0022_ICR-1,4442,25356,5.708239531742459
RC2_0022_ICR-2,4509,27214,6.03548458638279
RC2_0022_ICR-3,4567,26546,5.81256842566236
RC2_0023_ICR-1,4451,24834,5.57942035497641
RC2_0023_ICR-2,4458,25702,5.765365634813818
RC2_0023_ICR-3,4374,24766,5.66209419295839
RC2_0024_ICR-1,4292,21814,5.082479030754893
RC2_0024_ICR-2,4536,27730,6.11331569664903
RC2_0024_ICR-3,4363,24947,5.717854687141875
RC2_0025_ICR-1,4135,25998,6.287303506650544
RC2_0025_ICR-2,4002,24567,6.138680659670165
RC2_0025_ICR-3,4095,26438,6.456166056166056
RC2_0026_ICR-1,4249,23152,5.448811485055307
RC2_0026_ICR-2,4255,22625,5.317273795534665
RC2_0026_ICR-3,4205,23414,5.568133174791915
RC2_0027_ICR-1,4069,22727,5.585401818628656
RC2_0027_ICR-2,3927,23344,5.944486885663356
RC2_0027_ICR-3,4060,23161,5.704679802955665
RC2_0028_ICR-1,4353,24589,5.648747989892028
RC2_0028_ICR-2,4453,27084,6.082191780821918
RC2_0028_ICR-3,4247,22906,5.3934542029668
RC2_0029_ICR-1,4419,28356,6.41683638832315
RC2_0029_ICR-2,4303,25603,5.950034859400418
RC2_0029_ICR-3,4570,27069,5.9231947483588625
RC2_0030_ICR-1,4644,27660,5.956072351421189
RC2_0030_ICR-2,4449,28129,6.322544391998202
RC2_0030_ICR-3,4308,21423,4.972841225626741
RC2_0031_ICR-1,3677,24767,6.735654065814523
RC2_0031_ICR-2,4321,29359,6.794492015737098
RC2_0031_ICR-3,4057,26703,6.581957111165886
RC2_0032_ICR-1,4550,24892,5.470769230769231
