Feature_X,Feature_Y,Difference,Group,Transformation,Formula,mf,SampleID
211.061288561,211.097659487,0.036370926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
569.151353315,569.187724242,0.036370926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
489.176661513,489.213032439,0.036370926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
365.124116105,365.160487031,0.036370926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
396.057268369,396.093639295,0.036370926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
445.207876686,445.244247612,0.036370926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
399.108525181,399.144897107,0.036371926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
412.116744799,412.153116725,0.036371926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
467.083087321,467.119459247,0.036371926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
473.166480983,473.202852909,0.036371926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
475.101275059,475.137646985,0.036371926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
516.172378763,516.208750689,0.036371926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
239.092556710,239.128929637,0.036372926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
309.097937732,309.134310658,0.036372926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
373.113991900,373.150365827,0.036373926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
427.116494378,427.152868304,0.036373926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
461.145262364,461.181636290,0.036373926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
529.171631399,529.208005325,0.036373926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
545.130171033,545.166544959,0.036373926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
597.109782613,597.146156539,0.036373926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
457.127065513,457.163440439,0.036374926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
551.140755843,551.177130769,0.036374926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
253.108181285,253.144556211,0.036374926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
447.142726762,447.179101688,0.036374926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
447.179101688,447.215476615,0.036374926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
445.135064834,445.171440760,0.036375926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
527.104376591,527.140752518,0.036375926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
413.158305686,413.194681612,0.036375926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
287.113627318,287.150003245,0.036375926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
437.145286038,437.181661964,0.036375926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
465.140207261,465.176583188,0.036375926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
631.167360540,631.203736467,0.036375926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
555.163959683,555.200336610,0.036376926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
399.202391990,399.238768917,0.036376926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
401.108885124,401.145262050,0.036376926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
441.132118952,441.168495879,0.036376926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
537.161405195,537.197782121,0.036376926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
327.121553178,327.157930104,0.036376926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
331.118676071,331.155052998,0.036376926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
287.150003245,287.186381171,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
328.103738186,328.140116112,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
397.150334152,397.186712078,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
570.182973223,570.219351149,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
323.090261354,323.126639280,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
359.126664268,359.163042194,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
380.184491561,380.220869487,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
382.090958694,382.127336620,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
395.184150140,395.220528066,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
419.074954687,419.111332613,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
419.184132465,419.220510391,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
255.087444271,255.123822197,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
417.059372774,417.095750701,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
557.106787743,557.143165669,0.036377926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
499.072929442,499.109308368,0.036378926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
527.168952460,527.205331387,0.036378926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
559.130470639,559.166849565,0.036378926,Other,random,CH4_O,0.036380000,RC2_0091_ICR-3_p1
