"","SampleID","num_peak"
"1","RC2_0001_ICR-1",5342
"2","RC2_0001_ICR-2",5640
"3","RC2_0001_ICR-3",5260
"4","RC2_0002_ICR-1",5491
"5","RC2_0002_ICR-2",5699
"6","RC2_0002_ICR-3",5562
"7","RC2_0003_ICR-1",5488
"8","RC2_0003_ICR-2",4871
"9","RC2_0003_ICR-3",5378
"10","RC2_0004_ICR-1",5598
"11","RC2_0004_ICR-2",5698
"12","RC2_0004_ICR-3",5449
"13","RC2_0005_ICR-1",5711
"14","RC2_0005_ICR-2",5864
"15","RC2_0005_ICR-3",5323
"16","RC2_0006_ICR-1",5870
"17","RC2_0006_ICR-2",5942
"18","RC2_0006_ICR-3",5803
