SampleID,norm_trans,total_trans
RC2_0001_ICR-1,7.551666042680644,40341
RC2_0001_ICR-2,7.399113475177305,41731
RC2_0001_ICR-3,7.276996197718631,38277
RC2_0002_ICR-1,7.34456383172464,40329
RC2_0002_ICR-2,6.559922793472539,37385
RC2_0002_ICR-3,6.478604818410644,36034
RC2_0003_ICR-1,6.82798833819242,37472
RC2_0003_ICR-2,7.545267912133032,36753
RC2_0003_ICR-3,6.354220899962812,34173
RC2_0004_ICR-1,6.983744194355126,39095
RC2_0004_ICR-2,6.435591435591435,36670
RC2_0004_ICR-3,6.990456964580657,38091
RC2_0005_ICR-1,7.341271230957801,41926
RC2_0005_ICR-2,6.979536152796726,40928
RC2_0005_ICR-3,7.63648318617321,40649
RC2_0006_ICR-1,7.625894378194208,44764
RC2_0006_ICR-2,6.9111410299562435,41066
RC2_0006_ICR-3,6.7306565569533,39058
