SampleID,Group,Transformation,Formula,Counts,Perc_Counts
RC2_0002_ICR-2,Other,random,thymidine 5_ monophosphate (-H2O),1,2.67487e-05
RC2_0002_ICR-2,Other,random,urea addition (-H),1,2.67487e-05
RC2_0002_ICR-2,Other,random,C11H19O5N4P2S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C4H4N2O1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,guanosine (-H2O),1,2.67487e-05
RC2_0002_ICR-2,Other,random,isoprene addition (-H),1,2.67487e-05
RC2_0002_ICR-2,Other,random,acetone_(_H)_C3H5O,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C11H21N2O6P1S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,H1S2O3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C3H1N2O3P1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,thymine (-H),1,2.67487e-05
RC2_0002_ICR-2,Other,random,diphosphate,1,2.67487e-05
RC2_0002_ICR-2,Other,random,diphosphate_H3O6P2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C3H3O1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C3H5N1O2S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,H1C2N3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C3H6O5S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C4H7N1O1S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C4H7N1O2S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C5H10N1O6P1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C5H10N4,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C11H4Cl1N1O2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C12H22O6P2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C6H14O2N4,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C6H3Cl3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C14H12N6O2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,H4O6P2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C2H6N1O3P1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C2H6O3S2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C2H7O2N1S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,H2O6P2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,H2O7P2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,H3N1O2S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C3H10N1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C4H9N1O2S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C3H1N3O2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C14H17O6N3S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C14H23O10N1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C6H11O10N1S2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C6H12O9S2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C14H8O2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C15H17N1O8,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C4H11O2Cl2N2P1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C2H4O3S2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C2H5N1O_1S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C2H5O2N1S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,H3N1O5P2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,H3O3N1S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C8H5N1O_1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C5H12N2S2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C5H2N4,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C5H2N4S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C5H2O1N4,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C4H12N2O_1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C4H3N3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C4H3N3O2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C8H10N2S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C21H24N2O2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C21H34,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C22H27O4N7,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C22H42O1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C24H32O6,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C27H24O17,1,2.67487e-05
RC2_0002_ICR-2,Other,random,H6N2O_1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C2H4N2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C2H4O2S2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C7H13O7N2P1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C7H4Cl4O2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C16H17O2N1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C17H17O2N1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C17H32N6O4S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C18H19N1O3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C18H19O2N1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,Cl2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C20H30O1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,H_1S1O_1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,H_2N_2O2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,H_3N_3O3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C20H7O1Cl2N3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C21H20O2N2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C20H21N1O3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C20H21N7O6,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C20H24O1N2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C20H28,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C8H8N2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C_7H_4O5P2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C18H26,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C8H14N2O3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C4H6N1O2S_1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C9H13O7N4P1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C9H14N2O5,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C9H14N3O8P1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C9H14O7N5P1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C3H8O1N2S2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C8H14N1O8P1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C1H5N1O_1S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C1H7N3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C1H7N3O1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C1H_2N_1O5,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C1O_1N2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C4H10N2O_1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C5H6N2O2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C5H6O1N2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C7H5N1O_3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C7H9O3N3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C18H34N6O4S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C19H21O3N1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C19H26O_1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C19H36O_2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C1H1O2F1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C1H2N2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C1H4N2O1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,Histidine,1,2.67487e-05
RC2_0002_ICR-2,Other,random,Histidine_C6H7N3O,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C5H3N5,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C5H3N5O_1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C8H10O1N2S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,thymidine (-H2O),1,2.67487e-05
RC2_0002_ICR-2,Other,random,thymine_(_H)_C5H5N2O2,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C6H7N2O1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C6H8N1S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C6H8N3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C11H14N2O7P1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C11H15N5O3S1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C11H17N1O7,1,2.67487e-05
RC2_0002_ICR-2,Other,random,C6H5N3,1,2.67487e-05
RC2_0002_ICR-2,Other,random,adenosine (-H2O),1,2.67487e-05
RC2_0002_ICR-2,Other,random,carbamoyl P transfer (-H2PO4),1,2.67487e-05
RC2_0002_ICR-2,Other,random,deoxythymidine 5_ diphosphate (-H2O),1,2.67487e-05
RC2_0002_ICR-2,Other,random,C10H14N5O9P3S_1,1,2.67487e-05
RC2_0002_ICR-2,Other,random,neugc_C11H17N1O9,1,2.67487e-05
RC2_0002_ICR-2,Other,random,pyridoxal phosphate (-H2O),2,5.34974e-05
RC2_0002_ICR-2,Other,random,primary amine,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C10H12N5O3,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C10H10O2N2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C11H13N5O2S1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C6H6N1O2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C6H6O1N4,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C10H10N2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C19H38O_2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C19H32O_2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C19H25N1O2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C1H3N1S1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,Methionine_C5H9NOS,2,5.34974e-05
RC2_0002_ICR-2,Other,random,Methionine,2,5.34974e-05
RC2_0002_ICR-2,Other,random,uracil (-H),2,5.34974e-05
RC2_0002_ICR-2,Other,random,Arginine,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C19H10O2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C5H5N5O_1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C_4H1N2O1P1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C_7H_2O4P2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C_2H_2O1S2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C20H38,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C20H36O1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C9H11N1O1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C_8H_9N1O1P2S1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C8H12O1S2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C9H14N3O9P1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C9H15N2O5P1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C8H13N2O9P1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C7H7O_1N1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C20H28O1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C20H34O1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C_1H1N1O_2S1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,H3O_1N1S1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C2H5O1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C5H9O4,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C4H3O_1N2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C4H2O1N2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C6H10O5P1N3,2,5.34974e-05
RC2_0002_ICR-2,Other,random,O_1Cl2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C13H6N2O4,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C12H8N4O1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C12H11O4,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C14H15O5N1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,H2O_1Cl1N1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,H2N_1O4P1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C3H10N2O_1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,N_1O1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C22H32O1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C22H38O1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C17H16O2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C17H21O3N1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C18H10O5,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C18H12O5,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C5H8N3O_2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C21H34O2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,H2N2O_1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C3H2N2O_1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,disaccharide (-H2O),2,5.34974e-05
RC2_0002_ICR-2,Other,random,C10H7N1O1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C3H13N7O_6,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C10H8N2O1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C5H10O3N1P1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C11H9N1O3,2,5.34974e-05
RC2_0002_ICR-2,Other,random,uracil_(_H)_C4H3N2O2,2,5.34974e-05
RC2_0002_ICR-2,Other,random,acetone (-H),2,5.34974e-05
RC2_0002_ICR-2,Other,random,C8H5N1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,H2N1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C10H16Cl_1O6N3S1,2,5.34974e-05
RC2_0002_ICR-2,Other,random,C12H8S2,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C12H17O3N1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C6H4N2,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C7H13N1O4,3,8.02461e-05
RC2_0002_ICR-2,Other,random,H_1O3S1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C18H22O1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C17H34O_1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C3H8N1O3P1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C8H13N1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C8H8N1O1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C8H7N1O1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,NH4,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C1H5O_1N1S1e1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C1H_1O2,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C6H4N2O1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C5H12Cl1O1N2P1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C6H11O5,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C6H10N1O7P1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C5H2N5O_4P_1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C7H9O2N5,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C19H22O1N2,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C2H3O,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C5H7O4P1S1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C9H7N1O4,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C17H19O2N1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,Cysteine,3,8.02461e-05
RC2_0002_ICR-2,Other,random,H_3O1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C5H12N1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C5H12N1O3P1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,H1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,Inorganic Phosphate,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C19H19O5N7,3,8.02461e-05
RC2_0002_ICR-2,Other,random,uridine 5_ diphosphate (-H2O),3,8.02461e-05
RC2_0002_ICR-2,Other,random,guanine (-H),3,8.02461e-05
RC2_0002_ICR-2,Other,random,guanine_(_H)_C5H4N5O,3,8.02461e-05
RC2_0002_ICR-2,Other,random,adenine_(_H)_C5H4N5,3,8.02461e-05
RC2_0002_ICR-2,Other,random,adenine (-H),3,8.02461e-05
RC2_0002_ICR-2,Other,random,C3H7,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C9H16N1O7P1,3,8.02461e-05
RC2_0002_ICR-2,Other,random,C10H9N1,3,8.02461e-05
