Feature_X,Feature_Y,Difference,Group,Transformation,Formula,mf,SampleID
553.184723400,553.208542300,0.023818900,Other,random,H2N1O_1,0.023809000,RC2_0001_ICR-2
703.224523600,703.260894300,0.036370700,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
373.033155600,373.069526400,0.036370800,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
374.088099000,374.124469800,0.036370800,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
491.168849900,491.205220700,0.036370800,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
555.135515200,555.171886000,0.036370800,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
313.048431700,313.084802500,0.036370800,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
408.187696100,408.224066900,0.036370800,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
293.139476600,293.175847500,0.036370900,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
271.155180200,271.191551100,0.036370900,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
279.087478900,279.123849800,0.036370900,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
331.045914000,331.082284900,0.036370900,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
337.178686800,337.215057700,0.036370900,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
353.079758300,353.116129200,0.036370900,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
541.075425400,541.111797100,0.036371700,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
667.216544900,667.252916600,0.036371700,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
439.210418500,439.246790300,0.036371800,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
469.135130700,469.171502500,0.036371800,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
469.199753300,469.236125100,0.036371800,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
493.199741500,493.236113300,0.036371800,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
499.155380800,499.191752600,0.036371800,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
587.140797000,587.177168800,0.036371800,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
705.130968600,705.167340400,0.036371800,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
241.035470100,241.071842000,0.036371900,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
273.061685900,273.098057800,0.036371900,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
303.072206200,303.108578100,0.036371900,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
405.077087700,405.113459600,0.036371900,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
419.201874400,419.238246300,0.036371900,Other,random,CH4_O,0.036380000,RC2_0001_ICR-2
