#Columns,5
#Header_Rows,12
Field_Name,Sample_Name,IGSN,Material,00691_DIC_mg_per_L_as_C,Methods_Deviation
Unit,N/A,N/A,N/A,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_Carbon,N/A
MethodID_Analysis,N/A,N/A,N/A,DIC_T_AN_001,N/A
MethodID_Inspection,N/A,N/A,N/A,DIC_T_IN_001,N/A
MethodID_Storage,N/A,N/A,N/A,DIC_T_ST_001,N/A
MethodID_Preservation,N/A,N/A,N/A,DIC_T_PRES_001,N/A
MethodID_Preparation,N/A,N/A,N/A,DIC_T_PREP_001,N/A
MethodID_DataProcessing,N/A,N/A,N/A,DIC_T_DP_001,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.13-0.19,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,N/A
#Start_Data,RC2_0001_DIC-1,10.58052/IEPRS00CY,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0001_DIC-2,10.58052/IEPRS00CY,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0001_DIC-3,10.58052/IEPRS00CY,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0002_DIC-1,10.58052/IEPRS00CZ,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0002_DIC-2,10.58052/IEPRS00CZ,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0002_DIC-3,10.58052/IEPRS00CZ,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0003_DIC-1,10.58052/IEPRS00D0,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0003_DIC-2,10.58052/IEPRS00D0,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0003_DIC-3,10.58052/IEPRS00D0,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0004_DIC-1,10.58052/IEPRS00D1,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0004_DIC-2,10.58052/IEPRS00D1,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0004_DIC-3,10.58052/IEPRS00D1,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0005_DIC-1,10.58052/IEPRS00D2,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0005_DIC-2,10.58052/IEPRS00D2,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0005_DIC-3,10.58052/IEPRS00D2,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0006_DIC-1,10.58052/IEPRS00D3,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0006_DIC-2,10.58052/IEPRS00D3,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0006_DIC-3,10.58052/IEPRS00D3,Liquid>aqueous,-9999,VB_DIC_001
N/A,RC2_0007_DIC-1,10.58052/IEPRS00CS,Liquid>aqueous,-9999,DIC_QAQC_001
N/A,RC2_0007_DIC-2,10.58052/IEPRS00CS,Liquid>aqueous,5.8,N/A
N/A,RC2_0007_DIC-3,10.58052/IEPRS00CS,Liquid>aqueous,5.78,N/A
N/A,RC2_0008_DIC-1,10.58052/IEPRS00CT,Liquid>aqueous,6.36,N/A
