#Columns,5
#Header_Rows,12
Field_Name,Sample_Name,IGSN,Material,FTICR-MS,Methods_Deviation
Unit,N/A,N/A,N/A,N/A,N/A
Unit_Basis,N/A,N/A,N/A,N/A,N/A
MethodID_Analysis,N/A,N/A,N/A,ICR_T_AN_003,N/A
MethodID_Inspection,N/A,N/A,N/A,ICR_T_IN_003,N/A
MethodID_Storage,N/A,N/A,N/A,ICR_T_ST_003,N/A
MethodID_Preservation,N/A,N/A,N/A,ICR_T_PRES_003,N/A
MethodID_Preparation,N/A,N/A,N/A,ICR_T_PREP_003,N/A
MethodID_DataProcessing,N/A,N/A,N/A,ICR_T_DP_003,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,raw,N/A
#Start_Data,RC2_0001_ICR-1,10.58052/IEPRS00CY,Liquid>aqueous,See_FTICR_folder,N/A
N/A,RC2_0001_ICR-2,10.58052/IEPRS00CY,Liquid>aqueous,See_FTICR_folder,N/A
N/A,RC2_0001_ICR-3,10.58052/IEPRS00CY,Liquid>aqueous,See_FTICR_folder,N/A
N/A,RC2_0002_ICR-1,10.58052/IEPRS00CZ,Liquid>aqueous,See_FTICR_folder,N/A
N/A,RC2_0002_ICR-2,10.58052/IEPRS00CZ,Liquid>aqueous,See_FTICR_folder,N/A
N/A,RC2_0002_ICR-3,10.58052/IEPRS00CZ,Liquid>aqueous,See_FTICR_folder,N/A
N/A,RC2_0003_ICR-1,10.58052/IEPRS00D0,Liquid>aqueous,See_FTICR_folder,N/A
N/A,RC2_0003_ICR-2,10.58052/IEPRS00D0,Liquid>aqueous,See_FTICR_folder,N/A
N/A,RC2_0003_ICR-3,10.58052/IEPRS00D0,Liquid>aqueous,See_FTICR_folder,N/A
N/A,RC2_0004_ICR-1,10.58052/IEPRS00D1,Liquid>aqueous,See_FTICR_folder,N/A
