#Columns,9,,,,,,,,
#Header_Rows,12,,,,,,,,
Field_Name,Sample_Name,IGSN,Material,00940_Cl_mg_per_L,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00653_PO4_mg_per_L_as_PO4,00945_SO4_mg_per_L_as_SO4,Methods_Deviation
Unit,N/A,N/A,N/A,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_Chloride,as_Nitrate,as_Nitrite,as_Phosphate,as_Sulfate,N/A
MethodID_Analysis,N/A,N/A,N/A,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,N/A
MethodID_Inspection,N/A,N/A,N/A,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,N/A
MethodID_Storage,N/A,N/A,N/A,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,N/A
MethodID_Preservation,N/A,N/A,N/A,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,N/A
MethodID_Preparation,N/A,N/A,N/A,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,N/A
MethodID_DataProcessing,N/A,N/A,N/A,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.44,0.13,0.01,-9999,0.004-0.04,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,RC2_0001_ION-1,10.58052/IEPRS00CY,Liquid>aqueous,0.81,1.01,Nitrite_Below_0.01_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,2.23,DTL_003
N/A,RC2_0001_ION-2,10.58052/IEPRS00CY,Liquid>aqueous,0.81,0.99,Nitrite_Below_0.01_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,2.23,DTL_003
N/A,RC2_0001_ION-3,10.58052/IEPRS00CY,Liquid>aqueous,0.83,0.98,Nitrite_Below_0.01_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,2.27,DTL_003
N/A,RC2_0003_ION-1,10.58052/IEPRS00D0,Liquid>aqueous,1.33,0.21,-9999,-9999,2.23,N/A
N/A,RC2_0003_ION-2,10.58052/IEPRS00D0,Liquid>aqueous,1.32,0.22,-9999,-9999,2.3,N/A
N/A,RC2_0003_ION-3,10.58052/IEPRS00D0,Liquid>aqueous,1.37,0.22,Nitrite_Below_0.01_ppm_LOD|0_Raw_Not_Corrected|0_ppm_Final_Corrected,-9999,2.29,DTL_003
N/A,RC2_0004_ION-1,10.58052/IEPRS00D1,Liquid>aqueous,2.24,0.61,-9999,-9999,2.43,N/A
N/A,RC2_0004_ION-2,10.58052/IEPRS00D1,Liquid>aqueous,2.26,0.6,-9999,-9999,2.4,N/A
N/A,RC2_0004_ION-3,10.58052/IEPRS00D1,Liquid>aqueous,1.9,0.51,-9999,-9999,1.97,N/A
N/A,RC2_0005_ION-1,10.58052/IEPRS00D2,Liquid>aqueous,2.5,1.14,-9999,-9999,2.9,N/A
N/A,RC2_0005_ION-2,10.58052/IEPRS00D2,Liquid>aqueous,3.06,1.4,-9999,-9999,3.74,N/A
N/A,RC2_0005_ION-3,10.58052/IEPRS00D2,Liquid>aqueous,2.86,1.31,-9999,-9999,3.41,N/A
N/A,RC2_0006_ION-1,10.58052/IEPRS00D3,Liquid>aqueous,3.05,1.54,-9999,-9999,3.85,N/A
N/A,RC2_0006_ION-2,10.58052/IEPRS00D3,Liquid>aqueous,2.58,1.3,-9999,-9999,3.03,N/A
N/A,RC2_0006_ION-3,10.58052/IEPRS00D3,Liquid>aqueous,3.33,1.68,-9999,-9999,4.28,N/A
N/A,RC2_0007_ION-1,10.58052/IEPRS00CS,Liquid>aqueous,0.58,0.52,-9999,-9999,1.96,N/A
N/A,RC2_0007_ION-2,10.58052/IEPRS00CS,Liquid>aqueous,0.7,0.64,-9999,-9999,2.32,N/A
N/A,RC2_0007_ION-3,10.58052/IEPRS00CS,Liquid>aqueous,0.68,0.61,-9999,-9999,2.23,N/A
N/A,RC2_0008_ION-1,10.58052/IEPRS00CT,Liquid>aqueous,3.36,1.52,-9999,-9999,4.66,Cl_CV_030; NO3_CV_030; SO4_CV_30; Cl_OUTLIER_000; NO3_OUTLIER_000; SO4_OUTLIER_000
N/A,RC2_0008_ION-2,10.58052/IEPRS00CT,Liquid>aqueous,0.63,0.53,-9999,-9999,1.11,Cl_CV_030; NO3_CV_030; SO4_CV_30
N/A,RC2_0008_ION-3,10.58052/IEPRS00CT,Liquid>aqueous,0.62,0.53,-9999,-9999,1.1,Cl_CV_030; NO3_CV_030; SO4_CV_30
N/A,RC2_0009_ION-1,10.58052/IEPRS00CU,Liquid>aqueous,1.35,Nitrate_Below_0.13_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,-9999,-9999,2.37,DTL_003
N/A,RC2_0009_ION-2,10.58052/IEPRS00CU,Liquid>aqueous,1.34,Nitrate_Below_0.13_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,-9999,-9999,2.35,DTL_003
N/A,RC2_0009_ION-3,10.58052/IEPRS00CU,Liquid>aqueous,1.29,Nitrate_Below_0.13_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,-9999,-9999,2.27,DTL_003
N/A,RC2_0010_ION-1,10.58052/IEPRS00CV,Liquid>aqueous,2.42,0.61,-9999,-9999,2.77,N/A
N/A,RC2_0010_ION-2,10.58052/IEPRS00CV,Liquid>aqueous,2.41,0.6,-9999,-9999,2.75,N/A
N/A,RC2_0010_ION-3,10.58052/IEPRS00CV,Liquid>aqueous,2.78,0.67,-9999,-9999,3.15,N/A
N/A,RC2_0011_ION-1,10.58052/IEPRS00CW,Liquid>aqueous,0.65,0.56,-9999,-9999,1.14,Cl_CV_030; NO3_CV_030; SO4_CV_30; Cl_OUTLIER_000; NO3_OUTLIER_000; SO4_OUTLIER_000
N/A,RC2_0011_ION-2,10.58052/IEPRS00CW,Liquid>aqueous,3.63,1.51,-9999,-9999,4.89,Cl_CV_030; NO3_CV_030; SO4_CV_30
N/A,RC2_0011_ION-3,10.58052/IEPRS00CW,Liquid>aqueous,3.95,1.66,-9999,-9999,4.92,Cl_CV_030; NO3_CV_030; SO4_CV_30
N/A,RC2_0012_ION-1,10.58052/IEPRS00CX,Liquid>aqueous,3.31,1.76,-9999,-9999,4.99,N/A
N/A,RC2_0012_ION-2,10.58052/IEPRS00CX,Liquid>aqueous,3.6,1.93,-9999,-9999,5.45,N/A
N/A,RC2_0012_ION-3,10.58052/IEPRS00CX,Liquid>aqueous,3.14,1.69,-9999,-9999,4.96,N/A
N/A,RC2_0109_ION-1,10.58052/IEPRS00T3,Liquid>aqueous,2.17,-9999,-9999,-9999,2.91,Cl_CV_030; VB_ION_002
N/A,RC2_0061_ION-1,10.58052/IEPRS00DG,Liquid>aqueous,Chloride_Below_0.44_ppm_LOD|0.44_Raw_Not_Corrected|0.44_ppm_Final_Corrected,Nitrate_Below_0.13_ppm_LOD|0.06_Raw_Not_Corrected|0.06_ppm_Final_Corrected,-9999,-9999,1.79,Cl_CV_030; NO3_CV_030; DTL_003; FRZ_ION_001
N/A,RC2_0061_ION-3,10.58052/IEPRS00DG,Liquid>aqueous,Chloride_Below_0.44_ppm_LOD|0.44_Raw_Not_Corrected|0.44_ppm_Final_Corrected,Nitrate_Below_0.13_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,-9999,-9999,1.8,Cl_CV_030; NO3_CV_030; DTL_003; FRZ_ION_001
N/A,RC2_0061_ION-2,10.58052/IEPRS00DG,Liquid>aqueous,1.16,Nitrate_Below_0.13_ppm_LOD|0.01_Raw_Not_Corrected|0.01_ppm_Final_Corrected,-9999,-9999,1.76,Cl_CV_030; NO3_CV_030; DTL_003; Cl_OUTLIER_000; NO3_OUTLIER_000; FRZ_ION_001
N/A,RC2_0027_ION-1,10.58052/IEPRS00CC,Liquid>aqueous,0.78,0.17,-9999,-9999,1.93,Cl_CV_030; NO3_CV_030; SO4_CV_30; FRZ_ION_001
N/A,RC2_0027_ION-2,10.58052/IEPRS00CC,Liquid>aqueous,0.8,0.17,-9999,-9999,1.96,Cl_CV_030; NO3_CV_030; SO4_CV_30; FRZ_ION_001
N/A,RC2_0066_ION-1,10.58052/IEPRS00DL,Liquid>aqueous,7.3,3.11,-9999,-9999,14.49,Cl_CV_030; NO3_CV_030; SO4_CV_30; FRZ_ION_001
N/A,RC2_0066_ION-2,10.58052/IEPRS00DL,Liquid>aqueous,7.02,2.99,-9999,-9999,13.68,Cl_CV_030; NO3_CV_030; SO4_CV_30; FRZ_ION_001
N/A,RC2_0050_ION-3,10.58052/IEPRS00D5,Liquid>aqueous,3.66,1.74,-9999,-9999,5.07,Cl_CV_030; NO3_CV_030; SO4_CV_30; Cl_OUTLIER_000; NO3_OUTLIER_000; SO4_OUTLIER_000; FRZ_ION_001
N/A,RC2_0063_ION-2,10.58052/IEPRS00DI,Liquid>aqueous,4.89,3.34,0.1,-9999,7.86,Cl_CV_030; NO3_CV_030; SO4_CV_30; Cl_OUTLIER_000; NO3_OUTLIER_000; SO4_OUTLIER_000; FRZ_ION_001
N/A,RC2_0068_ION-3,10.58052/IEPRS00DN,Liquid>aqueous,6.25,2.54,-9999,-9999,11.9,Cl_CV_030; NO3_CV_030; SO4_CV_30; Cl_OUTLIER_000; NO3_OUTLIER_000; SO4_OUTLIER_000; FRZ_ION_001
N/A,RC2_0050_ION-1,10.58052/IEPRS00D5,Liquid>aqueous,Chloride_Below_0.44_ppm_LOD|0.34_Raw_Not_Corrected|0.34_ppm_Final_Corrected,0.18,-9999,-9999,1.52,Cl_CV_030; NO3_CV_030; SO4_CV_30; DTL_003; FRZ_ION_001
N/A,RC2_0050_ION-2,10.58052/IEPRS00D5,Liquid>aqueous,Chloride_Below_0.44_ppm_LOD|0.29_Raw_Not_Corrected|0.29_ppm_Final_Corrected,0.14,-9999,-9999,1.22,Cl_CV_030; NO3_CV_030; SO4_CV_30; DTL_003; FRZ_ION_001
N/A,RC2_0063_ION-1,10.58052/IEPRS00DI,Liquid>aqueous,1.44,Nitrate_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,3.24,Cl_CV_030; NO3_CV_030; SO4_CV_30; DTL_003; FRZ_ION_001
N/A,RC2_0063_ION-3,10.58052/IEPRS00DI,Liquid>aqueous,1.43,Nitrate_Below_0.13_ppm_LOD|0.02_Raw_Not_Corrected|0.02_ppm_Final_Corrected,-9999,-9999,3.19,Cl_CV_030; NO3_CV_030; SO4_CV_30; DTL_003; FRZ_ION_001
N/A,RC2_0068_ION-1,10.58052/IEPRS00DN,Liquid>aqueous,0.75,Nitrate_Below_0.13_ppm_LOD|0.05_Raw_Not_Corrected|0.05_ppm_Final_Corrected,-9999,-9999,1.46,Cl_CV_030; NO3_CV_030; SO4_CV_30; DTL_003; FRZ_ION_001
N/A,RC2_0068_ION-2,10.58052/IEPRS00DN,Liquid>aqueous,0.61,Nitrate_Below_0.13_ppm_LOD|0.05_Raw_Not_Corrected|0.05_ppm_Final_Corrected,-9999,-9999,1.06,Cl_CV_030; NO3_CV_030; SO4_CV_30; DTL_003; FRZ_ION_001
N/A,RC2_0027_ION-3,10.58052/IEPRS00CC,Liquid>aqueous,Chloride_Below_0.44_ppm_LOD|0.37_Raw_Not_Corrected|0.37_ppm_Final_Corrected,Nitrate_Below_0.13_ppm_LOD|0.07_Raw_Not_Corrected|0.07_ppm_Final_Corrected,-9999,-9999,0.91,Cl_CV_030; NO3_CV_030; SO4_CV_30; DTL_003; Cl_OUTLIER_000; NO3_OUTLIER_000; SO4_OUTLIER_000; FRZ_ION_001
N/A,RC2_0066_ION-3,10.58052/IEPRS00DL,Liquid>aqueous,0.49,Nitrate_Below_0.13_ppm_LOD|0.05_Raw_Not_Corrected|0.05_ppm_Final_Corrected,-9999,-9999,1.94,Cl_CV_030; NO3_CV_030; SO4_CV_30; DTL_003; Cl_OUTLIER_000; NO3_OUTLIER_000; SO4_OUTLIER_000; FRZ_ION_001
N/A,RC2_0021_ION-1,10.58052/IEPRS00CI,Liquid>aqueous,0.8,Nitrate_Below_0.13_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,-9999,-9999,1.79,DTL_003; FRZ_ION_001
N/A,RC2_0021_ION-2,10.58052/IEPRS00CI,Liquid>aqueous,0.86,Nitrate_Below_0.13_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,-9999,-9999,1.94,DTL_003; FRZ_ION_001
N/A,RC2_0021_ION-3,10.58052/IEPRS00CI,Liquid>aqueous,0.85,Nitrate_Below_0.13_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,-9999,-9999,1.93,DTL_003; FRZ_ION_001
N/A,RC2_0031_ION-1,10.58052/IEPRS00C4,Liquid>aqueous,Chloride_Below_0.44_ppm_LOD|0.42_Raw_Not_Corrected|0.42_ppm_Final_Corrected,0.43,-9999,-9999,1.74,DTL_003; FRZ_ION_001
N/A,RC2_0031_ION-2,10.58052/IEPRS00C4,Liquid>aqueous,Chloride_Below_0.44_ppm_LOD|0.41_Raw_Not_Corrected|0.41_ppm_Final_Corrected,0.43,-9999,-9999,1.72,DTL_003; FRZ_ION_001
N/A,RC2_0031_ION-3,10.58052/IEPRS00C4,Liquid>aqueous,Chloride_Below_0.44_ppm_LOD|0.4_Raw_Not_Corrected|0.4_ppm_Final_Corrected,0.41,-9999,-9999,1.71,DTL_003; FRZ_ION_001
N/A,RC2_0033_ION-1,10.58052/IEPRS00C6,Liquid>aqueous,1.1,Nitrate_Below_0.13_ppm_LOD|0.08_Raw_Not_Corrected|0.08_ppm_Final_Corrected,-9999,-9999,2.28,DTL_003; FRZ_ION_001
N/A,RC2_0033_ION-2,10.58052/IEPRS00C6,Liquid>aqueous,1.11,Nitrate_Below_0.13_ppm_LOD|0.1_Raw_Not_Corrected|0.1_ppm_Final_Corrected,-9999,-9999,2.31,DTL_003; FRZ_ION_001
N/A,RC2_0033_ION-3,10.58052/IEPRS00C6,Liquid>aqueous,1.11,Nitrate_Below_0.13_ppm_LOD|0.09_Raw_Not_Corrected|0.09_ppm_Final_Corrected,-9999,-9999,2.29,DTL_003; FRZ_ION_001
