Method_Name,Method_ID,Method_Type,Method_Description,Method_Instrument,Method_Lab
DIC_Deviation,DICRUN_003,MethodID_Analysis,Missing dissolved inorganic carbon (DIC) data due to an instrument error.,N/A,Pacific Northwest National Laboratory (PNNL)
DIC_Method_QA_QC,DIC_CV_030,MethodID_DataProcessing,"Dissolved inorganic organic carbon coefficient of variation (CV) was higher than the set threshold. The threshold value is listed in the Method ID in the format [analyte]_CV_[threshold]. For example, NPOC_CV_030 indicates that the CV threshold used for NPOC is 30%.",N/A,Pacific Northwest National Laboratory (PNNL)
DIC_Method_QA_QC,DIC_QAQC_001,MethodID_DataProcessing,Blanks and check standards were assessed as apart of standard QAQC protocols. The difference between the expected and measured values of the blanks and check standards was calculated. Samples were flagged if the deviation between expected and measured values was higher than a threshold set for the study AND if the magnitude of the sample concentration was lower than 2 times the median value of the blanks. The flag indicates that the dissolved inorganic carbon (DIC) sample did not pass QAQC and data should not be used.,N/A,Pacific Northwest National Laboratory (PNNL)
DIC_Typical,DIC_T_IN_001,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
DIC_Typical,DIC_T_ST_001,MethodID_Storage,Vials were placed on blue ice after collection and then stored at 4 degC (refrigerator) until they were transferred or shipped to PNNL – Sequim Campus. Vials were placed under blue ice while in transit. At PNNL – Sequim Campus they were stored at 4 degC.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
DIC_Typical,DIC_T_PRES_001,MethodID_Preservation,Samples were filtered in the field to 0.22 microns and kept at 4 degC until analysis for no longer than one month.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
DIC_Typical,DIC_T_PREP_001,MethodID_Preparation,Samples were brought to room temperature before analysis. Samples were diluted if concentrations were anticipated to be too high for instrument responses.,N/A,Pacific Northwest National Laboratory (PNNL) – Sequim
DIC_Typical,DIC_T_AN_001,MethodID_Analysis,Best 3 of 4 injections; Accepted deviation up to 0.1 milligram_per_liter or 2 percent coefficient of variation;  Injection volume: 150 microliters; Furnace temperature: 720 degC; Standard concentration ranges 0-40 milligrams_Carbon_per_liter,Shimadzu TOC-L with TNM-L,Pacific Northwest National Laboratory (PNNL) – Sequim
DIC_Typical,DIC_T_DP_001,MethodID_DataProcessing,Manually checked data and calibration curves prior to uploading data. Raw data was processed through a data evaluation script that flagged samples below limit of detection and outside of the standard curve. The coefficient of variation (CV) was calculated among replicates; samples were flagged if CV was outside a given threshold. The flags indicate the limits of detection and CV where applicable.,N/A,Pacific Northwest National Laboratory (PNNL)
DIC_Vial_Break_Method,VB_DIC_001,MethodID_Inspection,Dissolved inorganic carbon (DIC) vial broke. Sample lost.,N/A,Pacific Northwest National Laboratory (PNNL)
