#Columns,6
#Header_Rows,12
Field_Name,Sample_Name,IGSN,Material,00681_NPOC_mg_per_L_as_C,00602_TN_mg_per_L_as_N,Methods_Deviation
Unit,N/A,N/A,N/A,milligrams_per_liter,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_dissolvable_Carbon,as_dissolvable_Nitrogen,N/A
MethodID_Analysis,N/A,N/A,N/A,NPOC_T_AN_000,TN_T_AN_000,N/A
MethodID_Inspection,N/A,N/A,N/A,NPOC_T_IN_000,TN_T_IN_000,N/A
MethodID_Storage,N/A,N/A,N/A,NPOC_T_ST_000,TN_T_ST_000,N/A
MethodID_Preservation,N/A,N/A,N/A,NPOC_T_PRES_000,TN_T_PRES_000,N/A
MethodID_Preparation,N/A,N/A,N/A,NPOC_T_PREP_000,TN_T_PREP_000,N/A
MethodID_DataProcessing,N/A,N/A,N/A,NPOC_T_DP_000,TN_T_DP_000,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.08-0.09,0.06-0.07,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,N/A
#Start_Data,RC2_0001_OCN-1,10.58052/IEPRS00CY,Liquid>aqueous,1,0.23,N/A
N/A,RC2_0001_OCN-2,10.58052/IEPRS00CY,Liquid>aqueous,1.03,0.23,N/A
N/A,RC2_0001_OCN-3,10.58052/IEPRS00CY,Liquid>aqueous,0.97,0.21,N/A
N/A,RC2_0002_OCN-1,10.58052/IEPRS00CZ,Liquid>aqueous,2.71,0.23,N/A
N/A,RC2_0002_OCN-2,10.58052/IEPRS00CZ,Liquid>aqueous,2.19,0.15,N/A
N/A,RC2_0002_OCN-3,10.58052/IEPRS00CZ,Liquid>aqueous,2.56,0.2,N/A
N/A,RC2_0003_OCN-1,10.58052/IEPRS00D0,Liquid>aqueous,1.83,TN_Below_0.1_ppm_Standard|0.09_ppm_Raw_Not_Corrected|0.09_ppm_Final_Corrected,NPOC_CV_030; TN_CV_030; DTL_003
N/A,RC2_0003_OCN-2,10.58052/IEPRS00D0,Liquid>aqueous,5.12,0.3,NPOC_CV_030; TN_CV_030; NPOC_OUTLIER_000; TN_OUTLIER_000
N/A,RC2_0003_OCN-3,10.58052/IEPRS00D0,Liquid>aqueous,1.87,TN_Below_0.1_ppm_Standard|0.09_ppm_Raw_Not_Corrected|0.09_ppm_Final_Corrected,NPOC_CV_030; TN_CV_030; DTL_003
N/A,RC2_0004_OCN-1,10.58052/IEPRS00D1,Liquid>aqueous,1.88,0.21,N/A
N/A,RC2_0004_OCN-2,10.58052/IEPRS00D1,Liquid>aqueous,1.84,0.21,N/A
N/A,RC2_0004_OCN-3,10.58052/IEPRS00D1,Liquid>aqueous,1.84,0.19,N/A
N/A,RC2_0005_OCN-1,10.58052/IEPRS00D2,Liquid>aqueous,2.14,0.44,N/A
N/A,RC2_0005_OCN-2,10.58052/IEPRS00D2,Liquid>aqueous,2.03,0.4,N/A
N/A,RC2_0005_OCN-3,10.58052/IEPRS00D2,Liquid>aqueous,2.14,0.44,N/A
N/A,RC2_0006_OCN-1,10.58052/IEPRS00D3,Liquid>aqueous,2.14,0.44,N/A
N/A,RC2_0006_OCN-2,10.58052/IEPRS00D3,Liquid>aqueous,2.1,0.47,N/A
N/A,RC2_0006_OCN-3,10.58052/IEPRS00D3,Liquid>aqueous,2.23,0.52,N/A
N/A,RC2_0007_OCN-1,10.58052/IEPRS00CS,Liquid>aqueous,0.87,0.14,N/A
N/A,RC2_0007_OCN-2,10.58052/IEPRS00CS,Liquid>aqueous,0.83,0.15,N/A
N/A,RC2_0007_OCN-3,10.58052/IEPRS00CS,Liquid>aqueous,0.77,0.13,N/A
N/A,RC2_0008_OCN-1,10.58052/IEPRS00CT,Liquid>aqueous,1.75,0.15,N/A
N/A,RC2_0008_OCN-2,10.58052/IEPRS00CT,Liquid>aqueous,1.72,0.14,N/A
N/A,RC2_0008_OCN-3,10.58052/IEPRS00CT,Liquid>aqueous,1.79,0.16,N/A
N/A,RC2_0009_OCN-1,10.58052/IEPRS00CU,Liquid>aqueous,1.48,TN_Below_0.1_ppm_Standard|0.07_ppm_Raw_Not_Corrected|0.07_ppm_Final_Corrected,DTL_003
N/A,RC2_0009_OCN-2,10.58052/IEPRS00CU,Liquid>aqueous,1.48,TN_Below_0.06_ppm_LOD|0.06_ppm_Raw_Not_Corrected|0.06_ppm_Final_Corrected,DTL_003
N/A,RC2_0009_OCN-3,10.58052/IEPRS00CU,Liquid>aqueous,1.52,TN_Below_0.1_ppm_Standard|0.06_ppm_Raw_Not_Corrected|0.06_ppm_Final_Corrected,DTL_003
N/A,RC2_0010_OCN-1,10.58052/IEPRS00CV,Liquid>aqueous,1.58,0.2,N/A
N/A,RC2_0010_OCN-2,10.58052/IEPRS00CV,Liquid>aqueous,1.66,0.22,N/A
N/A,RC2_0010_OCN-3,10.58052/IEPRS00CV,Liquid>aqueous,1.58,0.19,N/A
N/A,RC2_0011_OCN-1,10.58052/IEPRS00CW,Liquid>aqueous,1.89,0.37,N/A
N/A,RC2_0011_OCN-2,10.58052/IEPRS00CW,Liquid>aqueous,1.85,0.38,N/A
