#Columns,13,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,
Field_Name,Sample_Name,IGSN,Material,Mean_00691_DIC_mg_per_L_as_C,Mean_00940_Cl_mg_per_L,Mean_71851_NO3_mg_per_L_as_NO3,Mean_71856_NO2_mg_per_L_as_NO2,Mean_00653_PO4_mg_per_L_as_PO4,Mean_00945_SO4_mg_per_L_as_SO4,Mean_00681_NPOC_mg_per_L_as_C,Mean_00602_TN_mg_per_L_as_N,00530_TSS_mg_per_L,Mean_Missing_Reps
Unit,N/A,N/A,N/A,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_Carbon,as_Chloride,as_Nitrate,as_Nitrite,as_Phosphate,as_Sulfate,as_dissolvable_Carbon,as_dissolvable_Nitrogen,as_mg_solids_per_L_water,N/A
MethodID_Analysis,N/A,N/A,N/A,DIC_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,NPOC_T_AN_000,TN_T_AN_000,TSS_T_AN_000,N/A
MethodID_Inspection,N/A,N/A,N/A,DIC_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,NPOC_T_IN_000,TN_T_IN_000,TSS_T_IN_000,N/A
MethodID_Storage,N/A,N/A,N/A,DIC_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,NPOC_T_ST_000,TN_T_ST_000,TSS_T_ST_000,N/A
MethodID_Preservation,N/A,N/A,N/A,DIC_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,NPOC_T_PRES_000,TN_T_PRES_000,TSS_T_PRES_000,N/A
MethodID_Preparation,N/A,N/A,N/A,DIC_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,NPOC_T_PREP_000,TN_T_PREP_000,TSS_T_PREP_000,N/A
MethodID_DataProcessing,N/A,N/A,N/A,DIC_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,NPOC_T_DP_000,TN_T_DP_000,TSS_T_DP_000,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.13-0.19,0.44,0.13,0.01,-9999,0.004-0.04,0.08-0.09,0.06-0.07,1,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
