#Samples have International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Locality,Country,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type,Physiographic_Feature_Name,State_or_Province
RC2_0001,10.58052/IEPRS00CY,10.58052/IEPRS0094,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.9778,-121.17,stream,T06,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-04-20,https://www.pnnl.gov/projects/river-corridor,regular URL,American River,Washington
RC2_0002,10.58052/IEPRS00CZ,10.58052/IEPRS0093,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.989,-121.099,stream,T05P,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-04-20,https://www.pnnl.gov/projects/river-corridor,regular URL,Little Naches River,Washington
RC2_0003,10.58052/IEPRS00D0,10.58052/IEPRS0095,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.7241,-120.7,stream,T41,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-04-20,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
RC2_0004,10.58052/IEPRS00D1,10.58052/IEPRS0090,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.5308,-120.47,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-04-21,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0005,10.58052/IEPRS00D2,10.58052/IEPRS008Z,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2321,-120,stream,T02,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-04-21,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0006,10.58052/IEPRS00D3,10.58052/IEPRS0092,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.2553,-119.474,stream,T07,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-04-21,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
RC2_0007,10.58052/IEPRS00CS,10.58052/IEPRS0094,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.9778,-121.17,stream,T06,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-04-28,https://www.pnnl.gov/projects/river-corridor,regular URL,American River,Washington
RC2_0008,10.58052/IEPRS00CT,10.58052/IEPRS0093,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.989,-121.099,stream,T05P,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-04-28,https://www.pnnl.gov/projects/river-corridor,regular URL,Little Naches River,Washington
RC2_0009,10.58052/IEPRS00CU,10.58052/IEPRS0096,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.729,-120.714,stream,T42,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-04-28,https://www.pnnl.gov/projects/river-corridor,regular URL,Naches River,Washington
RC2_0010,10.58052/IEPRS00CV,10.58052/IEPRS0090,Liquid>aqueous,Surface water,Grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,RC2 Temporal Study,46.5308,-120.47,stream,T03,United States,US Department of Energy River Corridor Science Focus Area,Stephanie_Fulton; Lupita_Renteria, 2021-04-28,https://www.pnnl.gov/projects/river-corridor,regular URL,Yakima River,Washington
