#Columns,5,,,,
#Header_Rows,12,,,,
Field_Name,Sample_Name,IGSN,Material,00530_TSS_mg_per_L,Methods_Deviation
Unit,N/A,N/A,N/A,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_mg_solids_per_L_water,N/A
MethodID_Analysis,N/A,N/A,N/A,TSS_T_AN_000,N/A
MethodID_Inspection,N/A,N/A,N/A,TSS_T_IN_000,N/A
MethodID_Storage,N/A,N/A,N/A,TSS_T_ST_000,N/A
MethodID_Preservation,N/A,N/A,N/A,TSS_T_PRES_000,N/A
MethodID_Preparation,N/A,N/A,N/A,TSS_T_PREP_000,N/A
MethodID_DataProcessing,N/A,N/A,N/A,TSS_T_DP_000,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,1,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,N/A
#Start_Data,RC2_0001_TSS-1,10.58052/IEPRS00CY,Liquid>aqueous,61,N/A
N/A,RC2_0002_TSS-1,10.58052/IEPRS00CZ,Liquid>aqueous,20,TSS_004
N/A,RC2_0003_TSS-1,10.58052/IEPRS00D0,Liquid>aqueous,21,TSS_004
N/A,RC2_0004_TSS-1,10.58052/IEPRS00D1,Liquid>aqueous,21.3,TSS_004
N/A,RC2_0005_TSS-1,10.58052/IEPRS00D2,Liquid>aqueous,-9999,TSS_004; TSS_PREP_001
N/A,RC2_0006_TSS-1,10.58052/IEPRS00D3,Liquid>aqueous,81.2,TSS_004
N/A,RC2_0007_TSS-1,10.58052/IEPRS00CS,Liquid>aqueous,510,TSS_001
N/A,RC2_0008_TSS-1,10.58052/IEPRS00CT,Liquid>aqueous,507,TSS_001
N/A,RC2_0009_TSS-1,10.58052/IEPRS00CU,Liquid>aqueous,494,TSS_001
N/A,RC2_0010_TSS-1,10.58052/IEPRS00CV,Liquid>aqueous,362,TSS_001
N/A,RC2_0011_TSS-1,10.58052/IEPRS00CW,Liquid>aqueous,518,TSS_001
N/A,RC2_0012_TSS-1,10.58052/IEPRS00CX,Liquid>aqueous,122,TSS_004; TSS_001
N/A,RC2_0013_TSS-1,10.58052/IEPRS00CM,Liquid>aqueous,15.7,N/A
N/A,RC2_0014_TSS-1,10.58052/IEPRS00CN,Liquid>aqueous,9.46,N/A
N/A,RC2_0015_TSS-1,10.58052/IEPRS00CO,Liquid>aqueous,12.9,N/A
N/A,RC2_0016_TSS-1,10.58052/IEPRS00CP,Liquid>aqueous,13.9,TSS_004
N/A,RC2_0017_TSS-1,10.58052/IEPRS00CQ,Liquid>aqueous,26.3,TSS_004
N/A,RC2_0018_TSS-1,10.58052/IEPRS00CR,Liquid>aqueous,45.7,TSS_004
N/A,RC2_0019_TSS-1,10.58052/IEPRS00CG,Liquid>aqueous,8.68,N/A
N/A,RC2_0020_TSS-1,10.58052/IEPRS00CH,Liquid>aqueous,62,N/A
