Site_ID,Site_Name,Parent_ID,Field_Staff,Date,Time_Zone,Time_Arriving,Time_Leaving,Latitude,Longitude,Notes
T06,American River,RC2_0001,Stephanie_Fulton; Lupita_Renteria, 2021-04-20,PST,10:00:00,11:11:00,46.97777,-121.16953,Did not collect Ultrameter TDS data.
T05P,Little Naches at Nile,RC2_0002,Stephanie_Fulton; Lupita_Renteria, 2021-04-20,PST,11:20:00,12:30:00,46.98904,-121.09921, Did not collect Ultrameter TDS data. 
T41,Naches River Craig Road 1,RC2_0003,Stephanie_Fulton; Lupita_Renteria, 2021-04-20,PST,13:20:00,14:18:00,46.72411,-120.70039,Did not collect Ultrameter TDS data.
T03,Yakima at Union Gap,RC2_0004,Stephanie_Fulton; Lupita_Renteria, 2021-04-21,PST,8:00:00,9:11:00,46.530817,-120.470337,Did not collect Ultrameter TDS data.
T02,Yakima at Mabton,RC2_0005,Stephanie_Fulton; Lupita_Renteria, 2021-04-21,PST,10:58:00,12:04:00,46.232095,-119.999901,Samples for OCN; ICR; anions were collected from a 5-gal bucket. Did not collect Ultrameter TDS data.
T07,Yakima at Kiona,RC2_0006,Stephanie_Fulton; Lupita_Renteria, 2021-04-21,PST,14:51:00,15:41:00,46.255319,-119.47405,Did not collect Ultrameter TDS data. 
T06,American River,RC2_0007,Stephanie_Fulton; Lupita_Renteria, 2021-04-28,PST,9:52:00,10:57:00,46.97777,-121.16953,YSI used instead of minidot.
T05P,Little Naches at Nile,RC2_0008,Stephanie_Fulton; Lupita_Renteria, 2021-04-28,PST,11:20:00,11:51:00,46.98904,-121.09921,YSI used instead of minidot.
T42,Naches River Craig Road 2,RC2_0009,Stephanie_Fulton; Lupita_Renteria, 2021-04-28,PST,13:05:00,13:32:00,46.72895,-120.71431,YSI used intead of minidot.
T03,Yakima at Union Gap,RC2_0010,Stephanie_Fulton; Lupita_Renteria, 2021-04-28,PST,14:22:00,14:55:00,46.530817,-120.470337,YSI used instead of minidot.
T02,Yakima at Mabton,RC2_0011,Stephanie_Fulton; Lupita_Renteria, 2021-04-28,PST,16:00:00,16:30:00,46.232095,-119.999901,YSI used instead of minidot.
T07,Yakima at Kiona,RC2_0012,Stephanie_Fulton; Lupita_Renteria, 2021-04-28,PST,17:30:00,18:00:00,46.255319,-119.47405,YSI used instead of minidot.
T06,American River,RC2_0013,Lupita_Renteria; Aaron_Pelly, 2021-05-06,PST,9:10:00,10:20:00,46.97777,-121.16953,N/A
T05P,Little Naches at Nile,RC2_0014,Lupita_Renteria; Aaron_Pelly, 2021-05-06,PST,11:04:00,11:30:00,46.98904,-121.09921,N/A
T42,Naches River Craig Road 2,RC2_0015,Lupita_Renteria; Aaron_Pelly, 2021-05-06,PST,12:52:00,-9999,46.72895,-120.71431,N/A
T03,Yakima at Union Gap,RC2_0016,Lupita_Renteria; Aaron_Pelly, 2021-05-06,PST,15:15:00,15:48:00,46.530817,-120.470337,N/A
T02,Yakima at Mabton,RC2_0017,Lupita_Renteria; Aaron_Pelly, 2021-05-06,PST,15:59:00,16:28:00,46.232095,-119.999901,N/A
T07,Yakima at Kiona,RC2_0018,Lupita_Renteria; Aaron_Pelly, 2021-05-06,PST,17:20:00,17:50:00,46.255319,-119.47405,N/A
T06,American River,RC2_0019,Stephanie_Fulton; Lupita_Renteria, 2021-05-13,PST,8:40:00,9:10:00,46.97777,-121.16953,N/A
T05P,Little Naches at Nile,RC2_0020,Stephanie_Fulton; Lupita_Renteria, 2021-05-13,PST,9:42:00,10:07:00,46.98904,-121.09921,N/A
T42,Naches River Craig Road 2,RC2_0021,Stephanie_Fulton; Lupita_Renteria, 2021-05-13,PST,11:20:00,11:51:00,46.72895,-120.71431,N/A
T03,Yakima at Union Gap,RC2_0022,Stephanie_Fulton; Lupita_Renteria, 2021-05-13,PST,12:55:00,13:31:00,46.530817,-120.470337,N/A
T02,Yakima at Mabton,RC2_0023,Stephanie_Fulton; Lupita_Renteria, 2021-05-13,PST,15:00:00,15:51:00,46.232095,-119.999901,N/A
T07,Yakima at Kiona,RC2_0024,Stephanie_Fulton; Lupita_Renteria, 2021-05-13,PST,16:55:00,17:32:00,46.255319,-119.47405,N/A
T06,American River,RC2_0025,Stephanie_Fulton; Lupita_Renteria, 2021-05-20,PST,9:08:00,9:45:00,46.97777,-121.16953,N/A
T05P,Little Naches at Nile,RC2_0026,Stephanie_Fulton; Lupita_Renteria, 2021-05-20,PST,10:00:00,10:29:00,46.98904,-121.09921,N/A
T42,Naches River Craig Road 2,RC2_0027,Stephanie_Fulton; Lupita_Renteria, 2021-05-20,PST,11:23:00,11:59:00,46.72895,-120.71431,Started to rain while recording spectrolyzer data. 
T03,Yakima at Union Gap,RC2_0028,Stephanie_Fulton; Lupita_Renteria, 2021-05-20,PST,12:35:00,13:15:00,46.530817,-120.470337,N/A
T02,Yakima at Mabton,RC2_0029,Stephanie_Fulton; Lupita_Renteria, 2021-05-20,PST,14:32:00,15:15:00,46.232095,-119.999901,Raining lightly the entire time we have been here.
T07,Yakima at Kiona,RC2_0030,Stephanie_Fulton; Lupita_Renteria, 2021-05-20,PST,16:03:00,16:42:00,46.255319,-119.47405,N/A
T06,American River,RC2_0031,Stephanie_Fulton; Lupita_Renteria, 2021-05-27,PST,8:55:00,9:25:00,46.97777,-121.16953,N/A
T05P,Little Naches at Nile,RC2_0032,Stephanie_Fulton; Lupita_Renteria, 2021-05-27,PST,9:38:00,10:07:00,46.98904,-121.09921,Raining lightly during sampling. 
T42,Naches River Craig Road 2,RC2_0033,Stephanie_Fulton; Lupita_Renteria, 2021-05-27,PST,10:55:00,11:38:00,46.72895,-120.71431,Cloudy with blue skies.
T03,Yakima at Union Gap,RC2_0034,Stephanie_Fulton; Lupita_Renteria, 2021-05-27,PST,12:26:00,13:13:00,46.530817,-120.470337,Extremely windy; blue skies with scattered clouds. 
T02,Yakima at Mabton,RC2_0035,Stephanie_Fulton; Lupita_Renteria, 2021-05-27,PST,14:24:00,15:25:00,46.232095,-119.999901,Super windy.
T07,Yakima at Kiona,RC2_0036,Stephanie_Fulton; Lupita_Renteria, 2021-05-27,PST,16:20:00,17:12:00,46.255319,-119.47405,N/A
T06,American River,RC2_0037,Stephanie_Fulton; Lupita_Renteria, 2021-06-03,PST,9:04:00,9:46:00,46.97777,-121.16953,Needed 3 sterivex filters - very turbid and high discharge.
T05P,Little Naches at Nile,RC2_0038,Stephanie_Fulton; Lupita_Renteria, 2021-06-03,PST,10:00:00,10:36:00,46.98904,-121.09921,Beach submerged. Used 3 sterivex filters.
T42,Naches River Craig Road 2,RC2_0039,Stephanie_Fulton; Lupita_Renteria, 2021-06-03,PST,11:25:00,12:00:00,46.72895,-120.71431,Used 6 sterivex filters.
T03,Yakima at Union Gap,RC2_0040,Stephanie_Fulton; Lupita_Renteria, 2021-06-03,PST,12:49:00,13:41:00,46.530817,-120.470337,Used 5 sterivex filters.
T02,Yakima at Mabton,RC2_0041,Stephanie_Fulton; Lupita_Renteria, 2021-06-03,PST,14:48:00,16:05:00,46.232095,-119.999901,N/A
T07,Yakima at Kiona,RC2_0042,Stephanie_Fulton; Lupita_Renteria, 2021-06-03,PST,17:08:00,18:00:00,46.255319,-119.47405,N/A
T06,American River,RC2_0043,Stephanie_Fulton; Aaron_Pelly, 2021-06-10,PST,9:42:00,11:05:00,46.97777,-121.16953,N/A
T05P,Little Naches at Nile,RC2_0044,Stephanie_Fulton; Aaron_Pelly, 2021-06-10,PST,11:37:00,12:30:00,46.98904,-121.09921,River has receded substantially since 6/3/21 (last week); approximately 12 ft of beach exposed now.
T42,Naches River Craig Road 2,RC2_0045,Stephanie_Fulton; Aaron_Pelly, 2021-06-10,PST,14:05:00,15:00:00,46.72895,-120.71431,Filter clogged after 1.5 DIC samples (approximately 160 mL). 
T03,Yakima at Union Gap,RC2_0046,Stephanie_Fulton; Aaron_Pelly, 2021-06-10,PST,15:46:00,17:07:00,46.530817,-120.470337,N/A
T07,Yakima at Kiona,RC2_0048,Stephanie_Fulton; Aaron_Pelly, 2021-06-10,PST,19:20:00,20:17:00,46.255319,-119.47405,Deployed sensors just above riffle.
T02,Yakima at Mabton,RC2_0049,Stephanie_Fulton; Lupita_Renteria, 2021-06-17,PST,7:48:00,8:35:00,46.232095,-119.999901,Water very still near bank where samples collected. 
T06,American River,RC2_0050,Stephanie_Fulton; Lupita_Renteria, 2021-06-17,PST,10:40:00,11:24:00,46.97777,-121.16953,Manta deployed alone approximately 6 feet from the bank; YSI and spectrolyzer deployed from the bank. Clear; running fast; but less discharge than last week. 
