Column_or_Row_Name,Unit,Definition,Data_Type,Term_Type
00530_TSS_mg_per_L,milligrams_per_liter,Total suspended solids. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00602_TN_mg_per_L_as_N,milligrams_per_liter,Total dissolved nitrogen [nitrate + nitrite + ammonia + organic-N] reported as nitrogen. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00653_PO4_mg_per_L_as_PO4,milligrams_per_liter,Phosphate reported as phosphate (rather than as phosphorus). 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00681_NPOC_mg_per_L_as_C,milligrams_per_liter,Dissolved organic carbon (DOC) reported as non-purgeable organic carbon (NPOC) and reported as carbon.  5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00691_DIC_mg_per_L_as_C,milligrams_per_liter,Dissolved inorganic carbon reported as carbon. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00940_Cl_mg_per_L,milligrams_per_liter,Chloride. 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
00945_SO4_mg_per_L_as_SO4,milligrams_per_liter,Sulfate reported as sulfate (rather than as sulfur). 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
71851_NO3_mg_per_L_as_NO3,milligrams_per_liter,Nitrate reported as nitrate (rather than as nitrogen). 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
71856_NO2_mg_per_L_as_NO2,milligrams_per_liter,Nitrite reported as nitrite (rather than as nitrogen). 5-digit prefix refers to a US Geological Survey parameter code.,numeric,column_header
Analysis_DetectionLimit,milligrams_per_liter,Analytical detection limit.,numeric,row_header
Analysis_Precision,N/A,Precision of the data values.,numeric,row_header
Collection_Date,YYYY-MM-DD,Date of sample collection.,date,column_header
Collection_Method,N/A,Method of sample collection registered in the SESAR system (controlled vocabulary from SESAR).,text,column_header
Collection_Method_Description,N/A,Description of how sample was collected.,text,column_header
Collector_Chief_Scientist,N/A,Name of person who collected the sample.,text,column_header
Column_or_Row_Name,N/A,Column headers from each csv file in the dataset.,text,column_header
Comment,N/A,Name of study associated with sample.,text,column_header
Country,N/A,Country where sample was collected.,text,column_header
Data_Status,N/A,State of data readiness for publication and use.,text,row_header
Data_Type,N/A,Type of data (numeric; text; date; time; datetime).,text,column_header
Date,MM-DD-YYYY,Data collection date.,date,column_header
Date_End,YYYY-MM-DD,The latest date in the file.,date,column_header
Date_Start,YYYY-MM-DD,The earliest date in the file.,date,column_header
Definition,N/A,Description of the information in a given column in the dataset.,text,column_header
FTICR-MS,N/A,Fourier transform ion cyclotron resonance mass spectrometry (FTICR-MS).,numeric,column_header
Field_Name,N/A,Name of field of header rows before data.,text,column_header
Field_Name_Informal_Classification,N/A,Informal classification of sample.,text,column_header
Field_Program_Cruise,N/A,Name of field program or cruise registered in the SESAR system.,text,column_header
Field_Staff,N/A,"The name of field staff involved in data collection; recorded as ""FirstName_LastName"" and separated by semicolons.",text,column_header
File_Description,N/A,A brief description of the files in the dataset/data package.,text,column_header
File_Name,N/A,Name of files in the dataset/data package.,text,column_header
File_Path,N/A,File path within the data package.,text,column_header
GPS_Accuracy,feet,Accuracy of GPS location data accuracy; measured in feet.,numeric,column_header
IGSN,N/A,International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration),text,column_header
Latitude,decimal_degrees_WGS1984,Geographic location (latitude) of site.,numeric,column_header
Locality,N/A,Name of field site where sample was collected.,text,column_header
Longitude,decimal_degrees_WGS1984,Geographic location (longitude) of site.,numeric,column_header
Material,N/A,Type of sample (e.g. Liquid>aqueous; sediment; etc). Uses a controlled vocabulary from IGSN SESAR (https://www.geosamples.org/).,text,column_header
