File_Name,File_Description,Standard,Date_Start,Date_End,Missing_Value_Codes,File_Path
v3_readme_RC2_Sample.pdf,Data package level readme. Contains data package summary; acknowledgements; and contact information.,N/A,-9999,-9999,N/A,/v3_RC2_TemporalStudy_2021-2022_SampleData
v3_RC2_Sample_dd.csv,Data dictionary that defines columns headers across all csv files contained in the data package.,ESS-DIVE CSV v1,-9999,-9999,"""N/A""; ""-9999""; """"; ""NA"" ",/v3_RC2_TemporalStudy_2021-2022_SampleData
v3_RC2_Sample_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE CSV v1; ESS-DIVE FLMD v1,-9999,-9999,"""N/A""; ""-9999""; """"; ""NA"" ",/v3_RC2_TemporalStudy_2021-2022_SampleData
RC2_Temporal_Sampling_Protocol.pdf,Step-by-step instructions used to complete the sampling in the field.,N/A,-9999,-9999,N/A,/v3_RC2_TemporalStudy_2021-2022_SampleData
RC2_Temporal_Sensor_Protocol.pdf,Step-by-step instructions used to complete the sensor deployment in the field.,N/A,-9999,-9999,N/A,/v3_RC2_TemporalStudy_2021-2022_SampleData
v2_RC2_DIC_2021-2022.csv,Dissolved inorganic carbon (DIC) from water samples. Methods information is embedded with methods codes that are defined in v*_RC2_Methods_Codes.csv. The file follows the ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1, 2021-04-20, 2022-04-07,"""N/A""; ""-9999""; """"; ""NA"" ",/v3_RC2_TemporalStudy_2021-2022_SampleData
v2_RC2_FTICR_2021-2022.csv,Methods information for FTICR is embedded with methods codes in this file and difined in v*_RC2_Methods_Codes.csv. FTICR data can be found in the FTICR folder. The file follows the ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1, 2021-04-20, 2022-04-07,"""N/A""; ""-9999""; """"; ""NA"" ",/v3_RC2_TemporalStudy_2021-2022_SampleData
v2_RC2_Ions_2021-2022.csv,Ions from water samples. Methods information is embedded with methods codes that are defined in v*_RC2_Methods_Codes.csv. The file follows the ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1, 2021-04-20, 2022-04-07,"""N/A""; ""-9999""; """"; ""NA"" ",/v3_RC2_TemporalStudy_2021-2022_SampleData
v2_RC2_Methods_Codes_2021-2022.csv,Definitions of methods codes used in chemistry data. The file follows the ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1,-9999,-9999,"""N/A""; ""-9999""; """"; ""NA"" ",/v3_RC2_TemporalStudy_2021-2022_SampleData
v2_RC2_NPOC_TN_2021-2022.csv,Dissolved organic carbon (DOC; reported as non-purgeable organic carbon; NPOC) and total dissolved nitrogen (TN) from water samples. Methods information is embedded with methods codes that are defined in v*_RC2_Methods_Codes.csv. The file follows the ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE CSV v1; ESS-DIVE Water-Soil-Sediment Chem v1, 2021-04-20, 2022-04-07,"""N/A""; ""-9999""; """"; ""NA"" ",/v3_RC2_TemporalStudy_2021-2022_SampleData
